observation_id,team_id,player_ids,source_id,source_url,origin_url,published_at,retrieved_at,evidence_lane,evidence_kind,claim_summary,relationship,related_observation_ids,dedup_key,confidence,time_sensitivity,fantasy_impact,reader_id,notes
obs-2026-sf-20260821t191126z-001,SF,,local-source-san-francisco-49ers,https://www.49ers.com/news/49ers-sign-rb-khalil-herbert-to-a-one-year-deal-place-rb-patrick-taylor-jr-on-injured-reserve,https://www.49ers.com/news/49ers-sign-rb-khalil-herbert-to-a-one-year-deal-place-rb-patrick-taylor-jr-on-injured-reserve,2026-08-20T13:40:00-07:00,2026-08-21T18:42:00Z,transaction,official_fact,San Francisco signed running back Khalil Herbert to a one-year contract.,new,,sf-20260820-khalil-herbert-signing,high,medium,low,reader-sf,Official team transaction; player ID left blank because no canonical player record was resolved.
obs-2026-sf-20260821t191126z-002,SF,,local-source-san-francisco-49ers,https://www.49ers.com/news/49ers-sign-rb-khalil-herbert-to-a-one-year-deal-place-rb-patrick-taylor-jr-on-injured-reserve,https://www.49ers.com/news/49ers-sign-rb-khalil-herbert-to-a-one-year-deal-place-rb-patrick-taylor-jr-on-injured-reserve,2026-08-20T13:40:00-07:00,2026-08-21T18:42:00Z,availability,official_fact,San Francisco placed running back Patrick Taylor Jr. on injured reserve.,new,,sf-20260820-patrick-taylor-ir,high,high,medium,reader-sf,Official team transaction; the announcement did not specify an injury.
obs-2026-sf-20260821t191126z-003,SF,,local-source-san-francisco-49ers,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,2026-08-20T23:28:50-07:00,2026-08-21T18:46:00Z,usage,official_fact,Brock Purdy played only San Francisco's opening possession and completed four of six passes for 29 yards.,confirm,obs-2026-sf-20260821t191126z-012,sf-lac-pre2-2026-brock-purdy-usage,high,medium,low,reader-sf,Official recap independently confirms the earlier NBC live coverage.
obs-2026-sf-20260821t191126z-004,SF,,local-source-san-francisco-49ers,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,2026-08-20T23:28:50-07:00,2026-08-21T18:46:00Z,performance,official_fact,De'Zhaun Stribling caught four passes for 46 yards after drawing targets from both Brock Purdy and Mac Jones.,confirm,obs-2026-sf-20260821t191126z-010,sf-lac-pre2-2026-dezhaun-stribling-4-46,high,medium,medium,reader-sf,Official recap independently confirms the earlier NBC live coverage.
obs-2026-sf-20260821t191126z-005,SF,,local-source-san-francisco-49ers,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,2026-08-20T23:28:00-07:00,2026-08-21T18:46:00Z,usage,official_fact,Kaelon Black received eight first-quarter carries and gained 33 yards in his 49ers preseason debut.,new,,sf-lac-pre2-2026-kaelon-black-8-33,high,medium,low,reader-sf,Preseason usage from team recap.
obs-2026-sf-20260821t191126z-006,SF,,local-source-san-francisco-49ers,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,2026-08-20T23:28:00-07:00,2026-08-21T18:46:00Z,performance,official_fact,Sincere McCormick broke a 37-yard run and scored on a seven-yard carry during San Francisco's first touchdown drive.,new,,sf-lac-pre2-2026-sincere-mccormick-rushing,high,low,low,reader-sf,Two linked rushing plays from one drive; retained as one compact performance claim.
obs-2026-sf-20260821t191126z-007,SF,,local-source-san-francisco-49ers,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,2026-08-20T23:28:50-07:00,2026-08-21T18:46:00Z,performance,official_fact,Jacob Cowing returned a punt 83 yards for a touchdown in the second quarter.,confirm,obs-2026-sf-20260821t191126z-011,sf-lac-pre2-2026-jacob-cowing-punt-td,high,medium,low,reader-sf,Official recap independently confirms the earlier NBC live coverage.
obs-2026-sf-20260821t191126z-008,SF,,local-source-san-francisco-49ers,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,2026-08-20T23:28:00-07:00,2026-08-21T18:46:00Z,performance,official_fact,Adrian Martinez led three second-half touchdown drives and accounted for one rushing and one passing touchdown.,new,,sf-lac-pre2-2026-adrian-martinez-touchdowns,high,low,none,reader-sf,Preseason reserve-quarterback performance.
obs-2026-sf-20260821t191126z-009,SF,,local-source-san-francisco-49ers,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,https://www.49ers.com/news/49ers-defeat-chargers-41-17-in-preseason-week-2-5-takeaways-from-sfvslac,2026-08-20T23:28:00-07:00,2026-08-21T18:46:00Z,performance,official_fact,Nick Martin forced a fourth-quarter kickoff-return fumble that KhaDarel Hodge recovered.,new,,sf-lac-pre2-2026-martin-hodge-fumble,high,low,none,reader-sf,Official game recap.
obs-2026-sf-20260821t191126z-010,SF,,local-writer-matt-maiocco,https://www.nbcbayarea.com/news/sports/nfl/san-francisco-49ers/brock-purdy-live-updates-score-highlights-chargers/4130523/,https://www.nbcbayarea.com/news/sports/nfl/san-francisco-49ers/brock-purdy-live-updates-score-highlights-chargers/4130523/,2026-08-20T18:34:34-07:00,2026-08-21T18:51:00Z,performance,reported_fact,De'Zhaun Stribling finished with four catches for 46 yards and converted multiple third downs.,new,,sf-lac-pre2-2026-dezhaun-stribling-4-46,high,medium,medium,reader-sf,NBC live blog had multiple bylines including Matt Maiocco; supporting page preceded the official recap.
