player,position,2025_role,transaction,transaction_date,destination,performance_significance,source_url,last_verified
A.J. Brown,WR,Alpha outside receiver,Traded for future draft picks,2026-06-01,New England Patriots,Creates target and defensive-attention redistribution around DeVonta Smith and new receivers,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
Reed Blankenship,S,Starting safety,Agreed to terms as free agent,2026-03-11,Houston Texans,Forces safety reset next to Andrew Mukuba and Cooper DeJean packages,https://www.philadelphiaeagles.com/free-agency/,2026-08-17
Sydney Brown,S,Rotational safety and special teams contributor,Traded to Falcons,2026-03-21,Atlanta Falcons,Removes experienced secondary depth from Fangio safety rotation,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
Nakobe Dean,LB,Starting linebacker,Agreed to terms as free agent,2026-03-11,Las Vegas Raiders,Opens larger off-ball linebacker roles for Jihaad Campbell and Jeremiah Trotter Jr.,https://www.philadelphiaeagles.com/free-agency/,2026-08-17
Jahan Dotson,WR,Secondary receiver,Agreed to terms as free agent,2026-03-11,Atlanta Falcons,Further clears WR snaps behind DeVonta Smith after A.J. Brown trade,https://www.philadelphiaeagles.com/free-agency/,2026-08-17
Sam Howell,QB,Backup quarterback,Agreed to terms as free agent,2026-03-11,Dallas Cowboys,Led to Andy Dalton acquisition and Cole Payton developmental slot,https://www.philadelphiaeagles.com/free-agency/,2026-08-17
Azeez Ojulari,OLB,Edge rotation,Agreed to terms as free agent,2026-03-11,Atlanta Falcons,Part of edge room turnover offset by Greenard/Ebiketie/Epenesa,https://www.philadelphiaeagles.com/free-agency/,2026-08-17
Jaelan Phillips,OLB,Edge rotation,Agreed to terms as free agent,2026-03-11,Carolina Panthers,Increases need for new pass-rush rotation to stabilize,https://www.philadelphiaeagles.com/free-agency/,2026-08-17
Kylen Granson,TE,Passing-game tight end depth,Agreed to terms as free agent,2026-03-11,Tennessee Titans,Offset by Dallas Goedert retention and Eli Stowers draft investment,https://www.philadelphiaeagles.com/free-agency/,2026-08-17
AJ Dillon,RB,Backup running back,Agreed to terms as free agent,2026-03-11,Carolina Panthers,Keeps RB depth competition open behind Saquon Barkley,https://www.philadelphiaeagles.com/free-agency/,2026-08-17

