player,position,retention_type,transaction_date,through_season,reported_value,strategic_signal,source_url,last_verified
Quentin Lake,S,contract_extension,2026-01-01,2028,,retains versatile safety/nickel and team captain,https://www.therams.com/news/rams-sign-quentin-lake-to-three-year-extension,2026-08-17
David Quessenberry,OL,re_signed,2026-02-18,2026,,keeps veteran offensive-line depth,https://www.therams.com/team/transactions/2026,2026-08-17
Justin Dedich,OL,exclusive_rights_tender,2026-03-02,2026,,retains young interior offensive-line depth though later declared NFI,https://www.therams.com/news/rams-tender-exclusive-rights-free-agents-justin-dedich-harrison-mevis-and-xavier-smith-2026,2026-08-17
Harrison Mevis,K,exclusive_rights_tender,2026-03-02,2026,,retains kicker after strong 2025 regular-season and postseason sample,https://www.therams.com/news/rams-tender-exclusive-rights-free-agents-justin-dedich-harrison-mevis-and-xavier-smith-2026,2026-08-17
Xavier Smith,WR,exclusive_rights_tender,2026-03-02,2026,,retains primary punt returner and depth receiver,https://www.therams.com/news/rams-tender-exclusive-rights-free-agents-justin-dedich-harrison-mevis-and-xavier-smith-2026,2026-08-17
Kam Curl,S,re_signed,2026-03-10,2028,,keeps safety continuity and defensive leadership,https://www.therams.com/news/rams-re-sign-safety-kam-curl-to-three-year-deal-nfl-free-agency-2026,2026-08-17
Tyler Higbee,TE,re_signed,2026-03-10,2027,,keeps longest-tenured tight end and supports multi-tight-end identity,https://www.therams.com/news/rams-re-sign-tight-end-tyler-higbee-to-two-year-deal-nfl-free-agency-2026,2026-08-17
Keir Thomas,OLB,re_signed,2026-03-11,2026,,retains outside linebacker depth,https://www.therams.com/team/transactions/2026,2026-08-17
Larrell Murchison,DE,re_signed,2026-03-23,2026,,keeps defensive-line rotational depth,https://www.therams.com/team/transactions/2026,2026-08-17
Ronnie Rivers,RB,re_signed,2026-03-25,2026,,keeps third running back and special-teams contributor,https://www.therams.com/news/free-agency,2026-08-17
