round,overall_pick,player,position,college,position_group,immediate_monitoring_question,source_url,last_verified
1,12,Kadyn Proctor,OT,Alabama,offensive_line,Does he start at guard or tackle?,https://www.miamidolphins.com/draft/2026/,2026-08-05
1,27,Chris Johnson,CB,San Diego State,secondary,Does he immediately become CB1?,https://www.miamidolphins.com/draft/2026/,2026-08-05
2,43,Jacob Rodriguez,LB,Texas Tech,linebacker,Does he earn an every-down defensive role?,https://www.miamidolphins.com/draft/2026/,2026-08-05
3,75,Caleb Douglas,WR,Texas Tech,receiver,Can he enter the first-team receiver rotation?,https://www.miamidolphins.com/draft/2026/,2026-08-05
3,87,Will Kacmarek,TE,Ohio State,tight_end,What is his inline and multiple-TE role?,https://www.miamidolphins.com/draft/2026/,2026-08-05
3,94,Chris Bell,WR,Louisville,receiver,When will he return from the late-2025 ACL tear and active/NFI placement?,https://www.miamidolphins.com/draft/2026/,2026-08-05
4,130,Trey Moore,EDGE/LB,Texas,edge,What is his pass-rush and off-ball usage?,https://www.miamidolphins.com/draft/2026/,2026-08-05
4,138,Kyle Louis,LB,Pittsburgh,linebacker,Can he earn coverage and subpackage work?,https://www.miamidolphins.com/draft/2026/,2026-08-05
5,158,Michael Taaffe,S,Texas,secondary,Can he win a starting or subpackage safety role?,https://www.miamidolphins.com/draft/2026/,2026-08-05
5,177,Kevin Coleman Jr.,WR,Missouri,receiver,Can he earn slot or return work?,https://www.miamidolphins.com/draft/2026/,2026-08-05
5,180,Seydou Traore,TE,Mississippi State,tight_end,Does he have an immediate receiving or special-teams role?,https://www.miamidolphins.com/draft/2026/,2026-08-05
6,200,DJ Campbell,G,Texas,offensive_line,Can he enter the starting guard competition?,https://www.miamidolphins.com/draft/2026/,2026-08-05
7,238,Max Llewellyn,EDGE,Iowa,edge,Can he make the rotation or contribute on special teams?,https://www.miamidolphins.com/draft/2026/,2026-08-05
