player,position,2025_role,transaction,transaction_date,destination,performance_significance,source_url,last_verified
Stefon Diggs,WR,veteran_starting_receiver,released,2026-03,,released after one season; clears veteran target volume for reallocation,https://www.espn.com/nfl/story/_/id/48102428/source-patriots-release-wr-stefon-diggs-one-season,2026-09-09
Garrett Bradbury,C,starting_center,traded,2026-03,Chicago Bears,starting center dealt for a 2027 fifth-round pick; Jared Wilson is the Week 1 starting center per the official 2026-08-30 roster analysis,https://www.espn.com/nfl/story/_/id/48084019/new-england-patriots-2026-free-agency-tracker-offseason-moves-signings-contract-trades,2026-09-09
Kayshon Boutte,WR,starting_outside_receiver_and_deep_threat,traded,2026-08-25,Houston Texans,"traded for S Jaylen Reed and a 2028 seventh-round pick; removes the 2025 deep threat and leaves a six-man receiver room (Brown, Doubs, Douglas, Hollins, Kyle Williams, Chism)",https://www.patriots.com/news/patriots-trade-wr-kayshon-boutte-to-the-texans,2026-09-09
Hassan Haskins,RB,not_on_2025_roster (signed 2026-08-12 from the Chargers),released; re-signed to practice squad 2026-08-31,2026-08-28,New England practice squad,released when Corey Kiner was acquired (official article dated 2026-08-28; transaction log lists 08/29); remains a practice-squad early-down option and was passed over for Lan Larison in the Week 1 elevation,https://www.patriots.com/news/patriots-acquire-rb-corey-kiner-in-a-trade-with-arizona-release-rb-hassan-haskins,2026-09-09
Jam Miller,RB,rookie_seventh_round_pick,released,2026-08-30,,2026 seventh-rounder did not survive cutdown; the RB3 job went to trade acquisition Corey Kiner,https://www.patriots.com/news/patriots-make-roster-moves-to-reach-the-53-man-roster-limit-x3970,2026-09-09
James Hudson III,OT,not_on_2025_roster (2026-03 free-agent signing),released,2026-08-30,,"veteran swing-tackle signing cut; tackle depth is now Lomu, Crownover, and Walter Rouse behind Campbell and Moses",https://www.patriots.com/news/patriots-make-roster-moves-to-reach-the-53-man-roster-limit-x3970,2026-09-09
Bradyn Swinson,LB/EDGE,rookie_edge_depth (2025 fifth-round pick),released,2026-08-30,,cut in favor of 2026 seventh-rounder Quintayvious Hutchins; thins edge depth with Harold Landry on reserve/PUP,https://www.patriots.com/news/patriots-make-roster-moves-to-reach-the-53-man-roster-limit-x3970,2026-09-09
Kindle Vildor,CB,not_on_2025_roster (2026-03 free-agent signing),released; signed to practice squad 2026-08-31,2026-08-30,New England practice squad,"cornerback depth behind Gonzalez, Davis III, Marcus Jones, Woods, Prunty, and Canada",https://www.patriots.com/news/patriots-make-roster-moves-to-reach-the-53-man-roster-limit-x3970,2026-09-09
Mike Brown,S,not_on_2025_roster (2026-03 free-agent signing),released; signed to practice squad 2026-08-31,2026-08-30,New England practice squad,"safety competition lost to Woodson, Reed, and Pettus behind Byard",https://www.patriots.com/news/patriots-make-roster-moves-to-reach-the-53-man-roster-limit-x3970,2026-09-09
K.J. Britt,LB,not_on_2025_roster (2026-03 free-agent signing),released; signed to practice squad 2026-09-01,2026-08-31,New England practice squad,"released to clear room for waiver claims Latu and Muasau; linebacker depth is Spillane, Elliss, Muasau, Obiazor, Erick Hunter",https://www.patriots.com/news/patriots-make-a-series-of-transactions-practice-squad,2026-09-09
