player,position,college,initial_acquisition_date,current_status_as_of_2026_08_05,status_date,notes,source_url,last_verified
Jim Bonifas,C,Nebraska,2026-05-08,active_camp_roster,,,https://www.miamidolphins.com/team/transactions/,2026-08-05
Kevin Cline,OT,Stanford,2026-05-08,active_camp_roster,,,https://www.miamidolphins.com/team/transactions/,2026-08-05
Mark Gronowski,QB,Iowa,2026-05-08,active_camp_roster,,,https://www.miamidolphins.com/team/transactions/,2026-08-05
Anthony Hankerson,RB,Oregon State,2026-05-08,active_camp_roster,,,https://www.miamidolphins.com/team/transactions/,2026-08-05
Rene Konga,DL,Louisville,2026-05-08,out_for_season,2026-08-04,Hafley said Konga would miss the season with an undisclosed injury.,https://www.si.com/nfl/dolphins/onsi/mostly-positive-injury-news-but-rookie-lost-for-the-season-01kz6h16v7j2,2026-08-05
Donaven McCulley,WR,Michigan,2026-05-08,active_camp_roster,,,https://www.miamidolphins.com/team/transactions/,2026-08-05
Rodney McGraw,EDGE,Louisville,2026-05-08,active_camp_roster,,,https://www.miamidolphins.com/team/transactions/,2026-08-05
Louis Moore,S,Indiana,2026-05-08,active_camp_roster,,,https://www.miamidolphins.com/team/transactions/,2026-08-05
Le'Veon Moss,RB,Texas A&M,2026-05-08,reserve_retired,2026-05-12,,https://www.miamidolphins.com/team/transactions/,2026-08-05
Mason Reiger,EDGE,Louisville,2026-05-08,active_camp_roster,,,https://www.miamidolphins.com/team/transactions/,2026-08-05
Kahlil Saunders,DL,Alabama,2026-05-08,waived,2026-07-27,Waived when Clelin Ferrell signed.,https://www.miamidolphins.com/team/transactions/,2026-08-05
