player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Hollywood Brown,WR,unrestricted_free_agent,2026-03-17,active,Vertical and rotational receiver in rebuilt post-A.J. Brown room,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
Andy Dalton,QB,trade,2026-03-24,active,Veteran backup competition behind Jalen Hurts,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
Arnold Ebiketie,OLB,unrestricted_free_agent,2026-03-16,active,Edge rotation candidate behind or alongside Nolan Smith Jr. and Jalyx Hunt,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
J.T. Gray,DB,unrestricted_free_agent,2026-03-21,active,Special teams core player and safety depth,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
Jonathan Jones,CB,unrestricted_free_agent,2026-03-13,active,Veteran slot/outside depth in young Fangio secondary,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
Elijah Moore,WR,unrestricted_free_agent,2026-03-25,active,Slot and motion competition in crowded receiver room,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
Johnny Mundt,TE,unrestricted_free_agent,2026-03-11,active,Blocking tight end and multi-TE package competition,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
Dameon Pierce,RB,unrestricted_free_agent,2026-03-19,active,Depth and kick-return competition behind Saquon Barkley,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
Stone Smartt,TE,unrestricted_free_agent,2026-03-23,active,Tight end depth and roster competition,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
Dontayvion Wicks,WR,trade,2026-04-11,active,Starting receiver competition and Mannion-system familiarity,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
Riq Woolen,CB,unrestricted_free_agent,2026-03-11,active,Outside-corner starter competition opposite Quinyon Mitchell,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
Jonathan Greenard,OLB,trade,2026-04-24,pup,High-end edge addition working back from injury ramp,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17
A.J. Epenesa,DE,free_agent_signing,2026-06-10,active,Veteran edge/depth rusher in Fangio rotation,https://www.philadelphiaeagles.com/team/transactions/2026,2026-08-17

