candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
east-01,"Dallas Cowboys communications","Dallas Cowboys",organization,initial,"roster; injuries; transactions; depth chart; press conferences",https://www.dallascowboys.com/news/,https://www.dallascowboys.com/news/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-dallas-cowboys,2026-08-21
east-02,"NFL gamebooks and participation records","NFL",organization,initial,"participation; starters; statistics; play-by-play",https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-nfl-gamebooks,2026-08-21
east-03,"Todd Archer","ESPN NFL Nation",person,initial,"daily beat; injuries; roster; organization",https://espnpressroom.com/bio/todd-archer/,https://espnpressroom.com/bio/todd-archer/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-todd-archer,2026-08-21
east-04,"Nick Harris","Fort Worth Star-Telegram",person,initial,"camp observations; position battles; transactions; draft",https://www.star-telegram.com/profile/292227800/,https://www.star-telegram.com/profile/292227800/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-nick-harris,2026-08-21
east-05,"Calvin Watkins","The Dallas Morning News",person,initial,"daily beat; camp observations; pass catchers; organization",https://www.dallasnews.com/sports/cowboys/,https://www.dallasnews.com/sports/cowboys/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-calvin-watkins,2026-08-21
east-06,"Clarence Hill","DLLS Sports",person,initial,"breaking news; ownership; contracts; organization",https://alldlls.com/author/clarencedlls/,https://alldlls.com/author/clarencedlls/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-clarence-hill,2026-08-21
east-07,"Joseph Hoyt","DLLS Sports",person,omission_pass,"daily beat; camp observations; roster; role battles",https://alldlls.com/author/jhoyt/,https://alldlls.com/author/jhoyt/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-joseph-hoyt,2026-08-21
east-08,"Jon Machota","The Athletic",person,initial,"practice; roster; organization; player roles",https://www.nytimes.com/athletic/author/jon-machota/,https://www.nytimes.com/athletic/author/jon-machota/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-jon-machota,2026-08-21
east-09,"Saad Yousuf","The Athletic / The Ticket",person,omission_pass,"camp; scheme; roster analysis; local radio",https://www.nytimes.com/athletic/author/saad-yousuf/,https://www.nytimes.com/athletic/author/saad-yousuf/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-saad-yousuf,2026-08-21
east-10,"Jane Slater","NFL Network",person,omission_pass,"breaking news; organization; player interviews",https://www.nfl.com/author/jane-slater,https://www.nfl.com/author/jane-slater,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-jane-slater,2026-08-21
east-11,"Patrik Walker","Dallas Cowboys",person,omission_pass,"camp observations; roster; role battles; team podcasts",https://www.dallascowboys.com/team/writers/patrik-walker,https://www.dallascowboys.com/team/writers/patrik-walker,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-patrik-walker,2026-08-21
east-12,"Bryan Broaddus","105.3 The Fan / Trust the Tape",person,omission_pass,"film; scouting; offensive line; roster evaluation",https://podcasts.apple.com/us/podcast/jeff-cavanaugh-trust-the-tape/id1573624543,https://podcasts.apple.com/us/podcast/jeff-cavanaugh-trust-the-tape/id1573624543,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-bryan-broaddus,2026-08-21
east-13,"David Moore","D Magazine / The Ticket",person,omission_pass,"institutional context; organization; long-form reporting; radio",https://www.dmagazine.com/writers/david-moore/,https://www.dmagazine.com/writers/david-moore/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-david-moore,2026-08-21
east-14,"Newy Scruggs","NBC 5 Dallas-Fort Worth",person,omission_pass,"original interviews; local television; camp roundtables",https://www.nbcdfw.com/tag/dallas-cowboys/,https://www.nbcdfw.com/tag/dallas-cowboys/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-newy-scruggs,2026-08-21
east-15,"Over the Cap","Over the Cap",organization,omission_pass,"contracts; cap; roster mechanics",https://overthecap.com/team/dallas-cowboys,https://overthecap.com/team/dallas-cowboys,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-over-the-cap,2026-08-21
east-16,"Pro Football Reference","Sports Reference",organization,omission_pass,"game logs; snap counts; history",https://www.pro-football-reference.com/teams/dal/2026.htm,https://www.pro-football-reference.com/teams/dal/2026.htm,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-pro-football-reference,2026-08-21
