evidence_id,observed_date,priority_id,entity_or_unit,evidence_type,observed_fact,source_id,source_url,independent_corroboration,confidence,fantasy_implication,status,last_verified
hou-2026-pre-ev-001,2026-07-31,1,Keylan Rutledge,reported_observation,"Rutledge generated early camp run-game buzz at center, including a second-level block during a Montgomery run, and the offense later picked up pressure well for a Stroud completion to Collins.",local-writer-john-harris,https://www.houstontexans.com/news/stroud-slingin-it-rutledge-pancakes-and-more-from-the-first-three-days-harris-hits,no,medium,"Rutledge is a live center upgrade variable for run efficiency and Stroud protection.",active,2026-08-18
hou-2026-pre-ev-002,2026-08-04,1,Keylan Rutledge and offensive line,reported_observation,"Rutledge anchored against Kayden McDonald in one-on-ones, while Stroud beat pressure with multiple Higgins completions in team work.",local-writer-john-harris,https://www.houstontexans.com/news/harris-hits-trenches-take-center-stage-as-c-j-stroud-sparkles-at-texans-training-camp,no,medium,"Positive center and blitz-response evidence but not enough to settle game protection quality.",active,2026-08-18
hou-2026-pre-ev-003,2026-08-05,5,Marlin Klein,reported_observation,"Klein made catches on seam and team-drill routes; Schultz also separated in one-on-ones and Moreau/Jordan remained involved.",local-writer-john-harris,https://www.houstontexans.com/news/harris-hits-jadeveon-clowney-kayden-mcdonald-fuel-a-loaded-texans-defensive-front,no,medium,"Klein has real receiving-role upside behind Schultz but routes must be separated from camp highlights.",active,2026-08-18
hou-2026-pre-ev-004,2026-08-05,6,Jadeveon Clowney and Kayden McDonald,reported_observation,"Clowney generated repeated edge pressure and McDonald produced back-to-back run-game plays in team work.",local-writer-john-harris,https://www.houstontexans.com/news/harris-hits-jadeveon-clowney-kayden-mcdonald-fuel-a-loaded-texans-defensive-front,no,medium,"Houston DST pressure depth looks stronger; third-down package share is the next fantasy test.",active,2026-08-18
hou-2026-pre-ev-005,2026-08-07,4,Jared Wayne and Lewis Bond,reported_observation,"Wayne produced multiple standout catches including red-zone and chunk plays; Bond made consecutive catches from Mills and Mertz.",local-writer-john-harris,https://www.houstontexans.com/news/harris-hits-jared-wayne-steals-the-show-at-august-7-texans-training-camp,no,medium,"WR6/WR7 remains live; Wayne and Bond need preseason/special-teams confirmation.",active,2026-08-18
hou-2026-pre-ev-006,2026-08-10,2,Stroud and Woody Marks,reported_observation,"Stroud threw hot to Marks against an unblocked rusher, and later found Klein for a catch-and-run touchdown.",local-writer-john-harris,https://www.houstontexans.com/news/harris-hits-tank-dell-returns-to-team-drills-as-texans-defense-stays-hot,no,medium,"Marks has checkdown utility and Stroud's pressure answer is improving, but role share is unmeasured.",active,2026-08-18
hou-2026-pre-ev-007,2026-08-10,4,Tank Dell and Noah Whittington,reported_observation,"Dell returned to team-drill reps and caught a Davis Mills red-zone touchdown; Whittington produced the practice's best run for a touchdown.",local-writer-john-harris,https://www.houstontexans.com/news/harris-hits-tank-dell-returns-to-team-drills-as-texans-defense-stays-hot,no,medium,"Dell participation matters for target hierarchy; Whittington remains a depth RB watch.",active,2026-08-18
hou-2026-pre-ev-008,2026-08-11,4,Nico Collins and Lewis Bond,reported_observation,"Collins opened indoor practice with a sideline catch from Stroud, while Bond made a difficult catch attempt and continued to appear in camp reports.",local-writer-john-harris,https://www.houstontexans.com/news/harris-hits-nico-collins-shines-as-texans-take-camp-inside-reliant-stadium,no,medium,"Collins remains the alpha; Bond is pushing toward a roster role.",active,2026-08-18
hou-2026-pre-ev-009,2026-08-13,5,Marlin Klein,game_usage,"Klein's preseason debut included an early 31-yard seam catch, 11 snaps, a fourth-down DPI drawn, and run-game work with the starting offensive line.",local-writer-jonathan-m-alexander,https://www.houstonchronicle.com/sports/texans/article/marlin-klein-tight-end-depth-chart-preseason-22386591.php,yes,high,"Klein is the top receiving-upside TE behind Schultz, but snap share remains low until first-unit routes are charted.",active,2026-08-18
hou-2026-pre-ev-010,2026-08-13,4,Jared Wayne,game_usage,"Wayne caught three passes including Houston's touchdown in the 27-7 preseason loss to the Chargers.",local-source-houston-texans,https://www.houstontexans.com/news/a-preseason-opener-that-belonged-to-the-young-guys,yes,high,"Wayne has converted camp production into game evidence but may still be roster-number dependent.",active,2026-08-18
hou-2026-pre-ev-011,2026-08-15,4,Xavier Hutchinson and Jayden Higgins,reported_observation,"Stroud connected with Hutchinson for multiple explosive plays and hit Higgins across the middle with Montgomery providing blitz pickup.",local-writer-john-harris,https://www.houstontexans.com/news/harris-hits-derek-stingley-jr-dazzles-as-texans-beat-the-heat-at-camp,no,medium,"Hutchinson and Higgins remain important route-share watches behind Collins.",active,2026-08-18
hou-2026-pre-ev-012,2026-08-16,2,Texans offense,reported_observation,"Harris described Houston's best offensive practice of camp, with Stroud completions to Bond, Hutchinson, Collins, Higgins, Wayne, and checkdown work to Marks.",local-writer-john-harris,https://www.houstontexans.com/news/harris-hits-c-j-stroud-and-the-texans-offense-have-their-best-day-of-training-camp,no,medium,"Passing-game arrow is up, but it still needs starter preseason evidence versus an opponent.",active,2026-08-18
hou-2026-pre-ev-013,2026-08-17,Backfield and TE roster,roster_projection,"Chronicle projected Montgomery, Marks, Jawhar Jordan and British Brooks as RB keepers, with Whittington on practice squad; it projected Schultz, Klein, Moreau and Stover at TE, with Brevin Jordan cut.",local-writer-jonathan-m-alexander,https://www.houstonchronicle.com/sports/texans/article/53-man-roster-projection-houston-22390507.php,no,medium,"Jordan/Whittington/Brooks and TE4 decisions should be treated as cutdown-sensitive.",active,2026-08-18
hou-2026-pre-ev-014,2026-08-17,1,Offensive line roster,roster_projection,"Chronicle projected Ersery, Teller, Rutledge, Ingram and Trent Brown as starters, with Braden Smith behind Brown and Jake Andrews outside the current 53.",local-writer-jonathan-m-alexander,https://www.houstonchronicle.com/sports/texans/article/53-man-roster-projection-houston-22390507.php,no,medium,"Center and right tackle remain the most important protection variables for Stroud.",active,2026-08-18
hou-2026-pre-ev-015,2026-08-12,6,Defensive line and rookies,reported_observation,"Chronicle identified the defensive line and rookies as risers, noting Clowney's camp impact, Rutledge's first-team center work, McDonald's strength, Bond's catches, and Wright's coverage plays.",local-writer-jonathan-m-alexander,https://www.houstonchronicle.com/sports/texans/article/texans-training-camp-risers-fallers-22381555.php,yes,medium,"DST ceiling and rookie role impact are both actionable but need preseason snap confirmation.",active,2026-08-18
hou-2026-pre-ev-016,2026-08-15,8,Graham Mertz and Joshua Pitsenberger,roster_status,"Houston signed Brett Rypien and placed Graham Mertz and Joshua Pitsenberger on Reserve/Injured.",local-source-houston-texans,https://www.houstontexans.com/news/houston-texans-transactions-8-15-2026,no,high,"Mertz/Pitsenberger are removed from opening active-role projections; Rypien affects preseason QB reps only.",active,2026-08-18
hou-2026-pre-ev-017,2026-08-17,8,Bryce Hall,roster_status,"Houston signed cornerback Bryce Hall.",local-source-houston-texans,https://www.houstontexans.com/news/houston-texans-transactions-8-17-2026,no,high,"Corner/nickel depth should be rechecked before freezing the defensive depth chart.",active,2026-08-18
hou-2026-pre-ev-018,2026-08-16,8,Louis Hansen,roster_status,"Houston signed tight end Louis Hansen.",local-source-houston-texans,https://www.houstontexans.com/news/houston-texans-transactions-8-16-2026,no,high,"Adds camp TE depth but does not change Schultz/Klein/Moreau/Stover without first-unit evidence.",active,2026-08-18
