team,abbr,season,metric_family,metric_name,rank_direction,rank,value,source_id,last_verified,interpretation,status,notes
Chicago Bears,CHI,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,1,0.550,nfl-ops-2026-sos,2026-08-17,toughest,active,"Baseline real-football SOS; not position-specific."
Miami Dolphins,MIA,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,2,0.542,nfl-ops-2026-sos,2026-08-17,toughest,active,"Baseline real-football SOS; not position-specific."
Arizona Cardinals,ARI,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,3,0.538,nfl-ops-2026-sos,2026-08-17,toughest,active,"Tied with Green Bay by opponent win percentage."
Green Bay Packers,GB,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,3,0.538,nfl-ops-2026-sos,2026-08-17,toughest,active,"Tied with Arizona by opponent win percentage."
Kansas City Chiefs,KC,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,5,0.536,nfl-ops-2026-sos,2026-08-17,tougher,active,"Baseline real-football SOS; not position-specific."
New England Patriots,NE,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,6,0.531,nfl-ops-2026-sos,2026-08-17,tougher,active,"Baseline real-football SOS; not position-specific."
Las Vegas Raiders,LV,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,7,0.529,nfl-ops-2026-sos,2026-08-17,tougher,active,"Baseline real-football SOS; not position-specific."
Buffalo Bills,BUF,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,8,0.528,nfl-ops-2026-sos,2026-08-17,tougher,active,"Baseline real-football SOS; not position-specific."
Los Angeles Chargers,LAC,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,9,0.522,nfl-ops-2026-sos,2026-08-17,tougher,active,"Baseline real-football SOS; not position-specific."
Carolina Panthers,CAR,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,10,0.521,nfl-ops-2026-sos,2026-08-17,tougher,active,"Baseline real-football SOS; not position-specific."
Minnesota Vikings,MIN,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,11,0.519,nfl-ops-2026-sos,2026-08-17,tougher,active,"Baseline real-football SOS; not position-specific."
New York Jets,NYJ,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,12,0.517,nfl-ops-2026-sos,2026-08-17,tougher,active,"Baseline real-football SOS; not position-specific."
Los Angeles Rams,LAR,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,13,0.516,nfl-ops-2026-sos,2026-08-17,above_average_difficulty,active,"Baseline real-football SOS; not position-specific."
Seattle Seahawks,SEA,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,14,0.514,nfl-ops-2026-sos,2026-08-17,above_average_difficulty,active,"Baseline real-football SOS; not position-specific."
Denver Broncos,DEN,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,15,0.512,nfl-ops-2026-sos,2026-08-17,above_average_difficulty,active,"Baseline real-football SOS; not position-specific."
Washington Commanders,WAS,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,16,0.502,nfl-ops-2026-sos,2026-08-17,near_average,active,"Baseline real-football SOS; not position-specific."
New York Giants,NYG,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,17,0.498,nfl-ops-2026-sos,2026-08-17,near_average,active,"Baseline real-football SOS; not position-specific."
San Francisco 49ers,SF,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,18,0.497,nfl-ops-2026-sos,2026-08-17,near_average,active,"Baseline real-football SOS; not position-specific."
Pittsburgh Steelers,PIT,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,19,0.495,nfl-ops-2026-sos,2026-08-17,near_average,active,"Baseline real-football SOS; not position-specific."
Dallas Cowboys,DAL,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,20,0.493,nfl-ops-2026-sos,2026-08-17,near_average,active,"Baseline real-football SOS; not position-specific."
Tampa Bay Buccaneers,TB,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,21,0.491,nfl-ops-2026-sos,2026-08-17,near_average,active,"Baseline real-football SOS; not position-specific."
Jacksonville Jaguars,JAX,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,22,0.490,nfl-ops-2026-sos,2026-08-17,near_average,active,"Baseline real-football SOS; not position-specific."
Philadelphia Eagles,PHI,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,23,0.481,nfl-ops-2026-sos,2026-08-17,easier,active,"Baseline real-football SOS; not position-specific."
Baltimore Ravens,BAL,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,24,0.479,nfl-ops-2026-sos,2026-08-17,easier,active,"Baseline real-football SOS; not position-specific."
Tennessee Titans,TEN,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,25,0.476,nfl-ops-2026-sos,2026-08-17,easier,active,"Baseline real-football SOS; not position-specific."
Houston Texans,HOU,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,26,0.474,nfl-ops-2026-sos,2026-08-17,easier,active,"Baseline real-football SOS; not position-specific."
Detroit Lions,DET,2026,prior_year_opponent_record,opponent_2025_win_pct,1=hardest,27,0.467,nfl-ops-2026-sos,2026-08-17,easier,active,"Baseline real-football SOS; not position-specific."
