player,position,2025_role,transaction,transaction_date,destination,performance_significance,source_url,last_verified
Mekhi Becton,G,Starting right guard,Released,2026-03-04,,Opened a starting interior-line vacancy during the shift to Mike McDaniel's movement-based run scheme,https://www.chargers.com/news/free-agency-tracker-2026,2026-08-16
Will Dissly,TE,Blocking-oriented rotational starter,Released with failed-physical designation,2026-03-04,,Removed a veteran blocker and accelerated a full tight-end-room remake,https://www.chargers.com/news/free-agency-tracker-2026,2026-08-16
Otito Ogbonnia,DL,Rotational interior defender,Departed in free agency,2026-03-10,Dallas Cowboys,Reduced returning interior-line depth before the additions of Dalvin Tomlinson and Nick Barrett,https://www.chargers.com/news/free-agency-tracker-2026,2026-08-16
Zion Johnson,G,Starting guard,Departed in free agency,2026-03-11,Cleveland Browns,Removed a 2025 starter from an offensive line that was subsequently rebuilt through free agency and the draft,https://www.chargers.com/news/free-agency-tracker-2026,2026-08-16
Benjamin St-Juste,CB,Veteran outside-corner contributor,Departed in free agency,2026-03-12,Green Bay Packers,Reduced veteran corner depth while leaving the returning top corner group intact,https://www.chargers.com/news/free-agency-tracker-2026,2026-08-16
Tyler Conklin,TE,Receiving and inline tight-end contributor,Departed in free agency,2026-03-13,Detroit Lions,Removed another 2025 tight end before David Njoku and Charlie Kolar arrived,https://www.chargers.com/news/free-agency-tracker-2026,2026-08-16
Jamaree Salyer,G/T,Versatile starting and swing lineman,Departed in free agency,2026-03-13,Miami Dolphins,Removed experienced multi-position depth from the rebuilt offensive line,https://www.chargers.com/news/free-agency-tracker-2026,2026-08-16
Odafe Oweh,EDGE,Starting edge defender after an in-season trade,Departed in free agency,2026-03-14,Washington Commanders,Removed an established pass rusher and increased the importance of the first-round investment in Akheem Mesidor,https://www.chargers.com/news/free-agency-tracker-2026,2026-08-16
Da'Shawn Hand,DL,Rotational interior defender,Departed in free agency,2026-03-16,Atlanta Falcons,Contributed to turnover behind the returning interior core,https://www.chargers.com/news/free-agency-tracker-2026,2026-08-16
Austin Deculus,OT,Reserve tackle,Departed in free agency,2026-03-18,Tennessee Titans,Removed veteran tackle depth from a position group rebuilt with multiple additions,https://www.chargers.com/news/free-agency-tracker-2026,2026-08-16
Keenan Allen,WR,High-volume veteran receiver,Contract expired,2026-03-11,,Left 81 receptions and 777 receiving yards from 2025 to be redistributed among a younger receiver room,https://www.chargers.com/news/free-agency-tracker-2026,2026-08-16
Najee Harris,RB,Intended veteran backfield contributor before a Week 3 Achilles injury,Contract expired,2026-03-11,,Removed a veteran workload option and left Omarion Hampton and Kimani Vidal atop the returning backfield,https://www.chargers.com/news/free-agency-tracker-2026,2026-08-16
