source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-dallas-cowboys,organization,Dallas Cowboys communications,Dallas Cowboys,Official team communications,official,essential,active,free,"roster; injuries; transactions; depth chart; press conferences","Team-produced editorial and analysis are not independent.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Use the game-specific record postgame.",,,,2026-08-21
local-writer-todd-archer,person,Todd Archer,ESPN NFL Nation,Dallas Cowboys NFL Nation reporter,reporting,essential,active,mixed,"daily beat; injuries; roster; organization","ESPN verifies the assignment; distinguish reporting from analysis.",,,,2026-08-21
local-writer-nick-harris,person,Nick Harris,Fort Worth Star-Telegram,Dallas Cowboys beat reporter,reporting,essential,active,paid,"camp observations; position battles; transactions; draft","Current profile and August 2026 bylines verify the assignment; summarize paywalled work.",,,,2026-08-21
local-writer-calvin-watkins,person,Calvin Watkins,The Dallas Morning News,Lead Cowboys beat reporter,reporting,essential,active,paid,"daily beat; camp observations; pass catchers; organization","Current August 2026 camp work verifies the lead-beat role; summarize paywalled work.",,,,2026-08-21
local-writer-clarence-hill,person,Clarence Hill,DLLS Sports,Cowboys insider and beat writer,reporting,essential,active,mixed,"breaking news; ownership; contracts; organization","Longest-tenured active Cowboys beat; distinguish sourced reporting from commentary.",Fort Worth Star-Telegram Cowboys beat writer,2024,,2026-08-21
local-writer-joseph-hoyt,person,Joseph Hoyt,DLLS Sports,Cowboys beat reporter,reporting,valuable,active,mixed,"daily beat; camp observations; roster; role battles","DLLS profile and current camp work verify assignment.",Dallas Morning News Cowboys beat reporter,2026,,2026-08-21
local-writer-jon-machota,person,Jon Machota,The Athletic,Cowboys reporter,reporting,essential,active,paid,"practice; roster; organization; player roles","Paywalled; preserve attribution and separate observation from projection.",,,,2026-08-21
local-writer-saad-yousuf,person,Saad Yousuf,The Athletic / The Ticket,Cowboys reporter and analyst,reporting,valuable,active,mixed,"camp; scheme; roster analysis; local radio","The omission pass confirmed active 2026 camp work; separate radio opinion from sourced reporting.",,,,2026-08-21
local-writer-jane-slater,person,Jane Slater,NFL Network,Dallas-based NFL reporter,reporting,valuable,active,free,"breaking news; organization; player interviews","National reporter with a Dallas focus; not a daily rep log.",,,,2026-08-21
local-writer-patrik-walker,person,Patrik Walker,Dallas Cowboys,Staff writer and podcast analyst,team_analysis,valuable,active,free,"camp observations; roster; role battles; team podcasts","Team employee; useful access but not independent confirmation.",,,,2026-08-21
local-writer-bryan-broaddus,person,Bryan Broaddus,105.3 The Fan / Trust the Tape,Cowboys film and scouting analyst,film_analysis,valuable,active,free,"film; scouting; offensive line; roster evaluation","Evaluation source; establish transactions and injuries independently.",,,,2026-08-21
local-writer-david-moore,person,David Moore,D Magazine / The Ticket,Cowboys reporter and columnist,reporting,valuable,active,mixed,"institutional context; organization; long-form reporting; radio","No longer at the Dallas Morning News; current StrongSide work is lower cadence.",Dallas Morning News Cowboys reporter,2025,,2026-08-21
local-writer-newy-scruggs,person,Newy Scruggs,NBC 5 Dallas-Fort Worth,Local television host and reporter,reporting,valuable,active,free,"original interviews; local television; camp roundtables","Interview and broadcast source; separate guest reporting from host analysis.",,,,2026-08-21
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Contract and salary-cap reference,contract_data,valuable,active,free,"contracts; cap; roster mechanics","Third-party interpretation; cross-check unusual figures.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,"game logs; snap counts; history","Secondary reference; not a live camp source.",,,,2026-08-21
