source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-miami-dolphins,organization,Miami Dolphins communications,Miami Dolphins,Official team communications,official,essential,active,free,"injuries; transactions; transcripts; press conferences; practice notebooks","Source of record for team announcements; team-produced editorial and analysis are not independent.",,,,2026-08-05
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Use the game-specific book as the postgame source of record.",,,,2026-08-05
local-writer-barry-jackson,person,Barry Jackson,Miami Herald,Dolphins and South Florida sports reporter,reporting,essential,active,mixed,"sourced reporting; roster; organization; contracts","Separate sourced reporting from analysis and verify contract figures against structured references.",,,,2026-08-05
local-writer-marcel-louis-jacques,person,Marcel Louis-Jacques,ESPN NFL Nation,Miami Dolphins NFL Nation reporter,reporting,essential,active,mixed,"beat reporting; injuries; transactions; team context","ESPN's current biography identifies him as its Miami Dolphins NFL Nation reporter.",,,,2026-08-05
local-writer-david-furones,person,David Furones,South Florida Sun Sentinel,Miami Dolphins reporter,reporting,essential,active,mixed,"daily beat; practice; injuries; roster","Favor concrete observations and sourced reporting over evaluative camp language.",,,,2026-08-05
local-writer-joe-schad,person,Joe Schad,Palm Beach Post,Miami Dolphins reporter,reporting,essential,active,mixed,"practice; player usage; roster; coaching","Cross-check material role claims with official records or an independent observer.",,,,2026-08-05
local-writer-omar-kelly,person,Omar Kelly,Miami Herald,Dolphins beat reporter and columnist,reporting,essential,active,mixed,"practice observations; sourced reporting; commentary","Hybrid role: label each claim as firsthand observation, sourced reporting, or commentary.",South Florida Sun Sentinel Dolphins columnist,,Chris Perkins,2026-08-05
local-writer-c-isaiah-smalls-ii,person,C. Isaiah Smalls II,Miami Herald,Miami Dolphins reporter,reporting,essential,active,mixed,"Dolphins coverage; features; team context","Active Dolphins coverage and part of the current Herald coverage map.",Miami Herald race and culture reporter,,,2026-08-05
local-writer-hal-habib,person,Hal Habib,Palm Beach Post,Dolphins reporter and columnist,reporting,essential,active,mixed,"local reporting; organization; historical context","Publication cadence may be less daily than the primary practice rotation.",,,,2026-08-05
local-writer-alain-poupart,person,Alain Poupart,Miami Dolphins On SI,Publisher/editor and credentialed Dolphins reporter,reporting,essential,active,free,"practice observations; roster; history; interviews","Treat direct practice attendance as primary reporting; separate mailbag and debate opinion.",,,,2026-08-05
local-writer-kyle-crabbs,person,Kyle Crabbs,Locked On Dolphins / A to Z Sports,Host and analyst,film_analysis,essential,active,free,"film; scheme; roster construction; draft; role projection","Analysis source; not an official record or substitute for independent beat reporting.",,,,2026-08-05
local-source-3ypc,collective,3 Yards Per Carry,Five Reasons Sports Network,Dolphins podcast,film_analysis,essential,active,free,"film; scheme; camp reports; roster discussion","Attribute Chris Kouffman, Simon Clancy, or Alfredo Arteaga individually when possible.",,,,2026-08-05
local-writer-travis-wingfield,person,Travis Wingfield,Miami Dolphins,Drive Time host and team analyst,team_analysis,essential,active,free,"practice recaps; film; interviews; scheme","Team employee; valuable detail but not organizationally independent.",,,,2026-08-05
local-writer-chris-perkins,person,Chris Perkins,South Florida Sun Sentinel,Miami Dolphins columnist,commentary,valuable,active,mixed,"column; team context; practice interpretation","Commentary-first; pair consequential conclusions with a reporting source.",,,,2026-08-05
local-writer-cameron-wolfe,person,Cameron Wolfe,NFL Network,National NFL reporter,reporting,valuable,active,mixed,"national reporting; league context; selected on-site updates","High value on active Dolphins assignments; not a daily team beat feed.",,,,2026-08-05
local-source-pff,organization,Pro Football Focus,PFF,Football charting and evaluation service,data,valuable,active,paid,"grades; charting; alignments; routes; pressures","Proprietary methodology; grades are evaluations rather than official facts.",,,,2026-08-05
local-source-pfr,organization,Pro Football Reference,Sports Reference,Structured football reference,data,valuable,active,free,"game logs; snap counts; rosters; history","Its snap-count pages identify the counts as unofficial; verify consequential discrepancies.",,,,2026-08-05
local-source-over-the-cap,organization,Over the Cap,Over the Cap,NFL contract and salary-cap reference,contract_data,valuable,active,free,"contracts; cap charges; dead money; roster management","Third-party contract interpretation; cross-check unusual or consequential figures.",,,,2026-08-05
local-source-spotrac,organization,Spotrac,Spotrac,Sports contract and transaction reference,contract_data,valuable,active,mixed,"contracts; transactions; roster","Useful cross-check; not an official transaction notice or contract filing.",,,,2026-08-05
local-source-the-phinsider,organization,The Phinsider,SB Nation,Dolphins news and community site,aggregation,valuable,active,free,"aggregation; roster news; links; community context","Follow consequential claims to the original reporter or official source.",,,,2026-08-05
local-source-rotowire,organization,RotoWire,RotoWire,Fantasy news service,aggregation,valuable,active,paid,"injuries; transactions; fantasy roles","Use the attribution to retrieve and cite the underlying report.",,,,2026-08-05
local-source-fantasy-life,organization,Fantasy Life,Fantasy Life,Fantasy analysis and data service,fantasy_analysis,valuable,active,mixed,"usage; projections; fantasy implications","Downstream interpretation; establish team facts with reporting or official records first.",,,,2026-08-05
