coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-robert-saleh,Robert Saleh,all,Head Coach,false,,https://www.tennesseetitans.com/team/coaches-roster/,2026-08-17
local-coach-brian-daboll,Brian Daboll,offense,Offensive Coordinator,false,,https://www.tennesseetitans.com/team/coaches-roster/,2026-08-17
local-coach-gus-bradley,Gus Bradley,defense,Defensive Coordinator,false,,https://www.tennesseetitans.com/team/coaches-roster/,2026-08-17
local-coach-john-fassel,John Fassel,special_teams,Assistant Head Coach/Special Teams Coordinator,true,Special Teams Coordinator,https://www.tennesseetitans.com/team/coaches-roster/,2026-08-17
local-coach-carmen-bricillo,Carmen Bricillo,offense,Offensive Line,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-randy-jordan,Randy Jordan,offense,Running Backs/Bill Walsh Diversity Coaching Fellowship Coordinator,true,Running Backs,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-greg-lewis,Greg Lewis,offense,Wide Receivers,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-luke-stocker,Luke Stocker,offense,Tight Ends,true,Tight Ends,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-shea-tierney,Shea Tierney,offense,Quarterbacks,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-trevor-browder,Trevor Browder,offense,Offensive Assistant,true,Offensive Assistant,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-cade-knox,Cade Knox,offense,Offensive Assistant/Game Management,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-john-rudnicki,John Rudnicki,offense,Offensive Assistant,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-isaac-williams,Isaac Williams,offense,Assistant Offensive Line,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-ben-bloom,Ben Bloom,defense,Senior Defensive Assistant,true,Senior Defensive Assistant,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-dave-borgonzi,Dave Borgonzi,defense,Linebackers,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-dalton-hilliard,Dalton Hilliard,defense,Defensive Backs/Nickels,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-marquand-manuel,Marquand Manuel,defense,Defensive Backs/Safeties,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-tony-oden,Tony Oden,defense,Defensive Pass Game Coordinator/Cornerbacks,true,Defensive Pass Game Coordinator/Cornerbacks,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-ahmed-saleh,Ahmed Saleh,defense,Defensive Assistant,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-tanzel-smart,Tanzel Smart,defense,Assistant Defensive Line,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-aaron-whitecotton,Aaron Whitecotton,defense,Defensive Run Game Coordinator/Defensive Line,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-rayna-stewart,Rayna Stewart,special_teams,Assistant Special Teams,true,Assistant Special Teams,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
local-coach-rob-dadona,Rob Dadona,all,Chief of Staff,false,,https://www.tennesseetitans.com/news/titans-finalize-coaching-staff-under-robert-saleh,2026-08-17
