player,position,college,initial_acquisition_date,current_status_as_of_2026_08_05,status_date,notes,source_url,last_verified
Dominic Bailey,DT,Tennessee,2026-04-07,active,2026-08-17,Interior defensive-line depth competition,https://www.houstontexans.com/team/transactions/2026,2026-08-17
Sam Hagen,T,South Dakota State,2026-04-07,active,2026-08-17,Developmental tackle competition,https://www.houstontexans.com/team/transactions/2026,2026-08-17
Stephen Hall,CB,Missouri,2026-04-07,active,2026-08-17,Cornerback depth competition,https://www.houstontexans.com/team/transactions/2026,2026-08-17
Sabastian Harsh,DE,N.C. State,2026-04-07,active,2026-08-17,Edge depth competition,https://www.houstontexans.com/team/transactions/2026,2026-08-17
James Neal III,T,Iowa State,2026-04-07,active,2026-08-17,Developmental tackle competition,https://www.houstontexans.com/team/transactions/2026,2026-08-17
Treyvhon Saunders,WR,Colgate,2026-04-07,active,2026-08-17,Receiver depth competition,https://www.houstontexans.com/team/transactions/2026,2026-08-17
Daniel Sobkowicz,WR,Illinois State,2026-04-07,active,2026-08-17,Receiver depth who appeared in camp reporting as a splash-play candidate,https://www.houstontexans.com/team/transactions/2026,2026-08-17
Noah Whittington,RB,Oregon,2026-04-07,active,2026-08-17,Backfield depth competition,https://www.houstontexans.com/team/transactions/2026,2026-08-17
Collin Wright,CB,Stanford,2026-04-07,active,2026-08-17,Undrafted corner noted in camp reporting as a riser,https://www.houstontexans.com/team/transactions/2026,2026-08-17

