coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-dan-campbell,Dan Campbell,all,Head Coach,true,Head Coach,https://www.detroitlions.com/team/coaches-roster/dan-campbell,2026-08-17
local-coach-drew-petzing,Drew Petzing,offense,Offensive Coordinator,false,,https://www.detroitlions.com/news/lions-hire-drew-petzing-as-offensive-coordinator,2026-08-17
local-coach-kelvin-sheppard,Kelvin Sheppard,defense,Defensive Coordinator,true,Defensive Coordinator,https://www.detroitlions.com/team/coaches-roster/kelvin-sheppard,2026-08-17
local-coach-dave-fipp,Dave Fipp,special_teams,Special Teams Coordinator,true,Special Teams Coordinator,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-scottie-montgomery,Scottie Montgomery,offense,Associate Head Coach / Wide Receivers,true,Associate Head Coach / Wide Receivers,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-jim-oneil,Jim O'Neil,defense,Assistant Head Coach / Safeties,true,Assistant Head Coach / Safeties,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-mark-brunell,Mark Brunell,offense,Quarterbacks,true,Quarterbacks,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-tashard-choice,Tashard Choice,offense,Running Backs,false,,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-caleb-collins,Caleb Collins,defense,Defensive Assistant,true,Defensive Assistant,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-david-corrao,David Corrao,defense,Senior Defensive Assistant / Outside Linebackers,true,Senior Defensive Assistant / Outside Linebackers,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-hank-fraley,Hank Fraley,offense,Run Game Coordinator / Offensive Line,true,Run Game Coordinator / Offensive Line,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-bruce-gradkowski,Bruce Gradkowski,offense,Assistant Wide Receivers,true,Assistant Wide Receivers,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-shaun-dion-hamilton,Shaun Dion Hamilton,defense,Linebackers,true,Linebackers,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-mike-kafka,Mike Kafka,offense,Pass Game Coordinator,false,,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-august-mangin,August Mangin,defense,Defensive Assistant,true,Defensive Assistant,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-justin-mesa,Justin Mesa,offense,Offensive Quality Control,true,Offensive Quality Control,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-jett-modkins,Jett Modkins,special_teams,Assistant Special Teams,true,Assistant Special Teams,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-steve-oliver,Steve Oliver,offense,Tight Ends,true,Tight Ends,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-kacy-rodgers,Kacy Rodgers,defense,Run Game Coordinator / Defensive Line,true,Run Game Coordinator / Defensive Line,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-david-shaw,David Shaw,offense,Pass Game Specialist,false,,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-dan-skipper,Dan Skipper,offense,Offensive Assistant,false,,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-dre-thompson,Dre Thompson,defense,WCF Minority Coaching Assistant / Defensive Quality Control,true,WCF Minority Coaching Assistant / Defensive Quality Control,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-deshea-townsend,Deshea Townsend,defense,Passing Game Coordinator / Defensive Backs,true,Passing Game Coordinator / Defensive Backs,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
local-coach-marques-tuiasosopo,Marques Tuiasosopo,offense,Offensive Assistant,true,Offensive Assistant,https://www.detroitlions.com/news/lions-announce-2026-coaching-staff,2026-08-17
