observation_id,team_id,player_ids,source_id,source_url,origin_url,published_at,retrieved_at,evidence_lane,evidence_kind,claim_summary,relationship,related_observation_ids,dedup_key,confidence,time_sensitivity,fantasy_impact,reader_id,notes
obs-2026-atl-20260829t143349z-001,ATL,local-player-bijan-robinson-2023,local-writer-will-mcfadden,https://www.atlantafalcons.com/news/bijan-robinson-falcons-screen-game-gap-power-tommy-rees,https://www.atlantafalcons.com/news/bijan-robinson-falcons-screen-game-gap-power-tommy-rees,2026-08-27T14:47:00-04:00,2026-08-29T14:38:07Z,scheme,reported_fact,Atlanta may add more gap and power concepts to the outside-zone foundation under offensive line coach Bill Callahan.,new,,atl-2026-offense-gap-power-expansion,high,medium,medium,reader-nfc-south-west,Will McFadden attributed the prospective change to the new staff and camp design; it is not measured regular-season usage.
obs-2026-atl-20260829t143349z-002,ATL,local-player-bijan-robinson-2023,local-writer-will-mcfadden,https://www.atlantafalcons.com/news/bijan-robinson-falcons-screen-game-gap-power-tommy-rees,https://www.atlantafalcons.com/news/bijan-robinson-falcons-screen-game-gap-power-tommy-rees,2026-08-27T14:47:00-04:00,2026-08-29T14:38:07Z,scheme,reported_fact,Bijan Robinson said Atlanta has installed additional screen variations for its running backs.,new,,atl-2026-bijan-expanded-screen-menu,high,medium,medium,reader-nfc-south-west,Player description of installed concepts; deployment remains unmeasured.
obs-2026-car-20260829t143349z-001,CAR,,local-source-carolina-panthers,https://www.panthers.com/news/ask-the-old-guy-wrapping-up-the-preseason-heading-into-cut-weekend-53-man-roster-deadline-transactions,https://www.panthers.com/news/ask-the-old-guy-wrapping-up-the-preseason-heading-into-cut-weekend-53-man-roster-deadline-transactions,2026-08-28T10:21:00-04:00,2026-08-29T14:38:07Z,availability,reported_fact,Carolina planned to rest its starters in the preseason finale.,new,,car-2026-preseason-finale-starters-rest,high,low,low,reader-nfc-south-west,This prevented the healthy-backfield and Darren Waller game-usage checkpoints from being observed.
obs-2026-car-20260829t143349z-002,CAR,,local-source-carolina-panthers,https://www.panthers.com/news/ask-the-old-guy-wrapping-up-the-preseason-heading-into-cut-weekend-53-man-roster-deadline-transactions,https://www.panthers.com/news/ask-the-old-guy-wrapping-up-the-preseason-heading-into-cut-weekend-53-man-roster-deadline-transactions,2026-08-28T10:21:00-04:00,2026-08-29T14:38:07Z,availability,reported_fact,Dave Canales expected Xavier Legette's foot issue to improve enough for a return to practice the following week.,new,,car-2026-xavier-legette-foot-return-timeline,medium,high,medium,reader-nfc-south-west,Team mailbag relayed Canales' earlier timetable and cautioned against inferring severity from a walking boot.
obs-2026-no-20260829t143349z-001,NO,,local-source-new-orleans-saints,https://www.neworleanssaints.com/news/new-orleans-saints-starters-will-sit-out-preseason-finale-against-dallas-2026,https://www.neworleanssaints.com/news/new-orleans-saints-starters-will-sit-out-preseason-finale-against-dallas-2026,2026-08-26T22:41:00-05:00,2026-08-29T14:38:07Z,availability,official_fact,New Orleans planned to rest most starters in the preseason finale after 145 joint-practice snaps across three sessions.,new,,no-2026-preseason-finale-starters-rest,high,low,low,reader-nfc-south-west,The decision limited the finale's ability to resolve first-team receiver and backfield triggers.
obs-2026-no-20260829t143349z-002,NO,,local-source-new-orleans-saints,https://www.neworleanssaints.com/news/key-takeaways-from-saints-training-camp-media-availability-tulane-university-2026,https://www.neworleanssaints.com/news/key-takeaways-from-saints-training-camp-media-availability-tulane-university-2026,2026-08-26T22:12:00-05:00,2026-08-29T14:38:07Z,transaction,official_fact,Zamir White had joined the Saints before the final open training-camp practice.,new,,no-2026-zamir-white-arrival,high,medium,medium,reader-nfc-south-west,Official team recap documented White working with the running-back room; the acquisition itself originated before this retrieval window and this row captures his arrival with the team.
obs-2026-tb-20260829t143349z-001,TB,,local-source-tampa-bay-buccaneers,https://www.buccaneers.com/news/bucs-lose-jacksonville-jaguars-preseason-week-3-2026-score-19-0,https://www.buccaneers.com/news/bucs-lose-jacksonville-jaguars-preseason-week-3-2026-score-19-0,2026-08-28T23:59:00-04:00,2026-08-29T14:38:07Z,performance,measured_data,Eric Rivers Jr. caught six passes for 24 yards in Tampa Bay's preseason finale.,new,,tb-2026-preseason3-eric-rivers-receiving,high,medium,low,reader-nfc-south-west,Official game recap statistics; reserve-context performance ahead of roster cuts.
obs-2026-tb-20260829t143349z-002,TB,,local-source-tampa-bay-buccaneers,https://www.buccaneers.com/news/bucs-lose-jacksonville-jaguars-preseason-week-3-2026-score-19-0,https://www.buccaneers.com/news/bucs-lose-jacksonville-jaguars-preseason-week-3-2026-score-19-0,2026-08-28T23:59:00-04:00,2026-08-29T14:38:07Z,performance,measured_data,Jack Pyburn recorded four tackles and two sacks in Tampa Bay's preseason finale.,new,,tb-2026-preseason3-jack-pyburn-defense,high,medium,none,reader-nfc-south-west,Official game recap statistics; primarily a roster-cut signal rather than an offensive fantasy item.
obs-2026-sf-20260829t143349z-001,SF,,local-source-san-francisco-49ers,https://www.49ers.com/news/what-the-49ers-and-raiders-had-to-say-after-preseason-week-3,https://www.49ers.com/news/what-the-49ers-and-raiders-had-to-say-after-preseason-week-3,2026-08-28T16:29:00-07:00,2026-08-29T14:38:07Z,depth_chart,official_fact,Kyle Shanahan said Carver Willis was pushing for the starting left guard job and that coaches had not made the decision.,new,,sf-2026-starting-left-guard-carver-willis,high,high,medium,reader-nfc-south-west,Coach statement after the preseason finale; decision expected after film and practice review.
obs-2026-sf-20260829t143349z-002,SF,local-player-george-kittle-2017,local-source-san-francisco-49ers,https://www.49ers.com/news/what-the-49ers-and-raiders-had-to-say-after-preseason-week-3,https://www.49ers.com/news/what-the-49ers-and-raiders-had-to-say-after-preseason-week-3,2026-08-28T16:29:00-07:00,2026-08-29T14:38:07Z,availability,official_fact,Kyle Shanahan said George Kittle was taking a step back and remained among players whose Week 1 readiness required evaluation in the practices before travel.,new,,sf-2026-george-kittle-week1-readiness,high,immediate,high,reader-nfc-south-west,Official postgame availability checkpoint; no injury diagnosis or game designation was supplied.
