coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-bobby-slowik,Bobby Slowik,offense,Offensive Coordinator,true,Senior Pass Game Coordinator,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-kevin-patullo,Kevin Patullo,offense,Passing Game Coordinator,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-bush-hamdan,Bush Hamdan,offense,Quarterbacks,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-ladell-betts,Ladell Betts,offense,Running Backs,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-tyke-tolbert,Tyke Tolbert,offense,Wide Receivers,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-jonathan-krause,Jonathan Krause,offense,Assistant Wide Receivers,true,Assistant Wide Receivers,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-ron-middleton,Ron Middleton,offense,Tight Ends,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-lemuel-jeanpierre,Lemuel Jeanpierre,offense,Assistant Tight Ends,true,Assistant Offensive Line,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-zach-yenser,Zach Yenser,offense,Offensive Line,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-matt-applebaum,Matt Applebaum,offense,Assistant Offensive Line,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-leander-wallace,Leander Wallace,offense,Offensive Assistant,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-sean-duggan,Sean Duggan,defense,Defensive Coordinator,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-joe-barry,Joe Barry,defense,Run Game Coordinator / Senior Defensive Assistant,true,Linebackers / Run Game Coordinator,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-al-washington,Al Washington,defense,Linebackers,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-wendel-davis,Wendel Davis,defense,Assistant Linebackers,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-austin-clark,Austin Clark,defense,Defensive Line,true,Defensive Line,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-chuka-ndulue,Chuka Ndulue,defense,Assistant Defensive Line,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-jahmile-addae,Jahmile Addae,defense,Defensive Backs / Cornerbacks,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-ryan-downard,Ryan Downard,defense,Defensive Backs / Passing Game Coordinator,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-deshawn-shead,DeShawn Shead,defense,Assistant Defensive Backs / Nickels,true,Defensive Pass Game Specialist / Secondary,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-siriki-diabate,Siriki Diabate,defense,Defensive Quality Control,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-chris-tabor,Chris Tabor,special_teams,Special Teams Coordinator,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-brock-olivo,Brock Olivo,special_teams,Assistant Special Teams,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
local-coach-darius-eubanks,Darius Eubanks,special_teams,Special Teams Assistant,false,,https://www.miamidolphins.com/news/miami-dolphins-announce-2026-coaching-staff,2026-08-05
