coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-andy-reid,Andy Reid,all,Head Coach,true,Head Coach,https://www.chiefs.com/team/coaches-roster/,2026-08-17
local-coach-dave-toub,Dave Toub,special_teams,Assistant Head Coach and Special Teams Coordinator,true,Assistant Head Coach and Special Teams Coordinator,https://www.chiefs.com/team/coaches-roster/,2026-08-17
local-coach-eric-bieniemy,Eric Bieniemy,offense,Offensive Coordinator,false,,https://www.chiefs.com/news/chiefs-name-eric-bieniemy-as-offensive-coordinator,2026-08-17
local-coach-steve-spagnuolo,Steve Spagnuolo,defense,Defensive Coordinator,true,Defensive Coordinator,https://www.chiefs.com/team/coaches-roster/,2026-08-17
local-coach-joe-bleymaier,Joe Bleymaier,offense,Pass Game Coordinator,true,Pass Game Coordinator,https://www.chiefs.com/team/coaches-roster/,2026-08-17
local-coach-david-girardi,David Girardi,offense,Quarterbacks,true,Quarterbacks,https://www.chiefs.com/team/coaches-roster/,2026-08-17
local-coach-andy-heck,Andy Heck,offense,Offensive Line,true,Offensive Line,https://www.chiefs.com/team/coaches-roster/,2026-08-17
local-coach-demarco-murray,DeMarco Murray,offense,Running Backs,false,,https://www.chiefs.com/news/chiefs-announce-coaching-staff-additions,2026-08-17
local-coach-chad-oshea,Chad O'Shea,offense,Wide Receivers,false,,https://www.chiefs.com/news/chiefs-announce-coaching-staff-additions,2026-08-17
local-coach-tom-melvin,Tom Melvin,offense,Tight Ends,true,Tight Ends,https://www.chiefs.com/team/coaches-roster/,2026-08-17
local-coach-brendan-daly,Brendan Daly,defense,Linebackers,true,Linebackers,https://www.chiefs.com/team/coaches-roster/,2026-08-17
local-coach-joe-cullen,Joe Cullen,defense,Defensive Line,true,Defensive Line,https://www.chiefs.com/team/coaches-roster/,2026-08-17
local-coach-terry-bradden-jr,Terry Bradden Jr.,defense,Assistant Defensive Line,false,,https://www.chiefs.com/news/chiefs-announce-coaching-staff-additions,2026-08-17
local-coach-andre-curtis,Andre Curtis,defense,Defensive Backs/Safeties Coach,true,Defensive Backs/Safeties Coach,https://www.chiefs.com/team/coaches-roster/,2026-08-17
local-coach-dave-merritt,Dave Merritt,defense,Defensive Backs,true,Defensive Backs,https://www.chiefs.com/team/coaches-roster/,2026-08-17
