player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Trent McDuffie,CB,trade_and_extension,2026-03-11,active,star cornerback acquisition and likely defensive foundation piece,https://www.therams.com/team/transactions/2026,2026-08-17
Jaylen Watson,CB,free_agent_signing,2026-03-11,active,starting-caliber outside corner addition reunited with McDuffie,https://www.therams.com/team/transactions/2026,2026-08-17
Joe Cardona,LS,free_agent_signing,2026-03-11,active,long snapper replacement after Jake McQuaide free agency,https://www.therams.com/team/transactions/2026,2026-08-17
Grant Stuard,ILB,free_agent_signing,2026-03-16,active,inside linebacker and special-teams depth,https://www.therams.com/team/transactions/2026,2026-08-17
Myles Garrett,DE,trade_agreement,2026-06-01,active,elite edge addition reshaping pass-rush ceiling,https://www.therams.com/team/transactions/2026,2026-08-17
Tomon Fox,OLB,free_agent_signing,2026-06-09,active,outside linebacker depth,https://www.therams.com/team/transactions/2026,2026-08-17
Blake Hance,OL,free_agent_signing,2026-07-29,active,offensive line depth during camp,https://www.therams.com/team/transactions/2026,2026-08-17
Alex Cook,S,free_agent_signing,2026-07-27,active,safety depth during camp,https://www.therams.com/team/transactions/2026,2026-08-17
Bill Murray,OL,free_agent_signing,2026-07-27,active,offensive line depth during camp,https://www.therams.com/team/transactions/2026,2026-08-17
Zech McPhearson,CB,free_agent_signing,2026-08-10,active,cornerback depth during camp,https://www.therams.com/team/transactions/2026,2026-08-17
Monty Rice,ILB,free_agent_signing,2026-08-13,active,inside linebacker depth during camp,https://www.therams.com/team/transactions/2026,2026-08-17
Jack Bouwmeester,P,international_player_exemption,2026-08-17,active,punter added through International Player Exemption,https://www.therams.com/team/transactions/2026,2026-08-17
