source_id,source_name,source_type,scope,methodology_summary,scoring_format,playoff_window,source_url,published_date,last_verified,notes
nfl-ops-2026-sos,NFL Football Operations,official,overall,"Ranks 2026 schedules by opponents' combined 2025 winning percentage.",not_applicable,not_applicable,https://nfl-ops-prod-umbraco-author.azurewebsites.net/news-updates/the-game/toughest-and-easiest-2026-nfl-schedules/,2026-05-15,2026-08-17,"Useful baseline for real-football context; not position-specific."
sporting-news-2026-sos,Sporting News,media,overall,"Summarizes 2026 opponent win-percentage SOS and cites Sharp Football Analysis projected-win-total rankings.",not_applicable,not_applicable,https://www.sportingnews.com/us/nfl/news/strength-schedule-32-nfl-teams-hardest-easiest-2026/33d0626a54432f2f26785a77,2026-05-05,2026-08-17,"Useful for comparing prior-year win percentage with projection/market-based schedule difficulty."
athlon-2026-fantasy-sos,Athlon Sports,media,position_full_season,"Ranks easiest and toughest 2026 fantasy schedules by position groups.",unspecified,full_season,https://athlonsports.com/fantasy/2026-fantasy-football-strength-of-schedule,2026-05-01,2026-08-17,"Useful directional input; confirm scoring assumptions before using in player valuation."
fta-2026-fantasy-sos,Fantasy Team Advice,tool,position_full_season,"Ranks 2026 fantasy schedule difficulty using SAFPA matchup scores by team and position.",unspecified,full_season,https://fantasyteamadvice.com/nfl/strength_of_schedule,,2026-08-17,"Preseason mode uses 2025 defensive data; update after 2026 data blends in."
fta-2026-playoff-sos,Fantasy Team Advice,tool,position_playoff,"Ranks fantasy playoff schedule difficulty using SAFPA matchup scores.",unspecified,weeks_14_17,https://fantasyteamadvice.com/nfl/strength_of_schedule/playoff,,2026-08-17,"Default page view uses Weeks 14-17; record custom window when changed."
ffb-2026-schedule,FFB Research canonical schedule,internal,schedule_friction,"Derived from league/schedule/2026.csv after repository schedule validation.",not_applicable,not_applicable,league/schedule/2026.csv,2026-08-05,2026-08-17,"Use for bye weeks, neutral-site games, game locations, and schedule-status fields."
fantasypros-2026-adp,FantasyPros,tool,adp,"Composite 2026 ADP and player-page ADP tables across supported platforms.",varies,not_applicable,https://www.fantasypros.com/nfl/adp/overall.php,,2026-08-17,"Use scoring_format and notes on each ADP row; FantasyPros source pages can expose STD/PPR/HALF values differently."
fantasypros-2026-rankings,FantasyPros,tool,rankings,"Consensus draft rankings and VBD pages with ADP and ECR-vs-ADP fields.",varies,not_applicable,https://www.fantasypros.com/nfl/rankings/?position=ALL&type=draft,,2026-08-17,"Useful cross-check when player ADP page is unavailable or truncated."
beatadp-2026-platform,BeatADP,tool,adp,"Cross-platform 2026 fantasy football ADP comparison across Sleeper ESPN Underdog and FantasyPros where available.",varies,not_applicable,https://www.beatadp.com/platform-adp,,2026-08-17,"Useful for consensus market context; source availability differs by platform."
fta-2026-player-rankings,Fantasy Team Advice,tool,adp_rankings,"Player-level draft rankings and ADP fields from FantasyPros Yahoo Sleeper and Fantasy Football Calculator when exposed.",varies,not_applicable,https://fantasyteamadvice.com/nfl/players,,2026-08-17,"Useful for player pages with side-by-side rank and ADP data."
fantasysp-2026-adp,FantasySP,tool,adp,"Player-level 2026 ADP snippets and comparable-player ADP tables.",varies,not_applicable,https://www.fantasysp.com/nfl_player_news/,,2026-08-17,"Use as a secondary ADP cross-check."
footballguys-2026-adp,Footballguys,tool,adp,"Consensus 2026 ADP table by position across multiple draft platforms.",varies,not_applicable,https://www.footballguys.com/adp?season=2026,,2026-08-17,"Useful for broader cross-platform ADP context."
nfl-fantasy-2026-rb-values,NFL.com Fantasy,media,adp_analysis,"Identifies 2026 running back values with ADP and role notes.",unspecified,not_applicable,https://www.nfl.com/news/2026-nfl-fantasy-football-top-seven-rb-values,,2026-08-17,"Useful as secondary context for RB role and cost, not a primary ADP table."
