source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-chicago-bears,organization,Chicago Bears communications,Chicago Bears,Official team communications,official,essential,active,free,"roster; injuries; transactions; conferences; camp reports","Team-produced analysis is not independent.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Preferred postgame record.",,,,2026-08-21
local-writer-courtney-cronin,person,Courtney Cronin,ESPN NFL Nation,Bears NFL Nation reporter,reporting,essential,active,mixed,"daily beat; injuries; roles; organization","ESPN verifies assignment.",,,,2026-08-21
local-writer-kevin-fishbain,person,Kevin Fishbain,The Athletic,Bears reporter,reporting,essential,active,paid,"practice; roster; contracts; features","Paywalled; summarize and attribute.",,,,2026-08-21
local-writer-adam-jahns,person,Adam Jahns,The Athletic / CHGO,Bears reporter,reporting,essential,active,mixed,"beat reporting; organization; interviews; podcast","Separate sourced reporting from podcast opinion.",,,,2026-08-21
local-writer-brad-biggs,person,Brad Biggs,Chicago Tribune,Bears reporter,reporting,essential,active,paid,"daily beat; personnel; contracts; organization","Paywalled; preserve attribution.",,,,2026-08-21
local-writer-dan-wiederer,person,Dan Wiederer,Chicago Tribune,Bears reporter,reporting,essential,active,paid,"features; quarterback; coaching; organization","Separate analysis from sourced reporting.",,,,2026-08-21
local-writer-patrick-finley,person,Patrick Finley,Chicago Sun-Times,Bears reporter,reporting,essential,active,mixed,"camp; injuries; roster; stadium","Outlet staff page verifies assignment.",,,,2026-08-21
local-writer-jason-lieser,person,Jason Lieser,Chicago Sun-Times,Bears reporter,reporting,essential,active,mixed,"camp; coaching; personnel; organization","Outlet staff page verifies assignment.",,,,2026-08-21
local-writer-adam-hoge,person,Adam Hoge,CHGO,Bears reporter and host,reporting,valuable,active,mixed,"practice; interviews; local context; podcast","Separate firsthand reporting from show opinion.",,,,2026-08-21
local-writer-nicholas-moreano,person,Nicholas Moreano,Independent,Credentialed Bears reporter,film_analysis,valuable,active,mixed,"camp; film; roster battles; interviews","Independent analysis; verify news at original sources.",,,,2026-08-21
local-writer-mark-grote,person,Mark Grote,670 The Score,Bears reporter,reporting,valuable,active,free,"practice; local radio; interviews; injuries","Separate live observation from radio opinion.",,,,2026-08-21
local-writer-sean-hammond,person,Sean Hammond,Daily Herald,Bears reporter,reporting,valuable,active,mixed,"daily camp; injuries; practice observations; roster","Current August 2026 camp bylines verify original on-site coverage.",,,,2026-08-21
local-writer-larry-mayer,person,Larry Mayer,Chicago Bears,Senior writer,team_analysis,valuable,active,free,"official camp reports; roster; interviews","Team employee; not independent.",,,,2026-08-21
local-writer-jeff-joniak,person,Jeff Joniak,Chicago Bears Radio,Play-by-play and podcast host,team_analysis,valuable,active,free,"interviews; radio; team context","Team broadcast voice.",,,,2026-08-21
local-writer-tom-thayer,person,Tom Thayer,Chicago Bears Radio,Analyst,film_analysis,valuable,active,free,"line play; film; scheme","Team broadcast analyst; label evaluation.",,,,2026-08-21
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Contract reference,contract_data,valuable,active,free,"contracts; cap; roster mechanics","Third-party interpretation.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,"logs; snaps; history","Secondary reference.",,,,2026-08-21
