round,overall_pick,player,position,college,position_group,immediate_monitoring_question,source_url,last_verified
1,14,Vega Ioane,OG,Penn State,offense,does Ioane win an immediate starting guard job on a reshuffled interior line,https://www.baltimoreravens.com/news/ravens-draft-picks-2026-compensatory-picks-eric-decosta-free-agency,2026-08-13
2,45,Zion Young,EDGE,Missouri,defense,does Young earn rotational edge snaps opposite Trey Hendrickson as a rookie,https://www.baltimoreravens.com/news/ravens-draft-picks-2026-compensatory-picks-eric-decosta-free-agency,2026-08-13
3,80,Ja'Kobi Lane,WR,USC,offense,can Lane carve a rookie perimeter role behind Flowers and Bateman,https://www.baltimoreravens.com/news/ravens-draft-picks-2026-compensatory-picks-eric-decosta-free-agency,2026-08-13
4,115,Elijah Sarratt,WR,Indiana,offense,depth and special-teams receiver competition,https://www.baltimoreravens.com/news/ravens-draft-picks-2026-compensatory-picks-eric-decosta-free-agency,2026-08-13
4,133,Matthew Hibner,TE,SMU,offense,does a drafted tight end absorb the blocking/move role vacated by Likely and Kolar,https://www.baltimoreravens.com/news/ravens-draft-picks-2026-compensatory-picks-eric-decosta-free-agency,2026-08-13
5,162,Chandler Rivers,CB,Duke,defense,slot/depth corner competition behind Humphrey and Wiggins,https://www.baltimoreravens.com/news/ravens-draft-picks-2026-compensatory-picks-eric-decosta-free-agency,2026-08-13
5,173,Josh Cuevas,TE,Alabama,offense,second drafted tight end competing for the room behind Andrews,https://www.baltimoreravens.com/news/ravens-draft-picks-2026-compensatory-picks-eric-decosta-free-agency,2026-08-13
5,174,Adam Randall,RB,Clemson,offense,does Randall earn early-down or passing-down work behind Henry and Justice Hill,https://www.baltimoreravens.com/news/ravens-draft-picks-2026-compensatory-picks-eric-decosta-free-agency,2026-08-13
6,211,Ryan Eckley,P,Michigan State,special_teams,rookie punter competing to replace Jordan Stout,https://www.baltimoreravens.com/news/ravens-draft-picks-2026-compensatory-picks-eric-decosta-free-agency,2026-08-13
7,250,Rayshaun Benny,DT,Michigan,defense,interior defensive-line rotation depth,https://www.baltimoreravens.com/news/ravens-draft-picks-2026-compensatory-picks-eric-decosta-free-agency,2026-08-13
7,253,Evan Beerntsen,OG,Northwestern,offense,interior offensive-line developmental depth,https://www.baltimoreravens.com/news/ravens-draft-picks-2026-compensatory-picks-eric-decosta-free-agency,2026-08-13
