source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-carolina-panthers,organization,Carolina Panthers communications,Carolina Panthers,Official team communications,official,essential,active,free,"injuries; transactions; roster; press conferences; practice notebooks","Source of record for club announcements; editorial content is team-controlled.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,League records,official,valuable,active,free,"gamebooks; participation; transactions","Retrieve the specific official record for consequential claims.",,,,2026-08-21
local-writer-mike-kaye,person,Mike Kaye,ESPN,Panthers reporter (NFL Nation),reporting,essential,active,free,"daily beat; camp observations; personnel usage; roster","Joined ESPN's Panthers beat in August 2026; older Observer affiliation is stale.",Charlotte Observer Panthers beat writer,2026-08,local-writer-alex-zietlow,2026-08-21
local-writer-joe-person,person,Joe Person,The Athletic,Panthers beat reporter,reporting,essential,active,paywall,"sourced beat reporting; organization; roster; coaching","Paywall; separate sourced reporting from analysis.",,,,2026-08-21
local-writer-alex-zietlow,person,Alex Zietlow,Charlotte Observer,Panthers beat reporter,reporting,essential,active,paywall,"camp observations; locker room; personnel usage; enterprise","Current Observer beat voice after Kaye's departure; do not reproduce paywalled text.",Sports enterprise reporter,,,2026-08-21
local-writer-scott-fowler,person,Scott Fowler,Charlotte Observer,Sports columnist,commentary,valuable,active,paywall,"enterprise; ownership; coaching; player features","Columnist who also reports; separate verified facts from opinion.",,,,2026-08-21
local-writer-sheena-quick,person,Sheena Quick,Independent / Fox Sports Radio,Credentialed Panthers reporter,reporting,essential,active,free,"practice observations; interviews; player context; multimedia","Independent multimedia work; verify the outlet and original item for each claim.",,,,2026-08-21
local-writer-vashti-hurt,person,Vashti Hurt,Carolina Blitz,Founder and credentialed Panthers reporter,reporting,valuable,active,free,"press conferences; interviews; local beat; multimedia","Independent multi-sport outlet; cite the Panthers-specific original report or interview.",,,,2026-08-21
local-writer-darin-gantt,person,Darin Gantt,Carolina Panthers,Team reporter,official,essential,active,free,"transactions; roster; daily notebooks; institutional context","Team-employed official voice; not independent confirmation.",,,,2026-08-21
local-writer-kassidy-hill,person,Kassidy Hill,Carolina Panthers,Team reporter,official,essential,active,free,"camp observations; interviews; roster and role notes","Team-employed official voice; not independent confirmation.",,,,2026-08-21
local-writer-john-ellis,person,John Ellis,Independent,Panthers analyst and broadcaster,film_analysis,valuable,active,free,"film; scheme; quarterback play; role interpretation","Use for evidence-based interpretation after recording observed facts.",,,,2026-08-21
local-writer-julian-council,person,Julian Council,Locked On Panthers,Host and Panthers analyst,team_analysis,valuable,active,free,"daily audio; roster; position battles; listener questions","High cadence and useful synthesis; distinguish original analysis from reports credited to others.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistics and roster database,data,valuable,active,free,"historical stats; rosters; snaps; game logs","Snap counts are an unofficial convenience source.",,,,2026-08-21
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Salary-cap and contract database,contract_data,valuable,active,free,"contracts; cap; dead money; roster mechanics","Third-party interpretation; cross-check unusual figures.",,,,2026-08-21
