source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-buffalo-bills,organization,Buffalo Bills communications,Buffalo Bills,Official team communications,official,essential,active,free,transactions; roster; depth chart; injuries; transcripts; camp reports,Source of record for team announcements; team-produced editorial and analysis are not independent.,,,,2026-08-20
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,participation; starters; statistics; play-by-play,Use the game-specific book or game center as the postgame source of record.,,,,2026-08-20
local-writer-joe-buscaglia,person,Joe Buscaglia,The Athletic,Bills beat reporter,reporting,essential,active,paid,daily beat reporting; roster construction; personnel; camp observation,"Hosts The Buffalo Beat podcast. Paywalled; summarize in original language and do not reproduce substantial text.",,,,2026-08-20
local-writer-katherine-fitzgerald,person,Katherine Fitzgerald,Buffalo News,Bills sports reporter,reporting,essential,active,paid,offseason and camp coverage; transactions; practice observation,Maintains a running 2026 offseason coverage collection. Partial paywall.,,,,2026-08-20
local-writer-sal-capaccio,person,Sal Capaccio,WGR 550 / Audacy,Bills reporter and radio host,reporting,essential,active,free,daily radio reporting; roster and staff news; draft coverage,Radio-first; time-stamp audio claims and prefer a written corroboration where one exists.,,,,2026-08-20
local-source-espn-bills,organization,ESPN Bills coverage,ESPN,National beat and team coverage,reporting,valuable,active,free,training camp intel; free-agency tracking; injury reporting,National desk; camp intel posts are updated in place so record the retrieval date.,,,,2026-08-20
local-source-si-bills-central,organization,Bills Central,Sports Illustrated / OnSI,Team coverage site,analysis,valuable,active,free,snap counts; depth-chart reads; injury interpretation; roster bubble,Aggregation and analysis; verify primary claims against official or beat sources.,,,,2026-08-20
local-source-buffalo-rumblings,organization,Buffalo Rumblings,SB Nation,Team community and analysis site,analysis,valuable,active,free,scouting reports; roster analysis; game recaps,Community analysis; useful for structured player breakdowns but not a reporting source of record.,,,,2026-08-20
local-source-two-bills-drive,organization,Two Bills Drive,Two Bills Drive,Team news aggregation and commentary,analysis,situational,active,free,injury-timeline aggregation; coaching notes,Aggregates other outlets' reporting; always trace to the originating reporter before relying on a claim.,,,,2026-08-20
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,game logs; snap counts; career and season splits,Snap counts are unofficial; verify material discrepancies. Rate-limits automated access.,,,,2026-08-20
