coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-aaron-glenn,Aaron Glenn,all,Head Coach,true,Head Coach,https://www.newyorkjets.com/news/aaron-glenn-jets-coaching-staff-breakdown,2026-08-13
local-coach-frank-reich,Frank Reich,offense,Offensive Coordinator,false,,https://www.newyorkjets.com/news/aaron-glenn-jets-coaching-staff-breakdown,2026-08-13
local-coach-brian-duker,Brian Duker,defense,Defensive Coordinator,false,,https://www.espn.com/nfl/story/_/id/47899429/new-york-jets-aaron-glenn-coaching-staff-changes-offseason,2026-08-13
local-coach-bill-musgrave,Bill Musgrave,offense,Quarterbacks,false,,https://sny.tv/articles/latest-aaron-glenn-jets-coaching-staff-2026,2026-08-13
local-coach-seth-ryan,Seth Ryan,offense,Passing Game Coordinator,false,,https://www.newyorkjets.com/news/aaron-glenn-jets-coaching-staff-breakdown,2026-08-13
local-coach-steve-heiden,Steve Heiden,offense,Offensive Line,false,,https://www.newyorkjets.com/news/aaron-glenn-jets-coaching-staff-breakdown,2026-08-13
local-coach-shawn-jefferson,Shawn Jefferson,offense,Wide Receivers,false,,https://www.newyorkjets.com/news/aaron-glenn-jets-coaching-staff-breakdown,2026-08-13
local-coach-nic-mckissic-luke,Nic McKissic-Luke,offense,Running Backs,false,,https://www.newyorkjets.com/news/aaron-glenn-jets-coaching-staff-breakdown,2026-08-13
local-coach-alfredo-roberts,Alfredo Roberts,offense,Tight Ends,false,,https://www.newyorkjets.com/news/aaron-glenn-jets-coaching-staff-breakdown,2026-08-13
local-coach-chris-harris,Chris Harris,defense,Passing Game Coordinator/Defensive Backs,false,,https://www.newyorkjets.com/news/aaron-glenn-jets-coaching-staff-breakdown,2026-08-13
local-coach-karl-dunbar,Karl Dunbar,defense,Defensive Line,false,,https://www.newyorkjets.com/news/aaron-glenn-jets-coaching-staff-breakdown,2026-08-13
local-coach-ben-bolling,Ben Bolling,defense,Linebackers,false,,https://www.newyorkjets.com/news/aaron-glenn-jets-coaching-staff-breakdown,2026-08-13
local-coach-ryan-slowik,Ryan Slowik,defense,Safeties,false,,https://www.newyorkjets.com/news/aaron-glenn-jets-coaching-staff-breakdown,2026-08-13
