coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-matt-lafleur,Matt LaFleur,all,Head Coach,true,Head Coach,https://www.packers.com/team/coaches-roster/,2026-08-17
local-coach-adam-stenavich,Adam Stenavich,offense,Offensive Coordinator,true,Offensive Coordinator,https://www.packers.com/team/coaches-roster/,2026-08-17
local-coach-luke-butkus,Luke Butkus,offense,Offensive Line Coach,true,Offensive Line,https://www.packers.com/team/coaches-roster/,2026-08-17
local-coach-john-dunn,John Dunn,offense,Tight Ends Coach,true,Tight Ends,https://www.packers.com/team/coaches-roster/,2026-08-17
local-coach-luke-getsy,Luke Getsy,offense,Quarterbacks Coach / Assistant Head Coach - Offense,true,Senior Assistant,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
local-coach-eddie-gordon,Eddie Gordon,offense,Assistant Offensive Line Coach,true,Assistant Offensive Line,https://www.packers.com/team/coaches-roster/,2026-08-17
local-coach-rob-grosso,Rob Grosso,offense,Assistant Wide Receivers Coach,true,Offensive Quality Control,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
local-coach-connor-lewis,Connor Lewis,offense,Pass Game Specialist / Game Management,true,Pass Game Specialist / Game Management,https://www.packers.com/team/coaches-roster/,2026-08-17
local-coach-noah-pauley,Noah Pauley,offense,Wide Receivers Coach,false,,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
local-coach-ben-sirmans,Ben Sirmans,offense,Running Backs Coach,true,Running Backs,https://www.packers.com/team/coaches-roster/,2026-08-17
local-coach-jason-vrable,Jason Vrable,offense,Passing Game Coordinator,true,Passing Game Coordinator,https://www.packers.com/team/coaches-roster/,2026-08-17
local-coach-jeremiah-kolone,Jeremiah Kolone,offense,Offensive Assistant (Minority Fellowship),true,Offensive Assistant (Minority Fellowship),https://www.packers.com/team/coaches-roster/,2026-08-17
local-coach-tc-mccartney,T.C. McCartney,offense,Offensive Quality Control Coach,false,,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
local-coach-jonathan-gannon,Jonathan Gannon,defense,Defensive Coordinator,false,,https://www.packers.com/news/packers-name-jonathan-gannon-defensive-coordinator-feb-2-2026,2026-08-17
local-coach-bobby-babich,Bobby Babich,defense,Secondary / Pass Game Coordinator,false,,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
local-coach-daniel-bullocks,Daniel Bullocks,defense,Cornerbacks Coach,false,,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
local-coach-demarcus-covington,DeMarcus Covington,defense,Outside Linebackers / Run Game Coordinator / Assistant Head Coach - Defense,true,Defensive Line / Run Game Coordinator,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
local-coach-jamael-lett,Jamael Lett,defense,Defensive Quality Control Coach,true,Defensive Quality Control,https://www.packers.com/team/coaches-roster/,2026-08-17
local-coach-vince-oghobaase,Vince Oghobaase,defense,Defensive Line Coach,true,Assistant Defensive Line,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
local-coach-sam-siefkes,Sam Siefkes,defense,Linebackers Coach,false,,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
local-coach-will-smart,Will Smart,defense,Defensive Quality Control Coach,false,,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
local-coach-scott-fuchs,Scott Fuchs,defense,Defensive Analyst,false,,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
local-coach-cam-achord,Cam Achord,special_teams,Special Teams Coordinator,false,,https://www.packers.com/news/5-things-to-know-about-packers-new-special-teams-coordinator-cameron-achord-feb-27-2026,2026-08-17
local-coach-cory-harkey,Cory Harkey,special_teams,Assistant Special Teams,true,Special Teams Quality Control,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
local-coach-jeff-koonz,Jeff Koonz,special_teams,Assistant Special Teams,true,Defensive Assistant,https://www.packers.com/news/packers-announce-coaching-staff-changes-march-19-2026,2026-08-17
