coach_id,name,unit,formal_role,control_level,likely_responsibility,prior_connection,fantasy_relevance,confidence,source_url,last_verified
local-coach-jeff-hafley,Jeff Hafley,all,Head Coach,primary,"Whole-team standards; defensive design and play-calling; game management","Green Bay defensive coordinator 2024-25; prior work with Slowik in San Francisco, Duggan at Ohio State/Boston College/Green Bay, and Tabor in Cleveland",high,high,https://www.miamidolphins.com/team/front-office-roster/jeff-hafley,2026-08-05
local-coach-bobby-slowik,Bobby Slowik,offense,Offensive Coordinator,primary,"Offensive design, installation, sequencing, and play-calling","Miami senior pass game coordinator in 2025; worked with Hafley in San Francisco; former Houston play-caller and San Francisco offensive assistant",high,high,https://www.miamidolphins.com/team/coaches-roster/bobby-slowik,2026-08-05
local-coach-kevin-patullo,Kevin Patullo,offense,Passing Game Coordinator,shared,"Passing-game planning and secondary offensive input; exact game-day division is not public","Philadelphia offensive coordinator in 2025 after four seasons in senior pass-game roles",high,medium,https://www.miamidolphins.com/team/coaches-roster/kevin-patullo,2026-08-05
local-coach-bush-hamdan,Bush Hamdan,offense,Quarterbacks,position,"Quarterback development, footwork, reads, and weekly preparation","Former Kentucky and Boise State offensive coordinator/quarterbacks coach; no documented prior overlap with the core Miami staff",high,medium,https://www.miamidolphins.com/team/coaches-roster/bush-hamdan,2026-08-05
local-coach-ladell-betts,Ladell Betts,offense,Running Backs,position,"Backfield development, protection, routes, and rotation input","New York Giants running backs coach in 2025; long college and high-school background",high,medium,https://www.miamidolphins.com/team/coaches-roster/ladell-betts,2026-08-05
local-coach-tyke-tolbert,Tyke Tolbert,offense,Wide Receivers,position,"Receiver development, releases, route detail, and rotation input","Veteran NFL receivers coach; most recently Tennessee 2024-25; outside voice to the core staff",high,medium,https://www.miamidolphins.com/team/coaches-roster/tyke-tolbert,2026-08-05
local-coach-jonathan-krause,Jonathan Krause,offense,Assistant Wide Receivers,support,"Receiver-room support and continuity with returning players","Retained from Miami's 2024-25 staff",medium,high,https://www.miamidolphins.com/team/coaches-roster/jonathan-krause,2026-08-05
local-coach-ron-middleton,Ron Middleton,offense,Tight Ends,position,"Tight-end development, blocking, routes, and personnel-package input","Veteran NFL tight-ends coach; most recently New York Jets 2021-24",medium,medium,https://www.miamidolphins.com/team/coaches-roster/ron-middleton,2026-08-05
local-coach-lemuel-jeanpierre,Lemuel Jeanpierre,offense,Assistant Tight Ends,support,"Tight-end support with offensive-line technique background; exact task split is not public","Retained Miami coach since 2020; moved from assistant offensive line to assistant tight ends",medium,high,https://www.miamidolphins.com/team/coaches-roster/lemuel-jeanpierre,2026-08-05
local-coach-zach-yenser,Zach Yenser,offense,Offensive Line,position,"Starting-line construction, protection, run blocking, and player development","Houston assistant offensive line coach 2024-25; San Francisco assistant offensive line coach 2019-21, overlapping Slowik's offenses",high,medium,https://www.miamidolphins.com/team/coaches-roster/zach-yenser,2026-08-05
local-coach-matt-applebaum,Matt Applebaum,offense,Assistant Offensive Line,support,"Offensive-line development and cross-training support","Worked under Hafley at Boston College in 2020-21 and 2023; previously Miami offensive line coach in 2022",medium,high,https://www.miamidolphins.com/team/coaches-roster/matt-applebaum,2026-08-05
local-coach-leander-wallace,Leander Wallace,offense,Offensive Assistant,support,"Offensive quality-control and planning support; exact assignment is not public","Houston offensive quality control under Slowik in 2023-24",low,medium,https://www.miamidolphins.com/team/coaches-roster/leander-wallace,2026-08-05
local-coach-cj-conrad,CJ Conrad,offense,Offensive Assistant,support,"Offensive support with tight-end and special-teams background; exact assignment is not public","First NFL coaching season after Kent State, Eastern Kentucky, and Kentucky",low,low,https://www.miamidolphins.com/team/coaches-roster/cj-conrad,2026-08-05
local-coach-sean-duggan,Sean Duggan,defense,Defensive Coordinator,shared,"Defense construction, installation, meetings, preparation, and in-game collaboration beneath Hafley","Eight-year Hafley connection across Ohio State, Boston College, Green Bay, and Miami",high,high,https://www.miamidolphins.com/team/coaches-roster/sean-duggan,2026-08-05
local-coach-joe-barry,Joe Barry,defense,Run Game Coordinator / Senior Defensive Assistant,shared,"Run-defense planning, senior counsel, and cross-unit defensive input","Retained from Miami 2024-25; seven prior seasons as an NFL defensive coordinator, including Green Bay 2021-23",medium,medium,https://www.miamidolphins.com/team/coaches-roster/joe-barry,2026-08-05
local-coach-al-washington,Al Washington,defense,Linebackers,position,"Linebacker development, rush technique, and front-seven integration","First NFL season after serving as Notre Dame defensive line/run game coordinator",medium,medium,https://www.miamidolphins.com/team/coaches-roster/al-washington,2026-08-05
local-coach-wendel-davis,Wendel Davis,defense,Assistant Linebackers,support,"Linebacker-room support and Green Bay terminology continuity","Green Bay defensive quality control 2019-25, overlapping Hafley and Duggan in 2024-25",low,high,https://www.miamidolphins.com/team/coaches-roster/wendel-davis,2026-08-05
local-coach-austin-clark,Austin Clark,defense,Defensive Line,position,"Interior-line development, run fits, pass-rush games, and continuity","Retained Miami defensive-line coach; on staff since 2020",medium,high,https://www.miamidolphins.com/team/coaches-roster/austin-clark,2026-08-05
local-coach-chuka-ndulue,Chuka Ndulue,defense,Assistant Defensive Line,support,"Defensive-line development support; exact task split is not public","Green Bay Bill Walsh Minority Fellowship in 2021; Chargers assistant defensive line coach in 2025",low,medium,https://www.miamidolphins.com/team/coaches-roster/chuka-ndulue,2026-08-05
local-coach-jahmile-addae,Jahmile Addae,defense,Defensive Backs / Cornerbacks,position,"Outside-corner development, technique, and matchup preparation","Buffalo cornerbacks coach 2024-25; overlapped Tabor in Buffalo in 2025",medium,medium,https://www.miamidolphins.com/team/coaches-roster/jahmile-addae,2026-08-05
local-coach-ryan-downard,Ryan Downard,defense,Defensive Backs / Passing Game Coordinator,shared,"Defensive pass-game planning and secondary integration","Green Bay coach 2018-25, including Hafley/Duggan's 2024-25 defense",high,high,https://www.miamidolphins.com/team/coaches-roster/ryan-downard,2026-08-05
local-coach-deshawn-shead,DeShawn Shead,defense,Assistant Defensive Backs / Nickels,position,"Nickel development and secondary support","Retained from Miami's 2024-25 staff; prior Seattle and Detroit defensive-backs coach",medium,high,https://www.miamidolphins.com/team/coaches-roster/deshawn-shead,2026-08-05
local-coach-siriki-diabate,Siriki Diabate,defense,Defensive Quality Control,support,"Defensive quality-control, scouting, and installation support; exact assignment is not public","Former Connecticut linebackers/run game coordinator; first NFL season",low,low,https://www.miamidolphins.com/team/coaches-roster/siriki-diabate,2026-08-05
local-coach-chris-tabor,Chris Tabor,special_teams,Special Teams Coordinator,primary,"Kicking operation, returns, coverage, field position, and phase-wide roster evaluation","Worked with Hafley in Cleveland in 2014-15; Buffalo special-teams assistant in 2025",high,high,https://www.miamidolphins.com/team/coaches-roster/chris-tabor,2026-08-05
local-coach-brock-olivo,Brock Olivo,special_teams,Assistant Special Teams,shared,"Special-teams technique and kicking-operation support","Veteran special-teams coach; Missouri special-teams analyst 2023-25",medium,medium,https://www.miamidolphins.com/team/coaches-roster/brock-olivo,2026-08-05
local-coach-darius-eubanks,Darius Eubanks,special_teams,Special Teams Assistant,support,"Coverage and return-unit support with defensive skill-development background","Miami Bill Walsh Diversity Fellowship in 2024; college linebackers and secondary coach",low,medium,https://www.miamidolphins.com/team/coaches-roster/darius-eubanks,2026-08-05
