candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
tb-candidate-team,Tampa Bay Buccaneers communications,Tampa Bay Buccaneers,organization,initial,"official record; team-controlled analysis",https://www.buccaneers.com/news/,https://www.buccaneers.com/TrainingCamp/,include,essential,Authoritative club records and direct-access work.,local-source-tampa-bay-buccaneers,2026-08-21
tb-candidate-nfl,NFL gamebooks,NFL,organization,initial,official record,https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,valuable,Official game and participation records.,local-source-nfl-gamebooks,2026-08-21
tb-candidate-laine,Jenna Laine,ESPN,person,initial,"daily independent beat; national reporting",https://www.espn.com/nfl/team/_/name/tb/tampa-bay-buccaneers,https://www.espn.com/nfl/team/_/name/tb/tampa-bay-buccaneers,include,essential,Current ESPN NFL Nation reporter.,local-writer-jenna-laine,2026-08-21
tb-candidate-stroud,Rick Stroud,Tampa Bay Times,person,initial,"daily independent beat; major local",https://www.tampabay.com/sports/bucs/,https://www.tampabay.com/sports/2026/07/28/5-major-storylines-heading-into-bucs-training-camp/,include,essential,Current major-local daily reporting.,local-writer-rick-stroud,2026-08-21
tb-candidate-auman,Greg Auman,Fox Sports,person,initial,"national reporting; transactions and organization",https://x.com/gregauman,https://x.com/gregauman,include,essential,Differentiated NFC South sourcing and longstanding Bucs expertise.,local-writer-greg-auman,2026-08-21
tb-candidate-reynolds,Scott Reynolds,Pewter Report,person,initial,"daily independent beat; film and scheme; position usage",https://www.pewterreport.com/author/pewterreportsr/,https://www.pewterreport.com/author/pewterreportsr/,include,essential,High-cadence original camp reporting and analysis.,local-writer-scott-reynolds,2026-08-21
tb-candidate-matera,Matt Matera,Pewter Report,person,initial,"daily independent beat; position usage",https://www.pewterreport.com/author/mattmatera/,https://www.pewterreport.com/,include,valuable,Adds individual daily camp and roster observations.,local-writer-matt-matera,2026-08-21
tb-candidate-adams,Bailey Adams,Pewter Report,person,omission_pass,"daily independent beat; position usage",https://www.pewterreport.com/contact-us/,https://www.pewterreport.com/bucs-ota-insider-6-11-physical-bucky-irving/,include,valuable,Current beat writer with firsthand practice and camp work.,local-writer-bailey-adams,2026-08-21
tb-candidate-slivon,Adam Slivon,Pewter Report,person,omission_pass,"daily independent beat; position usage",https://www.pewterreport.com/contact-us/,https://www.pewterreport.com/bucs-inside-defensive-line-2026-slivons-slant/,include,valuable,Current beat writer with differentiated position-room work.,local-writer-adam-slivon,2026-08-21
tb-candidate-queipo,Joshua Queipo,Pewter Report,person,omission_pass,"film and scheme; transactions and organization",https://www.pewterreport.com/contact-us/,https://www.pewterreport.com/tag/baker-mayfield/,include,valuable,Differentiated film and salary-cap analysis.,local-writer-joshua-queipo,2026-08-21
tb-candidate-wells,River Wells,Buccaneers On SI,person,omission_pass,"daily independent beat; position usage",https://www.si.com/nfl/buccaneers/onsi/author/river-wells,https://www.si.com/nfl/buccaneers/onsi/news,include,valuable,Current firsthand camp observations add an independent local feed.,local-writer-river-wells,2026-08-21
tb-candidate-kaufman,Ira Kaufman,JoeBucsFan,person,omission_pass,"local reporting; organization; interviews",https://www.joebucsfan.com/category/ira-kaufman-columns/,https://www.joebucsfan.com/category/ira-kaufman-columns/,include,essential,Differentiated institutional access and original interviews.,local-writer-ira-kaufman,2026-08-21
tb-candidate-smith,Scott Smith,Tampa Bay Buccaneers,person,initial,"team-controlled analysis; official record",https://www.buccaneers.com/news/,https://www.buccaneers.com/TrainingCamp/,include,essential,Direct team reporting and roster context.,local-writer-scott-smith,2026-08-21
tb-candidate-phillips,Casey Phillips,Tampa Bay Buccaneers,person,initial,"team-controlled analysis; interviews",https://www.buccaneers.com/video/,https://www.buccaneers.com/TrainingCamp/,include,essential,Direct interviews and camp reporting.,local-writer-casey-phillips,2026-08-21
tb-candidate-castricone,Tony Castricone,Buccaneers Radio Network,person,omission_pass,"local radio; team-controlled analysis",https://www.buccaneers.com/podcast/,https://www.buccaneers.com/TrainingCamp/,include,valuable,New 2026 radio voice with direct camp and interview access.,local-writer-tony-castricone,2026-08-21
tb-candidate-pfr,Pro Football Reference,Sports Reference,organization,initial,"data; position usage",https://www.pro-football-reference.com/teams/tam/2026.htm,https://www.pro-football-reference.com/teams/tam/2026.htm,include,valuable,Structured usage and historical reference.,local-source-pro-football-reference,2026-08-21
tb-candidate-otc,Over the Cap,Over the Cap,organization,initial,transactions and organization,https://overthecap.com/team/tampa-bay-buccaneers,https://overthecap.com/team/tampa-bay-buccaneers,include,valuable,Differentiated cap and contract mechanics.,local-source-over-the-cap,2026-08-21
tb-candidate-allen,JC Allen,Formerly Pewter Report,person,initial,daily independent beat,https://www.pewterreport.com/,https://www.pewterreport.com/,exclude,supplemental,Publicly left Buccaneers coverage in June 2026.,,2026-08-21
tb-candidate-joebucsfan,JoeBucsFan,Independent,organization,omission_pass,"aggregation; commentary",https://www.joebucsfan.com/,https://www.joebucsfan.com/,exclude,supplemental,Site-level feed is aggregation-heavy; Ira Kaufman is tracked individually.,,2026-08-21
tb-candidate-real-bucs-talk,Real Bucs Talk,Independent,organization,omission_pass,film and scheme,https://www.youtube.com/@RealBucsTalk,https://www.youtube.com/@RealBucsTalk,unverified,supplemental,Film cadence exists but current credentialed access and differentiated evidentiary standard were not established.,,2026-08-21
