question_id,priority_id,entity_or_unit,preseason_hypothesis,confirming_evidence,disconfirming_evidence,baseline_confidence,fantasy_formats,review_trigger,status,last_updated
mia-2026-off-q01,1,Malik Willis,Willis remains the clear starter throughout camp and the preseason,"dominant first-team share; starts preseason dress rehearsal; Ewers works primarily with backups","Ewers receives sustained first-team work; Willis injury or role demotion",high,"superflex;two_qb;general",each preseason game,open,2026-08-05
mia-2026-off-q02,1,Malik Willis,Designed rushing will be a weekly component rather than only emergency scrambling,"read-option keepers; quarterback power; red-zone designs; called movement runs","carries arise almost entirely from broken pass plays",medium,"superflex;two_qb;player_props",each preseason game,open,2026-08-05
mia-2026-off-q03,1,Malik Willis,Miami will ask Willis to stay in progression more often than Green Bay's limited package required,"intermediate timing throws; outlet use; low avoidable-sack rate under pressure","repeated early scrambles; missed outlets; late sacks after initial read",medium,"superflex;two_qb;general",first two regular-season starts,open,2026-08-05
mia-2026-off-q04,1,Team passing,The passing menu will combine catch-and-run concepts with calculated intermediate and deep shots,"targets at all levels; play-action explosives; middle-field completions","almost all attempts are screens quick game or scramble drill",medium,"general;player_props",first two regular-season starts,open,2026-08-05
mia-2026-off-q05,2,De'Von Achane,Achane will retain the clear lead role and majority of high-value backfield snaps,"first-unit carries; two-minute snaps; routes; inside-10 opportunities","series rotation; Gordon dominates scoring work; Wright earns independent drives",high,"standard;half_ppr;ppr;player_props",each preseason game,open,2026-08-05
mia-2026-off-q06,2,De'Von Achane,Miami will preserve Achane receiving value through designed targets even if Willis checks down less,"screens; option routes; slot or wide alignment; first-read targets","low route share and targets limited to broken plays",medium,"half_ppr;ppr;player_props",first two regular-season starts,open,2026-08-05
mia-2026-off-q07,2,Backfield,Gordon will remain the primary short-yardage threat while Wright functions as Achane's direct relief,"Gordon inside-5 and short-yardage work; Wright substitutes on Achane series","Wright earns standalone drives; Achane dominates goal line; Gordon role contracts",medium,"standard;half_ppr;ppr",preseason red-zone and short-yardage work,open,2026-08-05
mia-2026-off-q08,3,Malik Washington,Washington will have the highest receiver route floor and meaningful third-down work,"starts in 11 personnel; stays on field in two-minute; leads third-down routes","leaves field in core packages; Coleman or another receiver takes slot and third-down role",medium,"half_ppr;ppr;player_props",first-unit preseason routes,open,2026-08-05
mia-2026-off-q09,3,Outside receivers,Tolbert and Atwell will open as the leading outside pair while Douglas develops,"first-unit outside routes; stable 11-personnel snaps","Douglas or another receiver consistently displaces either veteran",low,"standard;half_ppr;ppr;best_ball",each preseason game,open,2026-08-05
mia-2026-off-q10,3,Greg Dulcich,Dulcich will lead Miami tight ends in routes while Kacmarek and Sims handle more blocking,"third-down and two-minute routes; slot alignment; first-read targets","Dulcich stays in protection or rotates off while another tight end wins routes",medium,"ppr;tight_end_premium;best_ball",first-unit preseason routes,open,2026-08-05
mia-2026-off-q11,8,Tight ends,Miami will use multiple-tight-end personnel to disguise runs and play action,"regular 12 personnel with both run and pass outcomes; motion across formation","11 personnel overwhelmingly dominates; tight ends reveal play type",medium,"general;player_props",first two regular-season starts,open,2026-08-05
mia-2026-off-q12,4,Offensive line,Paul-Proctor-Brewer-Savaiinaea-Jackson will be the opening five if healthy,"repeated first-unit combination; Jackson returns; no position shuffling","Jackson absence persists; Proctor moves to tackle; another guard wins a job",high,"general",final two preseason games,open,2026-08-05
mia-2026-off-q13,4,Offensive line,The line will support outside zone inside zone and gap concepts without telegraphing by personnel,"multiple concepts from same grouping; successful combination blocks","run menu narrows; substitutions strongly predict concept",medium,"general;player_props",first two regular-season starts,open,2026-08-05
mia-2026-off-q14,4,Pass protection,Continuity will improve protection enough to sustain intermediate and deep concepts,"manageable pressure rate; clean handling of stunts; limited chip help","interior leakage; repeated stunt errors; tight ends or backs routinely kept in",medium,"general;player_props",each preseason game,open,2026-08-05
mia-2026-off-q15,8,Offensive operation,Extensive motion will create leverage without unacceptable assignment and snap-point errors,"clean motion timing; low pre-snap penalty rate; explosives created after motion","repeated false starts; illegal shifts; wrong alignments; abandoned motion",medium,"general;player_props",each preseason game,open,2026-08-05
mia-2026-off-q16,4,Kadyn Proctor,Proctor's run blocking will translate faster than his pass protection during the move from college left tackle to NFL left guard,"movement and displacement across concepts; limited run-assignment errors; more pass than run losses","equal or greater run-game difficulty; early removal from first unit",medium,"general;player_props",each preseason game,open,2026-08-05
mia-2026-off-q17,4,Jonah Savaiinaea,A return to the right side will produce a material second-year improvement,"cleaner hand placement; fewer immediate pressures; stable first-unit snaps","continued interior leakage; Salyer takes sustained first-unit work",medium,"general;player_props",each preseason game,open,2026-08-05
mia-2026-off-q18,4,Left-side run game,Paul and Proctor will become Miami's preferred designed-run combination,"above-baseline run frequency and yards before contact to the left; repeated successful combinations","balanced direction; right side more efficient; formation tips the run",low,"general;player_props",after 20 chartable first-unit runs,open,2026-08-05
mia-2026-off-q19,4,Austin Jackson,Jackson's availability is the largest tackle-related swing variable,"full participation; stable starting five; limited chip help","recurring absence; backup tackle targeted; route menu contracts",medium,"general;player_props",each injury report and game,open,2026-08-05
mia-2026-off-q20,4,Aaron Brewer,Brewer will keep the young interior functional but his absence would create an offense-wide downgrade,"clean communication and combination blocks with Brewer; visible decline in any missed reps","reserve center maintains operation without added help or errors",high,"general;player_props",any Brewer absence or reserve-center series,open,2026-08-05
mia-2026-off-q21,4,Protection design,Miami will use movement passes play action and Willis's mobility to manage conventional pass-protection risk,"boots and keepers alter rush; play action creates time; conventional sets remain selective","static dropback volume stays high; mitigation fails to reduce quick pressure",medium,"general;player_props",first two regular-season starts,open,2026-08-05
mia-2026-off-q22,4,Interior pass protection,Interior pressure will be a larger early threat than edge pressure,"guard losses and exchange errors drive pressure; tackles hold without routine help","edge losses dominate; young guards stabilize quickly",medium,"general;player_props",each preseason game and first two regular-season starts,open,2026-08-05
mia-2026-off-q23,4,Aaron Brewer,Brewer will remain Miami's primary protection organizer,"Brewer sets points and directs adjustments; adjacent blockers follow his calls; operation changes when he exits","Willis visibly controls most protection changes; another lineman directs the unit",medium,"general;player_props",first two preseason games,open,2026-08-05
mia-2026-off-q24,1,Malik Willis,Miami will give Willis more pre-snap protection responsibility than Green Bay used in his limited starts,"Mike declarations; protection checks; responses to late rotation; multiple answers from the same call","static calls; no visible checks; center or sideline controls nearly all adjustments",medium,"superflex;two_qb;general",first two regular-season starts,open,2026-08-05
mia-2026-off-q25,4,Pressure answers,Miami will provide identifiable hot answers against overload and simulated pressure,"ball replaces blitz; receiver and quarterback identify the same answer; few free-rusher sacks","available hot routes are missed; repeated unblocked rushers create holds scrambles or sacks",medium,"general;player_props",each preseason game and first two regular-season starts,open,2026-08-05
mia-2026-off-q26,4,Movement passing,Movement passes will mitigate pressure without becoming the majority of Miami's successful passing plays,"boots and keepers create explosives while conventional dropbacks remain functional","successful passing depends overwhelmingly on moved launch points or broken structure",medium,"general;player_props",first two regular-season starts,open,2026-08-05
mia-2026-off-q27,1,Malik Willis,Willis will preserve designed outlets rather than replacing them with early scrambles,"timely throws to backs and tight ends; climbs and resets before escaping; low avoidable-sack rate","missed outlets; clean-pocket exits; scrambles begin before the progression fails",medium,"superflex;two_qb;half_ppr;ppr;player_props",each preseason game and first two regular-season starts,open,2026-08-05
mia-2026-off-q28,4,Eligible routes,Five-man protection will sustain receiver and tight-end route participation,"backs and tight ends release; five eligible receivers enter patterns; intermediate and deep concepts remain available","routine chips delayed releases or max protection materially reduce routes",medium,"general;half_ppr;ppr;best_ball;player_props",first two regular-season starts,open,2026-08-05
mia-2026-off-q29,4,Bobby Slowik,Slowik will counter effectively when opponents change pressure tactics after halftime,"second-half protection or concept changes reduce repeat pressure; offense restores valid answers","same pressure family creates repeated second-half losses; route menu contracts without a counter",medium,"general;player_props",each of first four regular-season games,open,2026-08-05
mia-2026-off-q30,1,Malik Willis,Willis's deep outside accuracy will remain above league average after his Miami sample expands,"accurate placement and positive efficiency on at least 20 charted deep outside attempts","completion and efficiency fall below league average or explosives depend mainly on coverage busts",medium,"superflex;two_qb;standard;best_ball;player_props",after 20 charted Miami deep outside attempts,open,2026-08-05
mia-2026-off-q31,1,Malik Willis,Miami will expand Willis's intermediate-middle usage beyond his Green Bay baseline without an efficiency collapse,"more than 4% of attempts target the middle at 11-20 air yards with sustainable accuracy and positive results","usage remains near the reported 4% Green Bay rate or added attempts produce repeated turnover-worthy plays and stalled drives",low,"superflex;two_qb;half_ppr;ppr;player_props",after 100 Miami pass attempts,open,2026-08-05
mia-2026-off-q32,1,Malik Willis,Willis's descriptive sack rate will decline materially from his 11.0% Green Bay rate,"sacks remain below 8% of attempts plus sacks across representative dropbacks","rate remains at least 10% or falls only because Miami removes eligible routes and conventional dropbacks",medium,"superflex;two_qb;general;player_props",after 100 Miami attempts plus sacks,open,2026-08-05
mia-2026-off-q33,1,Team passing,Miami will remain efficient when game script requires at least 30 Willis pass attempts,"positive passing efficiency; manageable sacks and turnovers; functional second-half answers in a 30-attempt game","efficiency and drive success collapse as volume rises or Miami cannot preserve a full route menu",low,"general;superflex;two_qb;player_props",first game with at least 30 Willis pass attempts,open,2026-08-05
mia-2026-off-q34,1,Malik Willis,Willis's fumble rate will not rise as his dropback and scrambling volume expands,"secure carriage and exchanges with no more than one fumble per 100 combined dropbacks and rushes","multiple exchange or extension fumbles and a rate above the registered threshold",medium,"superflex;two_qb;general;player_props",after 100 combined Miami dropbacks and rushes,open,2026-08-05
mia-2026-off-q35,1,Malik Willis,Willis will remain effective after opponents remove first-read deep and outside concepts,"timely second-progression and middle-field completions; outlet use; sustained drives after coverage adjustments","repeated holds scrambles sacks or forced throws when the preferred outside concept is capped",low,"general;superflex;two_qb;half_ppr;ppr;player_props",each of first four regular-season games,open,2026-08-05
mia-2026-off-q36,8,Will Kacmarek,Kacmarek will become Miami's core attached tight end without being restricted to obvious run situations,"first-unit snaps in both run and pass calls; reliable assignments; routes released from attached alignments","package-only work; substitutions reveal run tendency; pass-protection errors limit snaps",medium,"general;tight_end_premium;player_props",each preseason game and first two regular-season starts,open,2026-08-06
mia-2026-off-q37,3,Greg Dulcich,Dulcich's late-2025 receiving efficiency will remain useful when his route volume expands,"healthy first-unit participation; routes on at least 60% of team dropbacks; targets at multiple depths and alignments","recurring absence; route rate below 50%; efficiency depends on busted coverage or tiny samples",low,"half_ppr;ppr;tight_end_premium;best_ball;player_props",after two games with at least 15 team dropbacks,open,2026-08-06
mia-2026-off-q38,8,Tight ends,Miami will release two or more tight ends into routes often enough for 12 personnel to threaten both run and pass,"two receiving releases from 12 or 13 personnel; play action and dropback pass from the same looks","one tight end routinely protects or chips; multiple-tight-end personnel overwhelmingly produces runs",low,"general;tight_end_premium;player_props",first two regular-season starts,open,2026-08-06
mia-2026-off-q39,8,Tight-end deployment,Miami's tight-end substitutions and alignments will not reliably reveal run or pass intent,"each primary tight end aligns in multiple locations and participates in both run and pass outcomes","Dulcich entry predicts pass while Kacmarek or Sims entry predicts run with a strong tendency",low,"general;player_props",after 30 chartable multiple-tight-end snaps,open,2026-08-06
mia-2026-off-q40,8,Seydou Traore,Traore will earn an active-game role through special teams before receiving a stable offensive workload,"core special-teams snaps; game-day active status; small distinct receiving package","inactive status; assignment or blocking issues; no core special-teams role",low,"dynasty;tight_end_premium;general",each preseason game and final roster decisions,open,2026-08-06
mia-2026-off-q41,3,Jalen Tolbert,Tolbert will retain the X role and a full route share when Miami reduces to two receivers,"first-unit X alignment; stays on field in 12 and 21 personnel; red-zone and back-shoulder targets","Douglas or Bell takes two-receiver routes; Tolbert rotates by package or lacks targets",medium,"standard;half_ppr;ppr;best_ball;player_props",each preseason game and first two regular-season starts,open,2026-08-06
mia-2026-off-q42,3,Malik Washington,Washington's 2026 receiving role will expand materially beyond short and designed touches,"intermediate and deep routes; progression targets; outside alignment; yards per catch rises with stable routes","targets remain concentrated behind the line or shallow; Coleman and tight ends reduce routes",medium,"half_ppr;ppr;general;player_props",after 30 charted routes and each preseason game,open,2026-08-06
mia-2026-off-q43,3,Tutu Atwell,Atwell will earn full Z routes rather than functioning primarily as a vertical and motion package player,"stays on field across personnel and situations; intermediate routes; blocking trust","limited package snaps; frequent rotation; routes concentrated on clear-outs and deep shots",low,"standard;best_ball;player_props",each preseason game and first two regular-season starts,open,2026-08-06
mia-2026-off-q44,3,Caleb Douglas,Douglas will earn a core outside role during his rookie season,"first-unit outside routes; wins against press; targets between the 20s plus red-zone work","assignment or catch errors; cannot separate; remains a situational red-zone player",low,"standard;half_ppr;ppr;best_ball;dynasty",each preseason game,open,2026-08-06
mia-2026-off-q45,3,Chris Bell,Bell will progress from active/NFI to meaningful 2026 offensive work without a rushed return,"full practice participation; contact tolerance; repeated team routes; active-game status","rehab setbacks; reserve placement; limited individual work without team progression",low,"dynasty;general",every official participation and transaction update,open,2026-08-06
mia-2026-off-q46,3,Kevin Coleman Jr.,Coleman will earn an active role through returns and independent slot work,"first-wave punt returns; third-down or two-minute routes; designed targets distinct from Washington","reserve return placement; no core teams role; offensive snaps duplicate Washington only",low,"ppr;general;dynasty",each preseason game and final roster decisions,open,2026-08-06
mia-2026-off-q47,3,Receiver blocking,Run-blocking execution will determine Miami's two-receiver rotation,"same receivers stay on field for run and pass; successful edge assignments; play-action routes follow run looks","offense substitutes by play type; dynamic receivers lose early-down snaps for blocking errors",medium,"general;player_props",after 30 chartable first-unit runs,open,2026-08-06
mia-2026-off-q48,3,Receiver target distribution,Miami will use a specialist committee rather than produce a receiver above a 25 percent target share,"routes and first reads rotate by personnel; no receiver separates; backs and tight ends absorb volume","one receiver exceeds 25 percent across at least four representative games with full route participation",low,"standard;half_ppr;ppr;best_ball;player_props",after four regular-season games,open,2026-08-06
