rank,node,why_it_matters,evidence_to_track,update_location,status_as_of_2026_08_05
1,Malik Willis and the offensive structure,The quarterback change can alter the entire play and target environment,"first-team share; designed runs; read option; boots; play action; pressure-to-sack rate; intermediate accuracy",weekly/2026 and offense,open
2,De'Von Achane workload and red-zone role,Achane is the clearest established skill-position centerpiece,"snap share; routes; carries; targets; two-minute work; goal-line touches; Willis goal-line usage",weekly/2026 and offense,open
3,Receiver pecking order,Hill and Waddle departures create a large target vacuum,"first-team 11-personnel; slot/boundary alignment; routes per dropback; third-down and red-zone targets; Bell rehabilitation",weekly/2026 and offense,open
4,Kadyn Proctor position and starting line,The first-round lineman can determine multiple starting spots,"guard versus tackle reps; first-team combinations; Patrick Paul development; Austin Jackson availability",weekly/2026 and offense,open
5,Chris Johnson immediate role,The first-round corner enters a secondary without its 2025 veteran hierarchy,"CB1 reps; shadow assignments; press/zone usage; preseason snaps",weekly/2026 and defense,open
6,Edge rotation behind Chop Robinson,Chubb and Phillips departures removed established pressure production,"first-team edge reps; pass-rush downs; pressure rate; run-defense role; subpackage combinations",weekly/2026 and defense,open
7,Safety and nickel competitions,Multiple veteran departures leave coverage roles unsettled,"nickel reps; deep/box safety split; single-high versus split-safety usage; special-teams work",weekly/2026 and defense,open
8,Bobby Slowik personnel and play calling,Continuity in terminology does not establish continuity in offense,"personnel groupings; early-down pass rate; motion; play action; boots; designed quarterback runs",weekly/2026 and coaching-staff,open
9,Kicker competition,The eight-year Sanders role is vacant,"practice and preseason attempts by distance; kickoff usage; operation consistency",weekly/2026 and special-teams,open
10,Thirteen-rookie roster influence,The unusually large class can reshape the opening 53 and role hierarchy,"first-team reps; preseason participation; special-teams snaps; cutdown status",roster CSVs and weekly/2026,open
