coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-zac-taylor,Zac Taylor,all,Head Coach,true,Head Coach,https://www.nfl.com/news/bengals-retaining-head-coach-zac-taylor-personnel-executive-duke-tobin-for-2026-season,2026-08-13
local-coach-dan-pitcher,Dan Pitcher,offense,Offensive Coordinator,true,Offensive Coordinator,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-al-golden,Al Golden,defense,Defensive Coordinator,true,Defensive Coordinator,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-darrin-simmons,Darrin Simmons,special_teams,Assistant Head Coach/Special Teams Coordinator,true,Assistant Head Coach/Special Teams Coordinator,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-brad-kragthorpe,Brad Kragthorpe,offense,Quarterbacks,true,Quarterbacks,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-justin-hill,Justin Hill,offense,Running Backs,true,Running Backs,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-troy-walters,Troy Walters,offense,Wide Receivers,true,Wide Receivers,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-james-casey,James Casey,offense,Tight Ends/Run Game Coordinator,true,Tight Ends,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-scott-peters,Scott Peters,offense,Offensive Line,true,Offensive Line,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-justin-rascati,Justin Rascati,offense,Pass Game Coordinator,true,Pass Game Coordinator,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-jerry-montgomery,Jerry Montgomery,defense,Defensive Line/Run Game Coordinator,false,,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-mike-hodges,Mike Hodges,defense,Linebackers,true,Linebackers,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-charles-burks,Charles Burks,defense,Secondary/Cornerbacks,true,Secondary/Cornerbacks,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-jordan-kovacs,Jordan Kovacs,defense,Secondary/Safeties,true,Secondary/Safeties,https://www.bengals.com/team/coaches-roster/,2026-08-13
local-coach-sean-desai,Sean Desai,defense,Senior Defensive Assistant,false,,https://www.bengals.com/team/coaches-roster/,2026-08-13
