player,position,retention_type,transaction_date,through_season,reported_value,strategic_signal,source_url,last_verified
De'Von Achane,RB,Extension,2026-05-20,2030,"Four new years reportedly $64M; up to $68M","Offensive centerpiece.",https://www.miamidolphins.com/news/dolphins-sign-achane-to-contract-extension,2026-08-05
Aaron Brewer,C,Extension,2026-06-11,2029,"Three years reportedly $52.5M","Center of the rebuilt offensive line.",https://www.miamidolphins.com/news/dolphins-sign-brewer-to-contract-extension,2026-08-05
Jordyn Brooks,ILB,Extension,2026-07-22,2029,"Three years reportedly $51.3M","Defensive leader and every-down foundation.",https://www.miamidolphins.com/news/dolphins-sign-brooks-to-contract-extension,2026-08-05
Greg Dulcich,TE,Re-signed,2026-03-11,,,"Returning receiving tight end in a reshaped room.",https://www.miamidolphins.com/free-agency/,2026-08-05
Willie Gay Jr.,ILB,Re-signed,2026-03-12,,,"Veteran linebacker continuity.",https://www.miamidolphins.com/free-agency/,2026-08-05
Matthew Butler,DL,Re-signed,2026-03-12,,,"Defensive-line continuity.",https://www.miamidolphins.com/free-agency/,2026-08-05
A.J. Green III,CB,Re-signed,2026-03-11,,,"Cornerback continuity in an unsettled room.",https://www.miamidolphins.com/free-agency/,2026-08-05
Riley Patterson,K,Re-signed,2026-03-12,,,"Kicker competition with Zane Gonzalez.",https://www.miamidolphins.com/free-agency/,2026-08-05
Cameron Goode,LB,Re-signed,2026-03-04,,,"Linebacker and special-teams continuity.",https://www.miamidolphins.com/team/transactions/,2026-08-05
Ethan Bonner,CB,Exclusive-rights tender signed,2026-03-13,,,"Young cornerback retained for competition.",https://www.miamidolphins.com/team/transactions/,2026-08-05
