player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Geno Smith,QB,trade,2026-03,active,acquired from Las Vegas (2026 sixth-round pick for Geno Smith and a 2027 seventh); projected starting quarterback reuniting with the team that drafted him in 2013,https://www.espn.com/nfl/story/_/id/48044871/new-york-jets-2026-free-agency-tracker-offseason-moves-signings-trades,2026-08-13
Minkah Fitzpatrick,S,trade,2026-03,active,acquired via trade and signed to a three-year $40M deal; projected starting safety and secondary leader,https://www.espn.com/nfl/story/_/id/48044871/new-york-jets-2026-free-agency-tracker-offseason-moves-signings-trades,2026-08-13
T'Vondre Sweat,DT,trade,2026-03,active,acquired from Tennessee for Jermaine Johnson; interior defensive-line addition,https://www.espn.com/nfl/story/_/id/48044871/new-york-jets-2026-free-agency-tracker-offseason-moves-signings-trades,2026-08-13
Adonai Mitchell,WR,trade,2025-11,active,acquired in the Sauce Gardner trade; competes for a perimeter receiver role opposite Garrett Wilson,https://www.nfl.com/news/sauce-gardner-trade-jets-colts-two-first-round-picks,2026-08-13
Demario Davis,LB,free_agent_signing,2026-03,active,veteran linebacker addition,https://www.espn.com/nfl/story/_/id/48044871/new-york-jets-2026-free-agency-tracker-offseason-moves-signings-trades,2026-08-13
David Onyemata,DT,free_agent_signing,2026-03,active,veteran interior defensive-line addition,https://www.espn.com/nfl/story/_/id/48044871/new-york-jets-2026-free-agency-tracker-offseason-moves-signings-trades,2026-08-13
Joseph Ossai,EDGE,free_agent_signing,2026-03,active,edge-rusher depth/competition,https://www.espn.com/nfl/story/_/id/48044871/new-york-jets-2026-free-agency-tracker-offseason-moves-signings-trades,2026-08-13
Kingsley Enagbare,EDGE,free_agent_signing,2026-03,active,edge-rusher depth/competition,https://www.espn.com/nfl/story/_/id/48044871/new-york-jets-2026-free-agency-tracker-offseason-moves-signings-trades,2026-08-13
Andre Cisco,S,free_agent_signing,2026-03,active,safety depth/competition,https://www.espn.com/nfl/story/_/id/48044871/new-york-jets-2026-free-agency-tracker-offseason-moves-signings-trades,2026-08-13
Mykal Walker,LB,free_agent_signing,2026-03,active,linebacker depth/competition,https://www.espn.com/nfl/story/_/id/48044871/new-york-jets-2026-free-agency-tracker-offseason-moves-signings-trades,2026-08-13
Kene Nwangwu,RB,free_agent_signing,2026-03,active,return specialist and depth back,https://www.espn.com/nfl/story/_/id/48044871/new-york-jets-2026-free-agency-tracker-offseason-moves-signings-trades,2026-08-13
Cade York,K,free_agent_signing,2026-03,active,one-year deal to compete for the kicking job after Nick Folk departed,https://www.espn.com/nfl/story/_/id/48044871/new-york-jets-2026-free-agency-tracker-offseason-moves-signings-trades,2026-08-13
