coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-kevin-stefanski,Kevin Stefanski,all,Head Coach,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-tommy-rees,Tommy Rees,offense,Offensive Coordinator,false,,https://www.atlantafalcons.com/news/tommy-rees-falcons-offensive-coordinator,2026-08-17
local-coach-jeff-ulbrich,Jeff Ulbrich,defense,Defensive Coordinator,true,Defensive Coordinator,https://www.atlantafalcons.com/news/retain-jeff-ulbrich-defensive-coordinator,2026-08-17
local-coach-craig-aukerman,Craig Aukerman,special_teams,Special Teams Coordinator,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-michael-bearden,Michael Bearden,offense,Ollie Wilson Coaching Fellow/Offensive Assistant,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-chase-blackburn,Chase Blackburn,special_teams,Assistant Special Teams,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-bill-callahan,Bill Callahan,offense,Offensive Line,false,,https://www.atlantafalcons.com/news/falcons-name-bill-callahan-offensive-line-coach,2026-08-17
local-coach-tanner-engstrand,Tanner Engstrand,offense,Passing Game Coordinator,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-justin-hood,Justin Hood,defense,Secondary,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-dave-huxtable,Dave Huxtable,defense,Senior Defensive Assistant,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-matt-jones,Matt Jones,offense,Assistant Offensive Line,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-nick-jones,Nick Jones,offense,Assistant Offensive Line,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-kevin-koger,Kevin Koger,offense,Tight Ends,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-troy-kruchten,Troy Kruchten,defense,Defensive Quality Control,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-ricky-manning,Ricky Manning,defense,Assistant Defensive Backs/Nickels,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-nate-ollie,Nate Ollie,defense,Defensive Line,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-michael-pitre,Michael Pitre,offense,Running Backs,true,Running Backs,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-robert-prince,Robert Prince,offense,Wide Receivers,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-jordan-reid,Jordan Reid,offense,Assistant Quarterbacks,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-barrett-ruud,Barrett Ruud,defense,Linebackers,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-john-timu,John Timu,defense,Outside Linebackers,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-patrick-toney,Patrick Toney,defense,Defensive Passing Game Coordinator,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
local-coach-alex-van-pelt,Alex Van Pelt,offense,Quarterbacks,false,,https://www.atlantafalcons.com/news/atlanta-falcons-2026-coaching-staff,2026-08-17
