player,position,college,initial_acquisition_date,current_status_as_of_2026_08_05,status_date,notes,source_url,last_verified
Joey Aguilar,QB,Tennessee,2026-04-26,active,2026-08-11,Listed fourth at quarterback on first unofficial depth chart,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
T.J. Bollers,DL,California,2026-04-26,active,2026-08-11,Listed as defensive-tackle depth,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
Brady Boyd,WR,Utah State,2026-04-26,active,2026-08-11,Listed as receiver depth behind Brian Thomas Jr. and Travis Hunter,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
Alex Bullock,WR,South Dakota State,2026-04-26,Reserve/Retired,2026-05-18,Announced as UDFA and later placed on Reserve/Retired,https://www.jaguars.com/news/roster-moves-jaguars-place-wr-alex-bullock-on-reserve-retired-list,2026-08-17
Ethan Conner,TE,Troy,2026-04-26,active,2026-08-11,Listed as tight-end depth in a crowded room,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
Garrett DiGiorgio,OL,UCLA,2026-04-26,PUP,2026-07-26,Opened camp on PUP with Cole Van Lanen,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
Quindarius Dunnigan,DE,Michigan State,2026-04-26,active,2026-08-11,Listed as defensive-end depth,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
Preston Hodge,CB,Colorado,2026-04-26,active,2026-08-11,Listed as cornerback depth,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
Jalen Hunt,DL,Cincinnati,2026-04-26,active,2026-08-11,Listed as defensive-tackle depth,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
Devin Neal,S,Virginia,2026-04-26,active,2026-08-11,Listed as safety depth,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
Jimto Obidegwu,OL,North Texas,2026-04-26,active,2026-08-11,Listed as right-tackle depth,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
Ben Patterson,WR,Texas-Permian Basin,2026-04-26,active,2026-08-05,Receiver depth competition,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
Trebor Pena,WR,Penn State,2026-04-26,active,2026-08-11,Listed as receiver depth and possible return-capable roster candidate,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
J'Mari Taylor,RB,Virginia,2026-04-26,active,2026-08-11,Listed behind Tuten Rodriguez LeQuint Allen Jr. Ameer Abdullah and DeeJay Dallas,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
Bryan Thomas Jr.,DE,South Carolina,2026-04-26,active,2026-08-11,Listed as defensive-end depth,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
Jordan White,OL,Vanderbilt,2026-04-26,Reserve/Retired,2026-05-11,Announced as UDFA and later placed on Reserve/Retired,https://www.jaguars.com/news/roster-moves,2026-08-17
Michael Wortham,WR,Montana,2026-04-26,active,2026-08-11,Listed as receiver depth,https://www.jaguars.com/news/k000600-roster-moves-jaguars-agree-to-terms-with-18-undrafted-free-agents,2026-08-17
