player,position,2025_role,transaction,transaction_date,destination,performance_significance,source_url,last_verified
Travis Etienne Jr.,RB,lead rusher and high-value touchdown scorer,signed_elsewhere,2026-03-11,New Orleans Saints,Removes the 2025 rushing leader and opens a lead-back competition for Bhayshul Tuten Chris Rodriguez Jr. and LeQuint Allen Jr.,https://www.jaguars.com/news/k000591-2026-jaguars-free-agent-tracker,2026-08-17
Devin Lloyd,LB,starting linebacker and 2025 takeaway producer,signed_elsewhere,2026-03-11,Carolina Panthers,Creates a second-level role battle next to Foye Oluokun after Lloyd led the team with five interceptions in 2025,https://www.jaguars.com/news/k000591-2026-jaguars-free-agent-tracker,2026-08-17
Andrew Wingard,S,starting safety,signed_elsewhere,2026-03-11,Arizona Cardinals,Removes a 16-game 2025 starter and raises safety depth importance behind Eric Murray and Antonio Johnson,https://www.jaguars.com/news/k000591-2026-jaguars-free-agent-tracker,2026-08-17
Greg Newsome II,CB,starting cornerback acquired during 2025,signed_elsewhere,2026-03-11,New York Giants,Increases importance of Travis Hunter Montaric Brown Jourdan Lewis and Jarrian Jones in the corner rotation,https://www.jaguars.com/news/k000591-2026-jaguars-free-agent-tracker,2026-08-17
Johnny Mundt,TE,blocking tight end and depth contributor,released,2026-03-09,Philadelphia Eagles,Cleared tight-end room before the Jaguars drafted Nate Boerkircher and Tanner Koziol,https://www.jaguars.com/news/k000591-2026-jaguars-free-agent-tracker,2026-08-17
Maason Smith,DL,interior defensive-line depth,traded,2026-04-17,Atlanta Falcons,Sent to Atlanta in the Ruke Orhorhoro trade as Jacksonville refreshed defensive-line depth,https://www.jaguars.com/news/k000600-roster-moves-jaguars-trade-for-dl-ruke-orhorhoro,2026-08-17
Cooper Hodges,OL,offensive-line depth,waived,2026-04-17,,Cleared roster space in the Orhorhoro transaction period,https://www.jaguars.com/news/k000600-roster-moves-jaguars-trade-for-dl-ruke-orhorhoro,2026-08-17
Dane Jackson,CB,cornerback depth,Reserve/Retired,2026-07-28,,Opened a camp cornerback spot when Corey Ballentine signed,https://www.jaguars.com/news/,2026-08-17
Alex Bullock,WR,undrafted rookie receiver,Reserve/Retired,2026-05-18,,Reduced the originally announced UDFA receiver class before camp,https://www.jaguars.com/news/roster-moves-jaguars-place-wr-alex-bullock-on-reserve-retired-list,2026-08-17
Jordan White,OL,undrafted rookie offensive lineman,Reserve/Retired,2026-05-11,,Reduced the originally announced UDFA offensive-line group,https://www.jaguars.com/news/roster-moves,2026-08-17
Ja'Quinden Jackson,RB,running-back depth,waived,2026-05-11,,Cleared roster space when Ameer Abdullah and Sal Wormley signed,https://www.jaguars.com/news/roster-moves,2026-08-17
