observation_id,team_id,player_ids,source_id,source_url,origin_url,published_at,retrieved_at,evidence_lane,evidence_kind,claim_summary,relationship,related_observation_ids,dedup_key,confidence,time_sensitivity,fantasy_impact,reader_id,notes
obs-2026-sea-20260909t210706z-001,SEA,,local-writer-john-boyle,https://www.seahawks.com/news/ty-okada-out-nick-emmanwori-questionable-for-seahawks-season-opener-vs-patriots,https://www.seahawks.com/news/ty-okada-out-nick-emmanwori-questionable-for-seahawks-season-opener-vs-patriots,2026-09-08T21:52:26.724Z,2026-09-09T21:09:47+00:00,injury,official_fact,Starting safety Ty Okada (hamstring) was ruled out for the Wednesday Week 1 opener vs. New England after not practicing all week.,new,,sea-20260908-okada-week1-out,high,immediate,low,reader-sea,Publication time from the article's own NewsArticle JSON-LD datePublished (display Sep 08 2026 2:52 PM PT); page also carries a separate photo-gallery WebPage JSON-LD block that was ignored. Verified against article body. Okada started 11 games in 2025 per the article. Fantasy relevance is defensive-personnel context only.
obs-2026-sea-20260909t210706z-002,SEA,,local-writer-john-boyle,https://www.seahawks.com/news/ty-okada-out-nick-emmanwori-questionable-for-seahawks-season-opener-vs-patriots,https://www.seahawks.com/news/ty-okada-out-nick-emmanwori-questionable-for-seahawks-season-opener-vs-patriots,2026-09-08T21:52:26.724Z,2026-09-09T21:09:47+00:00,injury,official_fact,Safety/nickel Nick Emmanwori (ankle; pre-camp surgery) carries a questionable designation for Week 1 after being a limited participant all week.,new,,sea-20260908-emmanwori-week1-questionable,high,immediate,low,reader-sea,Publication time from the article's own NewsArticle JSON-LD datePublished (display Sep 08 2026 2:52 PM PT); page also carries a separate photo-gallery WebPage JSON-LD block that was ignored. Verified against article body. Companion injury-report page adds that Macdonald said Emmanwori did more in Monday's practice than previously. Official status is questionable; no availability conclusion here.
obs-2026-sea-20260909t210706z-003,SEA,,local-writer-john-boyle,https://www.seahawks.com/news/ty-okada-out-nick-emmanwori-questionable-for-seahawks-season-opener-vs-patriots,https://www.seahawks.com/news/ty-okada-out-nick-emmanwori-questionable-for-seahawks-season-opener-vs-patriots,2026-09-08T21:52:26.724Z,2026-09-09T21:09:47+00:00,injury,official_fact,WR Tory Horton (hamstring) is questionable for Week 1 after being limited in practice all week.,new,,sea-20260908-horton-week1-questionable,high,immediate,medium,reader-sea,"Publication time from the article's own NewsArticle JSON-LD datePublished (display Sep 08 2026 2:52 PM PT); page also carries a separate photo-gallery WebPage JSON-LD block that was ignored. Verified against article body. Limited on the Sunday, Monday, and Tuesday (estimated walkthrough) reports per the companion injury-report page."
obs-2026-sea-20260909t210706z-004,SEA,,local-writer-john-boyle,https://www.seahawks.com/news/ty-okada-out-nick-emmanwori-questionable-for-seahawks-season-opener-vs-patriots,https://www.seahawks.com/news/ty-okada-out-nick-emmanwori-questionable-for-seahawks-season-opener-vs-patriots,2026-09-08T21:52:26.724Z,2026-09-09T21:09:47+00:00,availability,official_fact,RB Emanuel Wilson (hamstring) carries no game designation and is available for Week 1; he was a full participant on the Sunday and Monday reports after missing camp time and all preseason games.,new,,sea-20260908-wilson-week1-no-designation,high,high,medium,reader-sea,Publication time from the article's own NewsArticle JSON-LD datePublished (display Sep 08 2026 2:52 PM PT); page also carries a separate photo-gallery WebPage JSON-LD block that was ignored. Verified against article body. Full-participation days taken from the companion injury-report page (https://www.seahawks.com/news/2026-week-1-injury-report-seahawks-vs-patriots). Availability only; no workload claim.
obs-2026-sea-20260909t210706z-005,SEA,,local-writer-john-boyle,https://www.seahawks.com/news/2026-week-1-injury-report-seahawks-vs-patriots,https://www.seahawks.com/news/2026-week-1-injury-report-seahawks-vs-patriots,2026-09-08T22:00:00Z,2026-09-09T21:09:46+00:00,practice_participation,official_fact,"No other Seahawks carry a Week 1 game designation: RG Anthony Bradford (knee) was upgraded from limited Sunday to full Monday, T Josh Jones (knee) was limited Sunday and Monday, and rookie CB Julian Neal (quadricep) was a full participant.",new,,sea-20260908-week1-injury-report-other-participation,high,high,low,reader-sea,"Publication time from the article's own NewsArticle JSON-LD datePublished (display Sep 08 2026 3:00 PM PT); a separate gallery WebPage JSON-LD block on the page was ignored. Page is a cumulative Sunday/Monday/Tuesday report; Tuesday was a walkthrough with estimated participation. Verified against article body. The official text lists Okada as the only Sunday non-participant and does not list TE AJ Barner among participation rows; FOX 13 (Crabtree, Sep 6) separately listed Barner as a full participant with an oblique note, so Barner is treated as undesignated and available."
obs-2026-sea-20260909t210706z-006,SEA,,local-writer-john-boyle,https://www.seahawks.com/news/seahawks-make-roster-moves-ahead-of-season-opener-vs-patriots,https://www.seahawks.com/news/seahawks-make-roster-moves-ahead-of-season-opener-vs-patriots,2026-09-09T20:15:15.929Z,2026-09-09T21:09:47+00:00,transaction,official_fact,Safety AJ Finley was signed from the practice squad to the 53-man roster and guard Bryce Cabeldue was waived to open the spot ahead of the Week 1 opener.,new,,sea-20260909-finley-signed-53-cabeldue-waived,high,immediate,low,reader-sea,Publication time from the article's own NewsArticle JSON-LD datePublished (display Sep 09 2026 1:15 PM PT); separate gallery WebPage JSON-LD block ignored. Verified against article body. Article frames the move as safety depth with Okada out and Emmanwori questionable.
obs-2026-sea-20260909t210706z-007,SEA,,local-writer-john-boyle,https://www.seahawks.com/news/seahawks-make-roster-moves-ahead-of-season-opener-vs-patriots,https://www.seahawks.com/news/seahawks-make-roster-moves-ahead-of-season-opener-vs-patriots,2026-09-09T20:15:15.929Z,2026-09-09T21:09:47+00:00,transaction,official_fact,Safety Rodney Thomas II and RB Velus Jones Jr. were elevated from the practice squad for the Week 1 opener vs. New England.,new,,sea-20260909-thomas-vjones-elevated,high,immediate,low,reader-sea,Publication time from the article's own NewsArticle JSON-LD datePublished (display Sep 09 2026 1:15 PM PT); separate gallery WebPage JSON-LD block ignored. Verified against article body. Standard game-day elevations; Velus Jones Jr. listed as a running back by the team site. No role stated for Jones.
obs-2026-sea-20260909t210706z-008,SEA,,local-writer-john-boyle,https://www.seahawks.com/news/seahawks-make-roster-moves-ahead-of-season-opener-vs-patriots,https://www.seahawks.com/news/seahawks-make-roster-moves-ahead-of-season-opener-vs-patriots,2026-09-09T20:15:15.929Z,2026-09-09T21:09:47+00:00,role,analysis,Team-site reporter expects either Rodney Thomas II or AJ Finley to start in Ty Okada's place alongside starting safety Julian Love.,confirm,obs-2026-sea-20260909t210706z-011,sea-20260909-okada-replacement-thomas-or-finley,high,immediate,low,reader-sea,"Publication time from the article's own NewsArticle JSON-LD datePublished (display Sep 09 2026 1:15 PM PT); separate gallery WebPage JSON-LD block ignored. Verified against article body. Writer expectation on the official site, not a coach statement; supported by Durde and Macdonald quotes on practice-squad readiness. Confirms the FOX 13 Sep 7 report that Thomas could start next to Love, while adding Finley as an alternative."
obs-2026-sea-20260909t210706z-009,SEA,,local-writer-john-boyle,https://www.seahawks.com/news/what-to-watch-in-the-seahawks-season-opener-against-the-patriots,https://www.seahawks.com/news/what-to-watch-in-the-seahawks-season-opener-against-the-patriots,2026-09-07T23:24:33.354Z,2026-09-09T21:09:48+00:00,availability,reported_fact,First-round RB Jadarian Price is expected to make his NFL debut in the Wednesday opener after missing all preseason games with a minor early-camp leg issue and team depth concerns.,confirm,obs-2026-sea-20260906t193157z-001,sea-20260905-price-week1-debut,high,high,medium,reader-sea,Publication time from the article's own NewsArticle JSON-LD datePublished (display Sep 07 2026 4:24 PM PT); separate gallery WebPage JSON-LD block ignored. Verified against article body. Same claim as the Sep 5 official Price article; includes a Price quote on being prepared and an OC Fleury quote on being excited to watch his first touch. No designation is involved; Price is not on the injury report.
obs-2026-sea-20260909t210706z-010,SEA,,local-writer-john-boyle,https://www.seahawks.com/news/what-to-watch-in-the-seahawks-season-opener-against-the-patriots,https://www.seahawks.com/news/what-to-watch-in-the-seahawks-season-opener-against-the-patriots,2026-09-07T23:24:33.354Z,2026-09-09T21:09:48+00:00,role,reported_fact,"Price is expected to help fill the void left by Kenneth Walker III but will not be asked to carry the load alone, with George Holani, Emanuel Wilson and other backs ready to go behind an offensive line returning all five starters.",new,,sea-20260907-price-backfield-committee-framing,medium,high,medium,reader-sea,Publication time from the article's own NewsArticle JSON-LD datePublished (display Sep 07 2026 4:24 PM PT); separate gallery WebPage JSON-LD block ignored. Verified against article body. Team-site framing rather than a coach quote; no split or first-team designation stated. Kenny McIntosh is not named in the article.
obs-2026-sea-20260909t210706z-011,SEA,,local-writer-curtis-crabtree,https://www.fox13seattle.com/sports/safety-thomas-could-see-big-role-seahawks-against-patriots,https://www.fox13seattle.com/sports/safety-thomas-could-see-big-role-seahawks-against-patriots,2026-09-07T16:36:55-07:00,2026-09-09T21:09:52+00:00,reps_rotation,reported_fact,"Rodney Thomas II could start alongside Julian Love vs. New England; he spent most of camp on the second-team unit with AJ Finley but got reps next to Love with the first-team defense during camp rotations, per Crabtree and Thomas himself.",new,,sea-20260907-thomas-first-team-reps,high,high,low,reader-sea,"Publication time from FOX 13 JSON-LD datePublished (display Sep 7 2026 4:36 PM PDT); dateModified identical. Includes Macdonald praise of Thomas and a Thomas quote on rotating with different DBs; Crabtree notes reporters have not seen full practices since the second preseason game, so reps context is partly player-sourced. Thomas also said a camp hand surgery is no longer an issue."
obs-2026-sea-20260909t210706z-012,SEA,,local-writer-brady-henderson,https://www.espn.com/nfl/story/_/id/49872328/patriots-henderson-seahawks-okada-ruled-sb-rematch,https://www.espn.com/nfl/story/_/id/49872328/patriots-henderson-seahawks-okada-ruled-sb-rematch,2026-09-08T17:12:00-04:00,2026-09-09T21:10:43+00:00,availability,reported_fact,"ESPN (Henderson with Reiss) reports Nick Emmanwori is unlikely to play in the opener despite the questionable tag, having been limited on all three Seahawks injury reports following July arthroscopic right-ankle surgery.",update,obs-2026-sea-20260909t210706z-002,sea-20260908-emmanwori-unlikely-to-play,medium,immediate,low,reader-sea,"Joint byline Mike Reiss and Brady Henderson; published_at is the displayed byline time (Sep 8 2026 5:12 PM ET) because ESPN served a bot-challenge page to direct requests and JSON-LD could not be read; retrieved via rendered fetch. The unlikely-to-play judgment is the reporters' own and goes beyond the official questionable designation. Story also covers Patriots RB TreVeyon Henderson being out, which belongs to reader-ne."
