source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-tennessee-titans,organization,Tennessee Titans communications,Tennessee Titans,Official team communications,official,essential,active,free,"roster; injuries; transactions; depth chart; conferences","Team analysis is not independent.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Use postgame source of record.",,,,2026-08-21
local-writer-turron-davenport,person,Turron Davenport,ESPN NFL Nation,Tennessee Titans NFL Nation reporter,reporting,essential,active,mixed,"daily beat; practice; injuries; roster","Record retrieval date for updated pieces.",,,,2026-08-21
local-writer-nick-suss,person,Nick Suss,The Tennessean,Titans beat writer,reporting,essential,active,paid,"daily beat; camp reps; personnel; organization","Summarize paywalled work and attribute.",,,,2026-08-21
local-writer-paul-kuharsky,person,Paul Kuharsky,PaulKuharsky.com,Independent Titans reporter,reporting,essential,active,paid,"organization; practice; roster; long-term context","Separate reporting from commentary.",,,,2026-08-21
local-writer-teresa-walker,person,Teresa M. Walker,Associated Press,Sports writer,reporting,valuable,active,free,"wire coverage; injuries; games; organization","Broader regional remit; use dated Titans work.",,,,2026-08-21
local-writer-terry-mccormick,person,Terry McCormick,Titan Insider,Publisher and Titans beat writer,reporting,valuable,active,mixed,"injuries; practice; roster; long-term context","Separate sourced reporting from commentary.",,,,2026-08-21
local-writer-easton-freeze,person,Easton Freeze,A to Z Sports,Titans host and beat writer,reporting,valuable,active,free,"practice; roster; scheme; local sourcing","Separate reporting from show opinion.",,,,2026-08-21
local-writer-jim-wyatt,person,Jim Wyatt,Tennessee Titans,Senior writer and editor,team_analysis,valuable,active,free,"camp observations; interviews; official context","Team employee; not independent confirmation.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,"game logs; snap counts; history","Secondary reference.",,,,2026-08-21
