player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
A.J. Brown,WR,trade,2026-06-01,"active (initial 53, 2026-08-30)",acquired from Philadelphia for a 2028 first-round pick and a 2027 fifth; projected alpha WR1 for Drake Maye,https://www.patriots.com/news/patriots-acquire-wr-a-j-brown-in-a-trade-with-the-philadelphia-eagles,2026-09-09
Romeo Doubs,WR,free_agent_signing,2026-03,"active (initial 53, 2026-08-30)",four-year deal up to $80M; projected starting receiver opposite A.J. Brown,https://www.espn.com/nfl/story/_/id/48084019/new-england-patriots-2026-free-agency-tracker-offseason-moves-signings-contract-trades,2026-09-09
Alijah Vera-Tucker,OG,free_agent_signing,2026-03,"active (initial 53, 2026-08-30)",three-year $42M deal; starting left guard in the official 2026-08-30 starting-five listing,https://www.espn.com/nfl/story/_/id/48084019/new-england-patriots-2026-free-agency-tracker-offseason-moves-signings-contract-trades,2026-09-09
Dre'Mont Jones,EDGE,free_agent_signing,2026-03,"active (initial 53, 2026-08-30)",three-year $39.5M deal; starting edge rusher in a three-man rotation with Ponder and Jacas while Landry is on reserve/PUP,https://www.espn.com/nfl/story/_/id/48084019/new-england-patriots-2026-free-agency-tracker-offseason-moves-signings-contract-trades,2026-09-09
Kevin Byard III,S,free_agent_signing,2026-03,"active (initial 53, 2026-08-30)",one-year $8M deal; veteran starting safety,https://www.espn.com/nfl/story/_/id/48084019/new-england-patriots-2026-free-agency-tracker-offseason-moves-signings-contract-trades,2026-09-09
Reggie Gilliam,FB,free_agent_signing,2026-03,"active (initial 53, 2026-08-30)",three-year deal; fullback and special-teams role,https://www.espn.com/nfl/story/_/id/48084019/new-england-patriots-2026-free-agency-tracker-offseason-moves-signings-contract-trades,2026-09-09
Julian Hill,TE,free_agent_signing,2026-03,"injured_reserve (official roster page, 2026-09-09)","three-year deal; blocking tight end depth; on reserve/injured, with waiver claim Cameron Latu and Tanner Arkin filling the depth role",https://www.patriots.com/team/players-roster/,2026-09-09
Mike Brown,S,free_agent_signing,2026-03,practice_squad (released 2026-08-30; signed to PS 2026-08-31),"one-year deal; lost the safety competition to Woodson, Reed, and Pettus",https://www.patriots.com/news/patriots-make-a-series-of-transactions-practice-squad,2026-09-09
K.J. Britt,LB,free_agent_signing,2026-03,practice_squad (released 2026-08-31; signed to PS 2026-09-01),"one-year deal; linebacker depth behind Spillane, Elliss, and waiver claim Darius Muasau",https://www.patriots.com/news/patriots-sign-c-ben-brown-and-lb-erick-hunter-to-the-53-man-roster-announce-additional-practice-squad-moves,2026-09-09
Kindle Vildor,CB,free_agent_signing,2026-03,practice_squad (released 2026-08-30; signed to PS 2026-08-31),one-year deal; cornerback depth behind a six-man corner room,https://www.patriots.com/news/patriots-make-a-series-of-transactions-practice-squad,2026-09-09
James Hudson III,OT,free_agent_signing,2026-03,released (2026-08-30 cutdown),one-year deal; did not make the initial 53,https://www.patriots.com/news/patriots-make-roster-moves-to-reach-the-53-man-roster-limit-x3970,2026-09-09
Hassan Haskins,RB,free_agent_signing,2026-08-12,practice_squad (released 2026-08-28; signed to PS 2026-08-31),early-down depth back; passed over for Lan Larison in the Week 1 elevation,https://www.patriots.com/news/patriots-acquire-rb-corey-kiner-in-a-trade-with-arizona-release-rb-hassan-haskins,2026-09-09
Greg Van Roten,OL,free_agent_signing,2026-08-18,"active (initial 53, 2026-08-30)",36-year-old veteran with 105 career starts at guard and center; signed after Ben Brown was hurt in the preseason opener; described by the team site as the primary interior backup for Week 1,https://www.patriots.com/news/patriots-sign-veteran-ol-greg-van-roten-release-te-mitch-van-vooren,2026-09-09
Jaylen Reed,S,trade,2026-08-25,"active (initial 53, 2026-08-30)","acquired from Houston with a 2028 seventh-round pick for WR Kayshon Boutte; one of four safeties on the initial 53 with Byard, Woodson, and Pettus",https://www.patriots.com/news/patriots-trade-wr-kayshon-boutte-to-the-texans,2026-09-09
Corey Kiner,RB,trade,2026-08-28,"active (initial 53, 2026-08-30)","acquired from Arizona for a 2028 seventh-round pick (official article 2026-08-28; transaction log 08/29); 5-9, 209; 12 carries for 58 yards with Arizona in 2025; Week 1 No. 2 back by availability with Henderson out",https://www.patriots.com/news/patriots-acquire-rb-corey-kiner-in-a-trade-with-arizona-release-rb-hassan-haskins,2026-09-09
Walter Rouse,OL,trade,2026-08-30,"active (initial 53, 2026-08-30)",acquired from Minnesota with a 2027 seventh-round pick for a 2027 sixth; swing-tackle depth after Marcus Bryant went to injured reserve,https://www.patriots.com/news/patriots-make-roster-moves-to-reach-the-53-man-roster-limit-x3970,2026-09-09
