observation_id,team_id,player_ids,source_id,source_url,origin_url,published_at,retrieved_at,evidence_lane,evidence_kind,claim_summary,relationship,related_observation_ids,dedup_key,confidence,time_sensitivity,fantasy_impact,reader_id,notes
obs-2026-no-20260821t191126z-001,NO,,local-writer-katherine-terrell,https://www.espn.com/nfl/story/_/id/49673882/cowboys-saints-fined-500k-brawls-joint-practices,https://www.espn.com/nfl/story/_/id/49673882/cowboys-saints-fined-500k-brawls-joint-practices,2026-08-20T16:47:00-04:00,2026-08-21T19:13:23Z,other,reported_fact,"The NFL fined the Saints and Cowboys $500,000 each after multiple fights at their August 18 joint practice.",new,,no-cowboys-joint-practice-team-fines-20260820,high,low,none,reader-no,"Team-level discipline; no individual Saints player fine was reported."
obs-2026-no-20260821t191126z-002,NO,,local-writer-jeff-nowak,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,2026-08-20T19:05:00-05:00,2026-08-21T19:13:23Z,reps_rotation,firsthand_observation,"Bryce Lance caught five of six Tyler Shough targets in first-team work against the Rams, including two red-zone touchdowns.",new,,no-rams-practice-bryce-lance-first-team-targets-20260820,high,medium,medium,reader-no,"Practice workload; no inference about a settled regular-season role."
obs-2026-no-20260821t191126z-003,NO,,local-writer-jeff-nowak,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,2026-08-20T19:05:00-05:00,2026-08-21T19:13:23Z,availability,firsthand_observation,"Chris Olave and Kaden Elliss received rest days at the Rams joint practice, and Kellen Moore said neither would play in Saturday's preseason game.",new,,no-rams-practice-olave-elliss-rest-20260820,high,medium,low,reader-no,"Reported as planned rest rather than a new injury."
obs-2026-no-20260821t191126z-004,NO,,local-writer-jeff-nowak,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,2026-08-20T19:05:00-05:00,2026-08-21T19:13:23Z,injury,firsthand_observation,"Cesar Ruiz left the Rams joint practice with an ankle injury and did not return, although he remained on the sideline and was moving well.",new,,no-rams-practice-cesar-ruiz-ankle-20260820,high,high,low,reader-no,"Jeremiah Wright replaced Ruiz with the first team."
obs-2026-no-20260821t191126z-005,NO,,local-writer-jeff-nowak,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,2026-08-20T19:05:00-05:00,2026-08-21T19:13:23Z,reps_rotation,firsthand_observation,"Rookie guard Jeremiah Wright replaced injured Cesar Ruiz with the first-team offense during the Rams joint practice.",new,,no-rams-practice-jeremiah-wright-first-team-rg-20260820,high,medium,low,reader-no,"Opportunity followed Ruiz leaving practice; not reported as a permanent depth-chart change."
obs-2026-no-20260821t191126z-006,NO,,local-writer-jeff-nowak,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,2026-08-20T19:05:00-05:00,2026-08-21T19:13:23Z,injury,firsthand_observation,"Dalys Beanum left the Rams joint practice after being injured on an interception.",new,,no-rams-practice-dalys-beanum-injury-20260820,high,high,none,reader-no,"No diagnosis or timetable was provided."
obs-2026-no-20260821t191126z-007,NO,,local-writer-jeff-nowak,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,2026-08-20T19:05:00-05:00,2026-08-21T19:13:23Z,injury,firsthand_observation,"John Ridgeway left the Rams joint practice early while dealing with a back issue.",new,,no-rams-practice-john-ridgeway-back-20260820,high,high,none,reader-no,"No diagnosis or timetable was provided."
obs-2026-no-20260821t191126z-008,NO,,local-writer-jeff-nowak,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,2026-08-20T19:05:00-05:00,2026-08-21T19:13:23Z,availability,firsthand_observation,"Davon Godchaux returned to practice after missing a little more than a week with an ankle injury.",new,,no-rams-practice-davon-godchaux-return-20260820,high,medium,none,reader-no,"Practice return only; game availability was not established."
obs-2026-no-20260821t191126z-009,NO,,local-writer-jeff-nowak,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,2026-08-20T19:05:00-05:00,2026-08-21T19:13:23Z,availability,firsthand_observation,"Kendre Miller and Devin Neal handled full practice workloads after extended injury absences.",new,,no-rams-practice-miller-neal-full-workload-20260820,high,medium,medium,reader-no,"Shared availability claim from one practice; role meaning is left to synthesis."
obs-2026-no-20260821t191126z-010,NO,,local-writer-jeff-nowak,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,https://www.audacy.com/wwl/local-sports/saints/saints-rams-practice-notes,2026-08-20T19:05:00-05:00,2026-08-21T19:13:23Z,reps_rotation,firsthand_observation,"Ty Chandler received the first first-team running back reps after Travis Etienne's limited early workload at the Rams joint practice.",new,,no-rams-practice-ty-chandler-first-rb-reps-20260820,high,medium,medium,reader-no,"Single-practice rotation while Alvin Kamara and Audric Estime were absent."
