observation_id,team_id,player_ids,source_id,source_url,origin_url,published_at,retrieved_at,evidence_lane,evidence_kind,claim_summary,relationship,related_observation_ids,dedup_key,confidence,time_sensitivity,fantasy_impact,reader_id,notes
obs-2026-ne-20260910t222845z-001,NE,pp-all-rhamondre-stevenson-001,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:56Z,usage,measured_data,"Rhamondre Stevenson recorded 18 rushing attempts for 51 yards, a 2.8-yard average, a long of 12 and no rushing touchdown at Seattle in Week 1.",new,,ne-2026-w01-stevenson-rushing-line,high,medium,high,reader-ne-official,"source_locator: page 2, 'Final Individual Statistics', New England RUSHING table. published_at is NOT a publisher-declared publication time. The PDF carries no internal CreationDate (pdfinfo reports only Creator/Producer 'ActiveReports 19'). The value recorded is the CDN asset creation stamp crt=1789038923 exposed in the Server-Timing content-info response header, which matches the v1789038923 segment of the document URL; the response Last-Modified was Thu, 10 Sep 2026 11:15:25 GMT and was deliberately NOT used. ARCHITECT resolves intake eligibility for this document. Sample limit: TreVeyon Henderson was an official Week 1 inactive, so this is a Henderson-absent backfield sample and is not a healthy-timeshare measurement. Independently corroborated by the ESPN box score for game 401872656, which rendered identical figures; that page carries no byline, so nothing is attributed to local-writer-mike-reiss. Publication anchor (ARCHITECT ruling, this run): patriots.com published 'Gamebook: Patriots at Seahawks Week 1' with JSON-LD datePublished 2026-09-10T03:35:57.718Z, linking a team-hosted copy of the same book at https://static.clubs.nfl.com/image/upload/patriots/lmdmzornxr5pgi90xvmi.pdf. That publisher-declared timestamp establishes that the book was published inside the frozen window. It is a corroborating publication anchor only: it is not the source of this row and is not a second confirmation of any claim in it."
obs-2026-ne-20260910t222845z-002,NE,pp-all-corey-kiner-001,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:56Z,usage,measured_data,"Corey Kiner recorded 6 rushing attempts for 11 yards, a 1.8-yard average, a long of 7 and no rushing touchdown at Seattle in Week 1.",new,,ne-2026-w01-kiner-rushing-line,high,medium,medium,reader-ne-official,"source_locator: page 2, 'Final Individual Statistics', New England RUSHING table. published_at is NOT a publisher-declared publication time. The PDF carries no internal CreationDate (pdfinfo reports only Creator/Producer 'ActiveReports 19'). The value recorded is the CDN asset creation stamp crt=1789038923 exposed in the Server-Timing content-info response header, which matches the v1789038923 segment of the document URL; the response Last-Modified was Thu, 10 Sep 2026 11:15:25 GMT and was deliberately NOT used. ARCHITECT resolves intake eligibility for this document. Sample limit: TreVeyon Henderson was an official Week 1 inactive, so this is a Henderson-absent backfield sample and is not a healthy-timeshare measurement. Corroborated by the unbylined ESPN box score for game 401872656. Publication anchor (ARCHITECT ruling, this run): patriots.com published 'Gamebook: Patriots at Seahawks Week 1' with JSON-LD datePublished 2026-09-10T03:35:57.718Z, linking a team-hosted copy of the same book at https://static.clubs.nfl.com/image/upload/patriots/lmdmzornxr5pgi90xvmi.pdf. That publisher-declared timestamp establishes that the book was published inside the frozen window. It is a corroborating publication anchor only: it is not the source of this row and is not a second confirmation of any claim in it."
obs-2026-ne-20260910t222845z-003,NE,,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:56Z,usage,measured_data,"Lan Larison recorded no rushing attempts at Seattle in Week 1; he does not appear in New England's rushing table, and his entire offensive production was 2 targets, 2 receptions and 9 yards, with a long of 11.",new,,ne-2026-w01-larison-offensive-touches,high,medium,medium,reader-ne-official,"source_locator: page 2, 'Final Individual Statistics', New England RUSHING and PASS RECEIVING tables; absence from the rushing table is the basis for the zero-carry claim. player_ids left blank: no canonical profile for Lan Larison exists under players/. published_at is NOT a publisher-declared publication time. The PDF carries no internal CreationDate (pdfinfo reports only Creator/Producer 'ActiveReports 19'). The value recorded is the CDN asset creation stamp crt=1789038923 exposed in the Server-Timing content-info response header, which matches the v1789038923 segment of the document URL; the response Last-Modified was Thu, 10 Sep 2026 11:15:25 GMT and was deliberately NOT used. ARCHITECT resolves intake eligibility for this document. Sample limit: TreVeyon Henderson was an official Week 1 inactive, so this is a Henderson-absent backfield sample and is not a healthy-timeshare measurement. Publication anchor (ARCHITECT ruling, this run): patriots.com published 'Gamebook: Patriots at Seahawks Week 1' with JSON-LD datePublished 2026-09-10T03:35:57.718Z, linking a team-hosted copy of the same book at https://static.clubs.nfl.com/image/upload/patriots/lmdmzornxr5pgi90xvmi.pdf. That publisher-declared timestamp establishes that the book was published inside the frozen window. It is a corroborating publication anchor only: it is not the source of this row and is not a second confirmation of any claim in it."
obs-2026-ne-20260910t222845z-004,NE,pp-all-drake-maye-001,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:56Z,usage,measured_data,"Drake Maye recorded 7 rushing attempts for 47 yards, a 6.7-yard average and a long of 16; New England's rushing table lists only Stevenson, Maye and Kiner, so quarterback rushes accounted for 7 of the team's 31 rushing attempts and no fourth New England player recorded a carry.",new,,ne-2026-w01-maye-rushing-line,high,medium,medium,reader-ne-official,"source_locator: page 2, 'Final Individual Statistics', New England RUSHING table (three listed rushers plus the 31/109 team total). Recorded so the running-back share of the rushing denominator can be reconciled: 24 of 31 attempts went to running backs. published_at is NOT a publisher-declared publication time. The PDF carries no internal CreationDate (pdfinfo reports only Creator/Producer 'ActiveReports 19'). The value recorded is the CDN asset creation stamp crt=1789038923 exposed in the Server-Timing content-info response header, which matches the v1789038923 segment of the document URL; the response Last-Modified was Thu, 10 Sep 2026 11:15:25 GMT and was deliberately NOT used. ARCHITECT resolves intake eligibility for this document. Publication anchor (ARCHITECT ruling, this run): patriots.com published 'Gamebook: Patriots at Seahawks Week 1' with JSON-LD datePublished 2026-09-10T03:35:57.718Z, linking a team-hosted copy of the same book at https://static.clubs.nfl.com/image/upload/patriots/lmdmzornxr5pgi90xvmi.pdf. That publisher-declared timestamp establishes that the book was published inside the frozen window. It is a corroborating publication anchor only: it is not the source of this row and is not a second confirmation of any claim in it."
obs-2026-ne-20260910t222845z-005,NE,,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:56Z,usage,measured_data,"New England's official team totals at Seattle in Week 1 were 67 total offensive plays including sacks, 33 pass attempts, 31 rushing plays for 109 net yards, 3 sacks taken for 10 yards, third down 5-of-16 (31.3%), fourth down 2-of-2, red zone 1-of-2 (50%), goal-to-go 1-of-1, 19 first downs and 34:17 time of possession.",new,,ne-2026-w01-team-offense-denominators,high,medium,high,reader-ne-official,"source_locator: page 3, 'Final Team Statistics', Visitor/Patriots column. These are the matched denominators for per-player opportunity shares. Note the internal reconciliation: 33 pass attempts + 3 sacks + 31 rushes = 67 offensive plays, while the page-16 playtime table uses a 71-snap offensive denominator because it counts plays nullified by penalty. published_at is NOT a publisher-declared publication time. The PDF carries no internal CreationDate (pdfinfo reports only Creator/Producer 'ActiveReports 19'). The value recorded is the CDN asset creation stamp crt=1789038923 exposed in the Server-Timing content-info response header, which matches the v1789038923 segment of the document URL; the response Last-Modified was Thu, 10 Sep 2026 11:15:25 GMT and was deliberately NOT used. ARCHITECT resolves intake eligibility for this document. Publication anchor (ARCHITECT ruling, this run): patriots.com published 'Gamebook: Patriots at Seahawks Week 1' with JSON-LD datePublished 2026-09-10T03:35:57.718Z, linking a team-hosted copy of the same book at https://static.clubs.nfl.com/image/upload/patriots/lmdmzornxr5pgi90xvmi.pdf. That publisher-declared timestamp establishes that the book was published inside the frozen window. It is a corroborating publication anchor only: it is not the source of this row and is not a second confirmation of any claim in it."
obs-2026-ne-20260910t222845z-006,NE,pp-all-rhamondre-stevenson-001;pp-all-demario-douglas-001;pp-all-aj-brown-001;pp-all-hunter-henry-001;pp-all-romeo-doubs-001,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:56Z,usage,measured_data,"New England distributed 31 targets and 23 receptions for 178 yards and 1 receiving touchdown at Seattle in Week 1: Stevenson 6 targets/5 receptions/44 yards, Douglas 7/5/20, Hollins 5/4/51, A.J. Brown 4/3/26, Henry 3/3/26, Larison 2/2/9, Raridon 1/1/2 with the touchdown, and Doubs 3 targets with no reception.",new,,ne-2026-w01-target-distribution,high,medium,high,reader-ne-official,"source_locator: page 2, 'Final Individual Statistics', New England PASS RECEIVING table. Team target total of 31 versus 33 pass attempts reflects the 2 attempts the book charges to no receiver. player_ids omit Mack Hollins and Eli Raridon: no canonical profiles exist under players/. published_at is NOT a publisher-declared publication time. The PDF carries no internal CreationDate (pdfinfo reports only Creator/Producer 'ActiveReports 19'). The value recorded is the CDN asset creation stamp crt=1789038923 exposed in the Server-Timing content-info response header, which matches the v1789038923 segment of the document URL; the response Last-Modified was Thu, 10 Sep 2026 11:15:25 GMT and was deliberately NOT used. ARCHITECT resolves intake eligibility for this document. A.J. Brown's 4 targets are a partial-game figure; see the injury observations in this batch. Corroborated by the unbylined ESPN box score for game 401872656, which lists the same seven receiving lines and the same 31-target team total but omits Doubs's zero-reception row. Publication anchor (ARCHITECT ruling, this run): patriots.com published 'Gamebook: Patriots at Seahawks Week 1' with JSON-LD datePublished 2026-09-10T03:35:57.718Z, linking a team-hosted copy of the same book at https://static.clubs.nfl.com/image/upload/patriots/lmdmzornxr5pgi90xvmi.pdf. That publisher-declared timestamp establishes that the book was published inside the frozen window. It is a corroborating publication anchor only: it is not the source of this row and is not a second confirmation of any claim in it."
obs-2026-ne-20260910t222845z-007,NE,pp-all-drake-maye-001,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:56Z,usage,measured_data,"Drake Maye completed 23 of 33 passes for 178 gross yards with 1 touchdown and 3 interceptions, was sacked 3 times for 10 yards, had a long of 19 and posted a 54.9 passer rating; he was New England's only passer.",new,,ne-2026-w01-maye-passing-line,high,medium,high,reader-ne-official,"source_locator: page 2, 'Final Individual Statistics', New England PASSING table, plus page 3 'PASS ATTEMPTS-COMPLETIONS-HAD INTERCEPTED 33-23-3'. The three interceptions were credited to Seattle's N.Pritchett (30-yard return), J.Love and J.Jobe per the page 2 Seattle INTERCEPTIONS table. published_at is NOT a publisher-declared publication time. The PDF carries no internal CreationDate (pdfinfo reports only Creator/Producer 'ActiveReports 19'). The value recorded is the CDN asset creation stamp crt=1789038923 exposed in the Server-Timing content-info response header, which matches the v1789038923 segment of the document URL; the response Last-Modified was Thu, 10 Sep 2026 11:15:25 GMT and was deliberately NOT used. ARCHITECT resolves intake eligibility for this document. Publication anchor (ARCHITECT ruling, this run): patriots.com published 'Gamebook: Patriots at Seahawks Week 1' with JSON-LD datePublished 2026-09-10T03:35:57.718Z, linking a team-hosted copy of the same book at https://static.clubs.nfl.com/image/upload/patriots/lmdmzornxr5pgi90xvmi.pdf. That publisher-declared timestamp establishes that the book was published inside the frozen window. It is a corroborating publication anchor only: it is not the source of this row and is not a second confirmation of any claim in it."
obs-2026-ne-20260910t222845z-008,NE,pp-all-rhamondre-stevenson-001;pp-all-corey-kiner-001;pp-all-hunter-henry-001;pp-all-demario-douglas-001;pp-all-romeo-doubs-001;pp-all-aj-brown-001;pp-all-kyle-williams-001,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:56Z,usage,measured_data,"The gamebook exposes New England offensive playtime against a 71-snap denominator: Stevenson 60 snaps (85%), Henry 54 (76%), Hollins 50 (70%), Douglas 44 (62%), Doubs 40 (56%), Raridon 38 (54%), A.J. Brown 31 (44%), Gilliam 13 (18%), Kyle Williams 12 (17%), Kiner 8 (11%), Larison 3 (4%) and Van Roten 2 (3%), with the five starting linemen and Maye at 71 (100%).",new,,ne-2026-w01-offensive-playtime-percentage,high,medium,high,reader-ne-official,"source_locator: page 16, 'Playtime Percentage', New England Patriots offense column. The book itself labels this table 'Unofficial'; treat it as the gamebook's participation estimate rather than the official participation report. Coverage note: the gamebook exposes playtime percentages but no route or target-share participation, and the NFL game center page for patriots-at-seahawks-2026-reg-1 exposed no separate participation report. published_at is NOT a publisher-declared publication time. The PDF carries no internal CreationDate (pdfinfo reports only Creator/Producer 'ActiveReports 19'). The value recorded is the CDN asset creation stamp crt=1789038923 exposed in the Server-Timing content-info response header, which matches the v1789038923 segment of the document URL; the response Last-Modified was Thu, 10 Sep 2026 11:15:25 GMT and was deliberately NOT used. ARCHITECT resolves intake eligibility for this document. Sample limit: TreVeyon Henderson was an official Week 1 inactive, so this is a Henderson-absent backfield sample and is not a healthy-timeshare measurement. A.J. Brown's 44% is a partial-game figure; he was ruled out during the game. Publication anchor (ARCHITECT ruling, this run): patriots.com published 'Gamebook: Patriots at Seahawks Week 1' with JSON-LD datePublished 2026-09-10T03:35:57.718Z, linking a team-hosted copy of the same book at https://static.clubs.nfl.com/image/upload/patriots/lmdmzornxr5pgi90xvmi.pdf. That publisher-declared timestamp establishes that the book was published inside the frozen window. It is a corroborating publication anchor only: it is not the source of this row and is not a second confirmation of any claim in it."
obs-2026-ne-20260910t222845z-009,NE,pp-all-aj-brown-001,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:56Z,injury,official_fact,"The official play-by-play records that A.J. Brown was injured on a third-and-4 incomplete pass at 13:30 of the third quarter, that his return was listed as Questionable at 12:41 of the third quarter, and that he was declared Out of the game at the start of the fourth quarter.",new,,ne-2026-w01-ajbrown-injury,high,high,high,reader-ne-official,"source_locator: page 11 (Third Quarter play-by-play, 'NE-A.Brown was injured during the play' and '** Injury Update: NE-A.Brown return is Questionable.') and page 13 (Fourth Quarter play-by-play, '** Injury Update: NE-A.Brown is Out of the game.'). The book records no injury type. published_at is NOT a publisher-declared publication time. The PDF carries no internal CreationDate (pdfinfo reports only Creator/Producer 'ActiveReports 19'). The value recorded is the CDN asset creation stamp crt=1789038923 exposed in the Server-Timing content-info response header, which matches the v1789038923 segment of the document URL; the response Last-Modified was Thu, 10 Sep 2026 11:15:25 GMT and was deliberately NOT used. ARCHITECT resolves intake eligibility for this document. Publication anchor (ARCHITECT ruling, this run): patriots.com published 'Gamebook: Patriots at Seahawks Week 1' with JSON-LD datePublished 2026-09-10T03:35:57.718Z, linking a team-hosted copy of the same book at https://static.clubs.nfl.com/image/upload/patriots/lmdmzornxr5pgi90xvmi.pdf. That publisher-declared timestamp establishes that the book was published inside the frozen window. It is a corroborating publication anchor only: it is not the source of this row and is not a second confirmation of any claim in it."
obs-2026-ne-20260910t222845z-010,NE,pp-all-aj-brown-001,local-source-new-england-patriots,https://www.patriots.com/news/transcript-head-coach-mike-vrabel-press-conference-9-10-x2106,https://www.patriots.com/news/transcript-head-coach-mike-vrabel-press-conference-9-10-x2106,2026-09-10T18:57:00Z,2026-09-10T22:30:30Z,injury,official_fact,"Head coach Mike Vrabel said on September 10 that A.J. Brown will undergo further testing, that the team will provide an update the following week, and that he did not know whether Brown would be available for the next game; asked directly about a report of a high ankle sprain, Vrabel did not confirm a diagnosis.",update,obs-2026-ne-20260910t222845z-009,ne-2026-w01-ajbrown-injury,high,high,high,reader-ne-official,"Official team transcript of the September 10 head-coach press conference. published_at taken from the article JSON-LD datePublished 2026-09-10T18:57:00.471Z, which matches the displayed byline time 'Sep 10, 2026 at 02:57 PM' Eastern; dateModified was identical and was not used. Paraphrased, not quoted. Reader memory correction: the stored note that patriots.com transcript pages carry a placeholder datePublished (such as 09:00Z) did not hold for this page; the memory note has been corrected in this run. Vrabel neither confirmed nor denied the high-ankle-sprain report, so no diagnosis is recorded here; the underlying report belongs to the beat lane."
