player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Javon Hargrave,DL,free_agent_signing,2026-03-13,active,"Interior starter/anchor candidate reunited with Jonathan Gannon in a shift back toward a 3-4 base front.",https://www.packers.com/news/packers-sign-dl-javon-hargrave-march-13-2026,2026-08-17
Skyy Moore,WR/KR/PR,free_agent_signing,2026-03-13,active,"Primary return-game addition with reserve receiver utility.",https://www.packers.com/news/packers-sign-wr-skyy-moore-march-13-2026,2026-08-17
Benjamin St-Juste,CB,free_agent_signing,2026-03-12,active,"Cornerback competition opposite Keisean Nixon with Carrington Valentine and Brandon Cisse.",https://www.packers.com/team/transactions/,2026-08-17
Zaire Franklin,LB,trade,2026-03-11,active,"Veteran linebacker acquired to run Jonathan Gannon's defense and wear the communication headset during spring work.",https://www.packers.com/news/packers-training-camp-preview-5-storylines-to-follow-2026,2026-08-17
Tyrod Taylor,QB,free_agent_signing,2026-05-04,active,"Veteran backup behind Jordan Love after Malik Willis left and Desmond Ridder was released.",https://www.packers.com/news/countdown-to-camp-jordan-love-has-new-qb2-2026,2026-08-17
Cal Adomitis,LS,free_agent_signing,2026-07-31,active,"Long snapper competition after late-July roster move.",https://www.packers.com/news/packers-announce-roster-moves-july-31-2026,2026-08-17
Kaden Prather,WR,free_agent_signing,2026-07-31,active,"Late camp wide receiver depth and special-teams competition.",https://www.packers.com/news/packers-announce-roster-moves-july-31-2026,2026-08-17
Chris Hilton Jr.,WR,waiver_claim,2026-08-10,active,"Late camp receiver depth in a crowded post-Doubs/Wicks competition.",https://www.packers.com/team/transactions/,2026-08-17
Trey Dean III,S,free_agent_signing,2026-08-11,active,"Safety depth behind Xavier McKinney, Evan Williams, Javon Bullard, and Kitan Oladapo.",https://www.packers.com/team/transactions/,2026-08-17
Tra Fluellen,S,free_agent_signing,2026-08-11,active,"Safety depth and special-teams competition.",https://www.packers.com/team/transactions/,2026-08-17
