source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-arizona-cardinals,organization,Arizona Cardinals communications,Arizona Cardinals,Official team communications,official,essential,active,free,"injuries; transactions; roster; press conferences","Authoritative club record; editorial is team-controlled.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,League records,official,valuable,active,free,"gamebooks; participation; transactions","Retrieve the specific official record.",,,,2026-08-21
local-writer-josh-weinfuss,person,Josh Weinfuss,ESPN,Cardinals reporter,reporting,essential,active,free,"daily beat; injuries; quarterback; organization","Current ESPN Cardinals reporter.",,,,2026-08-21
local-writer-theo-mackie,person,Theo Mackie,Arizona Republic,Cardinals beat reporter,reporting,essential,active,paywall,"camp observations; roles; roster; scheme implementation","Primary newspaper beat; do not reproduce paid text.",,,,2026-08-21
local-writer-tyler-drake,person,Tyler Drake,Arizona Sports,Cardinals reporter and editor,reporting,essential,active,free,"camp; roster moves; local audio; injuries","Independent local beat with recurring firsthand work.",,,,2026-08-21
local-writer-lauren-koval,person,Lauren Koval,Arizona Sports,Cardinals Corner co-host,team_analysis,valuable,active,free,"weekly Cardinals audio; roster trends; camp discussion","Shares a feed and sourcing environment with Tyler Drake; do not count as independent corroboration.",,,,2026-08-21
local-writer-johnny-venerable,person,Johnny Venerable,PHNX Sports,Cardinals insider and host,reporting,essential,active,free,"breaking news; camp; roster; daily audio","Separate original reporting from reaction and rumor discussion.",,,,2026-08-21
local-writer-bo-brack,person,Bo Brack,PHNX Sports,Cardinals beat reporter and host,reporting,essential,active,free,"camp; press conferences; roster; daily audio","Attribute individual observations within the shared PHNX feed.",,,,2026-08-21
local-writer-john-gambadoro,person,John Gambadoro,Arizona Sports,Arizona sports insider,reporting,valuable,active,free,"signings; organization; breaking news","Multi-team remit; use Cardinals-specific original reports.",,,,2026-08-21
local-writer-darren-urban,person,Darren Urban,Arizona Cardinals,Director of editorial content and senior writer,official,essential,active,free,"transactions; interviews; camp; institutional context","Team-employed official voice; not independent.",,,,2026-08-21
local-writer-zach-gershman,person,Zach Gershman,Arizona Cardinals,Staff writer,official,valuable,active,free,"roster; camp; transactions; features","Team-employed official voice.",,,,2026-08-21
local-writer-paul-calvisi,person,Paul Calvisi,Arizona Cardinals,Team reporter and broadcaster,official,valuable,active,free,"interviews; radio; practice context; position analysis","Team broadcaster; analysis is not independent.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistics database,data,valuable,active,free,"stats; rosters; snaps; game logs","Snap counts are unofficial reference data.",,,,2026-08-21
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Contract database,contract_data,valuable,active,free,"contracts; cap; roster mechanics","Third-party interpretation.",,,,2026-08-21
