priority_id,subject,current_answer,status,confidence,latest_evidence_ids,next_test,last_updated
1,Malik Willis and the new offense,"Willis is the clear projected starter. Designed rushing is already visible, while passing results have varied with protection and receiver execution.",partially_resolved,medium,"mia-2026-pre-ev-002;mia-2026-pre-ev-003","Record preseason dropbacks, designed runs, play action, pressure response, and target distribution.",2026-08-05
2,De'Von Achane workload,"Achane is the clear RB1 and has independently corroborated involvement as a runner and receiver. The backfield split, route and target shares, and goal-line allocation are not established.",open,medium,"mia-2026-pre-ev-004;mia-2026-pre-ev-030","Chart preseason snaps, routes, designed targets, carries inside the 10, two-minute work, and Willis goal-line keepers.",2026-08-05
3,Receiver pecking order,"Malik Washington has the strongest current route-floor evidence through consistency, documented Willis chemistry, improved separation, and repeated downfield usage examples. Tolbert has the clearest X projection and added an August 6 back-shoulder catch; Atwell projects as the vertical Z; Douglas is the first healthy rookie challenger. Bell remains on active/NFI. Exact first-unit routes, two-receiver personnel, situational work, and target shares are unresolved.",open,medium,"mia-2026-pre-ev-005;mia-2026-pre-ev-006;mia-2026-pre-ev-007;mia-2026-pre-ev-008;mia-2026-pre-ev-031;mia-2026-pre-ev-036;mia-2026-pre-ev-037","Chart the first preseason game's routes, X/Z/slot alignments, two-receiver personnel, third-down and two-minute work, target type, blocking, and returns.",2026-08-06
4,Kadyn Proctor position and starting line,"Proctor has settled at left guard. The projected line is Patrick Paul, Proctor, Aaron Brewer, Jonah Savaiinaea, and Austin Jackson; Charlie Heck is the first documented replacement at right tackle while Jackson is day-to-day.",partially_resolved,high,"mia-2026-pre-ev-009;mia-2026-pre-ev-010;mia-2026-pre-ev-011;mia-2026-pre-ev-032;mia-2026-pre-ev-033","Confirm Jackson's return and chart Heck and the starting five against preseason pressures and line games.",2026-08-05
5,Chris Johnson immediate role,"Johnson is projected to start and is learning outside corner and nickel. His primary alignment, matchup assignments, and every-down share remain open.",partially_resolved,medium,"mia-2026-pre-ev-012;mia-2026-pre-ev-013","Chart preseason outside/nickel snaps, coverage technique, and whether he stays on the field in base and subpackages.",2026-08-05
6,Edge rotation behind Chop Robinson,"Robinson is the clear lead edge. Uche has the best early evidence for the complementary pass-rush role, with Ferrell, Goode, Moore, Ojabo, and others still competing by situation. The stated defense will vary front and edge width by personnel and opponent.",partially_resolved,medium,"mia-2026-pre-ev-014;mia-2026-pre-ev-015;mia-2026-pre-ev-016;mia-2026-pre-ev-027","Chart preseason early-down, third-down, and two-minute edge combinations plus pressures by alignment.",2026-08-05
7,Safety and nickel competitions,"Dante Trader projects at one safety spot. Lonnie Johnson remains a projected starter but is day-to-day; Zayne Anderson has two reported interceptions and is pressing the competition. Chris Johnson has the strongest confirmed nickel path; Duggan views Jason Marshall primarily outside, and Hafley may split early-down, big-nickel, and passing-down work. Mixed man and zone are confirmed intentions, not yet measured rates.",open,low,"mia-2026-pre-ev-017;mia-2026-pre-ev-018;mia-2026-pre-ev-019;mia-2026-pre-ev-024;mia-2026-pre-ev-028","Chart preseason base/subpackage alignments, deep/box responsibility, slot snaps, outside pair when Chris Johnson moves inside, coverage family, and special-teams participation.",2026-08-05
8,Bobby Slowik personnel and play calling,"Slowik has confirmed a shared Shanahan-tree foundation, run-game emphasis, precision passing, and continued extensive motion. Camp has shown designed Willis keepers and multi-use tight ends, and the Franklin claim expanded the tight-end room to six. Personnel groupings, route releases, motion rate, pass rate, play-action frequency, and execution remain unresolved.",open,medium,"mia-2026-pre-ev-002;mia-2026-pre-ev-020;mia-2026-pre-ev-025;mia-2026-pre-ev-026;mia-2026-pre-ev-034;mia-2026-pre-ev-035","Chart the preseason opener by personnel, tight-end alignment and route release, motion, play action, launch point, early-down call, quarterback design, and operational error.",2026-08-06
9,Kicker competition,"Patterson and Gonzalez both converted the available reported situational kicks; no leader is established. Tabor's dedicated practice periods make unit placement and repetitions meaningful evidence.",open,low,"mia-2026-pre-ev-021;mia-2026-pre-ev-029","Log every reported attempt by distance and hash plus kickoffs, operation consistency, and game-pressure opportunities.",2026-08-05
10,Thirteen-rookie roster influence,"Proctor and Chris Johnson project as immediate starters; Rodriguez, Douglas, Kacmarek, Moore, and others have relevant camp evidence. Bell remains on NFI and Konga is out for the season.",partially_resolved,medium,"mia-2026-pre-ev-009;mia-2026-pre-ev-012;mia-2026-pre-ev-016;mia-2026-pre-ev-022;mia-2026-pre-ev-023","Record preseason snaps by phase, first-unit appearances, special-teams roles, health, and the first cutdown decisions.",2026-08-05
