player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Rashan Gary,OLB/DE,trade,2026-03-11,on roster,"Starting edge/OLB candidate in Christian Parker's multiple fronts.",https://www.dallascowboys.com/news/rashan-gary-i-m-happy-to-be-a-part-of-defensive-rebuild-in-dallas,2026-08-17
Dee Winters,LB,trade,2026-04-24,on roster,"Linebacker competition with DeMarvion Overshown, Shemar James, and Jaishawn Barham.",https://www.dallascowboys.com/news/cowboys-acquire-dee-winters-in-trade-with-49ers,2026-08-17
Cobie Durant,CB,free_agent_signing,2026-03-13,on roster,"Cornerback starter/competition piece for rebuilt secondary.",https://www.dallascowboys.com/news/how-brian-schottenheimer-christian-parker-s-staff-drew-cobie-durant-to-cowboys,2026-08-17
P.J. Locke,S,free_agent_signing,2026-03-13,on roster,"Veteran safety competition and depth next to Caleb Downs, Malik Hooker, and Jalen Thompson.",https://www.dallascowboys.com/news/free-agency-tracker-updated-list-of-latest-cowboys-news,2026-08-17
Jalen Thompson,S,free_agent_signing,2026-03-12,on roster,"Veteran safety addition in Parker's secondary rebuild.",https://www.dallascowboys.com/news/free-agency-tracker-updated-list-of-latest-cowboys-news,2026-08-17
Sam Howell,QB,free_agent_signing,2026-03-12,on roster,"Backup quarterback competition behind Dak Prescott.",https://www.dallascowboys.com/news/free-agency-tracker-updated-list-of-latest-cowboys-news,2026-08-17
Otito Ogbonnia,DT,free_agent_signing,2026-03-10,on roster,"Defensive tackle depth behind Quinnen Williams and Kenny Clark.",https://www.dallascowboys.com/news/role-call-otito-ogbonnia-tasked-with-replacing-impact-dt-in-2026,2026-08-17
Jonathan Bullard,DL,free_agent_signing,2026-03-28,on roster,"Veteran defensive-line depth in Parker's front.",https://www.dallascowboys.com/news/free-agency-tracker-updated-list-of-latest-cowboys-news,2026-08-17
Matt Hennessy,OL,free_agent_signing,2026-03-13,on roster,"Interior offensive-line depth after Brock Hoffman's exit.",https://www.dallascowboys.com/news/free-agency-tracker-updated-list-of-latest-cowboys-news,2026-08-17
Marquez Valdes-Scantling,WR,free_agent_signing,2026-04-27,on roster,"Veteran field-speed competition behind Lamb and Pickens.",https://www.dallascowboys.com/news/free-agency-tracker-updated-list-of-latest-cowboys-news,2026-08-17
Tyler Johnson,WR,free_agent_signing,2026-04-27,on roster,"Receiver depth competition.",https://www.dallascowboys.com/news/free-agency-tracker-updated-list-of-latest-cowboys-news,2026-08-17
