player,position,college,initial_acquisition_date,current_status_as_of_2026_08_05,status_date,notes,source_url,last_verified
Haynes King,QB,Georgia Tech,2026-05-07,active_camp_roster,,Developmental quarterback,https://www.panthers.com/team/transactions/,2026-08-17
Jaylon Guilbeau,CB,Texas,2026-05-07,waived_2026-07-22,2026-07-22,Placed on active/NFI before waiver,https://www.panthers.com/team/transactions/,2026-08-17
Aaron Hall,DT,Illinois,2026-05-07,active_camp_roster,,Interior defensive-line competition,https://www.panthers.com/team/transactions/,2026-08-17
Isaia Glass,OT,Arizona State,2026-05-07,active_camp_roster,,Offensive-tackle depth,https://www.panthers.com/team/transactions/,2026-08-17
Cam Miller,CB,Rutgers,2026-05-07,active_camp_roster,,Cornerback competition,https://www.panthers.com/team/transactions/,2026-08-17
Parker Peterson,DT,Tulane,2026-05-07,active_after_re-sign_2026-08-05,2026-08-05,Waived July 30 and re-signed August 5,https://www.panthers.com/team/transactions/,2026-08-17
Kobe Prentice,WR,Alabama,2026-05-07,waived_2026-07-24,2026-07-24,Waived during camp roster churn,https://www.panthers.com/team/transactions/,2026-08-17
Albert Reese,OT,Mississippi State,2026-05-07,active_camp_roster,,Offensive-tackle depth,https://www.panthers.com/team/transactions/,2026-08-17
Devonta Smith,CB,Alabama,2026-05-07,active_camp_roster,,Cornerback depth,https://www.panthers.com/team/transactions/,2026-08-17
Isaiah Smith,OLB,SMU,2026-05-07,active_camp_roster,,Edge and special-teams competition,https://www.panthers.com/team/transactions/,2026-08-17
