coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-brian-schottenheimer,Brian Schottenheimer,all,Head Coach,true,Head Coach,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-klayton-adams,Klayton Adams,offense,Offensive Coordinator,true,Offensive Coordinator,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-junior-adams,Junior Adams,offense,Wide Receivers,true,Wide Receivers,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-ken-dorsey,Ken Dorsey,offense,Pass Game Specialist,true,Pass Game Specialist,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-ryan-feder,Ryan Feder,offense,Game Management Coordinator,true,Game Management Coordinator,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-derrick-foster,Derrick Foster,offense,Running Backs,true,Running Backs,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-conor-riley,Conor Riley,offense,Offensive Line,true,Offensive Line,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-steve-shimko,Steve Shimko,offense,Quarterbacks,true,Quarterbacks,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-lunda-wells,Lunda Wells,offense,Tight Ends,true,Tight Ends,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-jamel-mutunga,Jamel Mutunga,offense,Assistant Running Backs,true,Assistant Running Backs,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-stephen-bravo-brown,Stephen Bravo-Brown,offense,Assistant Wide Receivers,false,,https://www.dallascowboys.com/news/2026-cowboys-coaching-tracker-arrivals-departures-and-latest-news,2026-08-17
local-coach-kyle-fuller,Kyle Fuller,offense,Assistant Offensive Line,false,,https://www.dallascowboys.com/news/2026-cowboys-coaching-tracker-arrivals-departures-and-latest-news,2026-08-17
local-coach-will-grier,Will Grier,offense,Offensive Assistant,true,Offensive Assistant,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-christian-parker,Christian Parker,defense,Defensive Coordinator,false,,https://www.dallascowboys.com/news/cowboys-finalize-defensive-coaching-staff-under-christian-parker,2026-08-17
local-coach-marcus-dixon,Marcus Dixon,defense,Defensive Line,false,,https://www.dallascowboys.com/news/cowboys-finalize-defensive-coaching-staff-under-christian-parker,2026-08-17
local-coach-ryan-smith,Ryan Smith,defense,Secondary,false,,https://www.dallascowboys.com/news/cowboys-finalize-defensive-coaching-staff-under-christian-parker,2026-08-17
local-coach-derrick-ansley,Derrick Ansley,defense,Defensive Pass Game Coordinator/Defensive Backs,false,,https://www.dallascowboys.com/news/cowboys-finalize-defensive-coaching-staff-under-christian-parker,2026-08-17
local-coach-chidera-uzo-diribe,Chidera Uzo-Diribe,defense,Outside Linebackers,false,,https://www.dallascowboys.com/news/cowboys-finalize-defensive-coaching-staff-under-christian-parker,2026-08-17
local-coach-scott-symons,Scott Symons,defense,Inside Linebackers,false,,https://www.dallascowboys.com/news/cowboys-finalize-defensive-coaching-staff-under-christian-parker,2026-08-17
local-coach-robert-muschamp,Robert Muschamp,defense,Assistant Secondary,false,,https://www.dallascowboys.com/news/cowboys-finalize-defensive-coaching-staff-under-christian-parker,2026-08-17
local-coach-demeitre-brim,Demeitre Brim,defense,Assistant Defensive Line,false,,https://www.dallascowboys.com/news/cowboys-finalize-defensive-coaching-staff-under-christian-parker,2026-08-17
local-coach-jj-clark,J.J. Clark,defense,Assistant Linebackers,false,,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-nick-sorensen,Nick Sorensen,special_teams,Special Teams Coordinator,true,Special Teams Coordinator,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
local-coach-carlos-polk,Carlos Polk,special_teams,Assistant Special Teams,true,Assistant Special Teams,https://www.dallascowboys.com/team/coaches-roster/,2026-08-17
