source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-san-francisco-49ers,organization,San Francisco 49ers communications,San Francisco 49ers,Official communications,official,essential,active,free,"injuries; roster; transactions; press conferences","Authoritative club record; editorial is team-controlled.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,League records,official,valuable,active,free,"gamebooks; participation; transactions","Retrieve specific record.",,,,2026-08-21
local-writer-nick-wagoner,person,Nick Wagoner,ESPN,49ers reporter,reporting,essential,active,free,"daily beat; injuries; roster; organization","Current ESPN beat.",,,,2026-08-21
local-writer-matt-barrows,person,Matt Barrows,The Athletic,49ers beat reporter,reporting,essential,active,paywall,"sourced beat; roster; camp; organization","Primary Athletic beat; paywall.",,,,2026-08-21
local-writer-eric-branch,person,Eric Branch,San Francisco Chronicle,49ers beat reporter,reporting,essential,active,paywall,"daily camp; injuries; roster; enterprise","Longstanding Chronicle beat.",,,,2026-08-21
local-writer-noah-furtado,person,Noah Furtado,San Francisco Chronicle,Football trending reporter,reporting,essential,active,paywall,"daily camp; injuries; personnel roles","Shares active 2026 camp coverage; attribute byline.",,,,2026-08-21
local-writer-cam-inman,person,Cam Inman,Bay Area News Group,49ers beat reporter,reporting,essential,active,paywall,"camp; breaking news; roster; game coverage","Multi-paper Bay Area beat.",,,,2026-08-21
local-writer-chris-biderman,person,Chris Biderman,The Sacramento Bee,Senior sports reporter,reporting,valuable,active,paywall,"camp observations; roster; injuries; Sacramento audience; podcast","Multi-sport remit but recurring original 49ers reporting remains active.",,,,2026-08-21
local-writer-matt-maiocco,person,Matt Maiocco,NBC Sports Bay Area,49ers insider,reporting,essential,active,free,"breaking news; camp; interviews; organization","Strong access; distinguish reporting from team-facing interpretation.",,,,2026-08-21
local-writer-jennifer-lee-chan,person,Jennifer Lee Chan,NBC Sports Bay Area,49ers reporter,reporting,essential,active,free,"camp; roster; interviews; special teams","Shared outlet with Maiocco is not independent corroboration.",,,,2026-08-21
local-writer-david-lombardi,person,David Lombardi,San Francisco Standard,49ers reporter and analyst,reporting,essential,active,free,"strategy; analytics; cap; camp; roster","Moved from The Athletic to the Standard; label analytical inference.",The Athletic 49ers reporter,2026,local-writer-matt-barrows,2026-08-21
local-writer-tim-kawakami,person,Tim Kawakami,The San Francisco Standard,Sports columnist,commentary,valuable,active,free,"organization; ownership; executive context; podcast","Separate reported facts from opinion.",,,,2026-08-21
local-writer-grant-cohn,person,Grant Cohn,49ers On SI,Publisher and camp reporter,team_analysis,valuable,active,free,"firsthand practice; position battles; daily video","Opinion-forward; verify evaluations and consequential claims.",,,,2026-08-21
local-writer-john-chapman,person,John Chapman,49ers Rush,Film analyst and podcast host,film_analysis,valuable,active,free,"film; scheme; roster; player development","Coach-informed analysis; not a credentialed reporting substitute.",,,,2026-08-21
local-writer-brooke-evans,person,Brooke Evans,San Francisco 49ers,Digital editor,official,valuable,active,free,"camp summaries; press conferences; roster","Team-employed official voice.",,,,2026-08-21
local-writer-aubrie-tolliver,person,Aubrie Tolliver,San Francisco 49ers,Team content writer,official,valuable,active,free,"camp observations; injuries; position usage; roster","Team-employed; repeatedly co-authors 2026 daily camp observations with Brooke Evans.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistics database,data,valuable,active,free,"stats; snaps; rosters; logs","Unofficial snap reference.",,,,2026-08-21
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Contract database,contract_data,valuable,active,free,"contracts; cap; roster mechanics","Third-party interpretation.",,,,2026-08-21
