player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Juice Scruggs,OL,trade,2026-03-11,active,Interior offensive-line competition after Graham Glasgow release,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Isiah Pacheco,RB,unrestricted_free_agent,2026-03-12,active,Early-down and physical complement competition after David Montgomery trade,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Cade Mays,OL,unrestricted_free_agent,2026-03-12,active,Reported center addition and likely pivot point in rebuilt offensive line,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Larry Borom,OL,unrestricted_free_agent,2026-03-12,active,Right-tackle competition with first-round pick Blake Miller,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Christian Izien,DB,free_agent_signing,2026-03-13,active_nfi,Nickel/safety depth signed before late-July illness designation,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Tyler Conklin,TE,unrestricted_free_agent,2026-03-13,active_pup,Veteran tight end addition behind/with Sam LaPorta; opened camp on PUP,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Roger McCreary,CB,unrestricted_free_agent,2026-03-16,active,Slot/outside corner competition in Sheppard secondary,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Greg Dortch,WR,unrestricted_free_agent,2026-03-18,active,WR3/return competition and space player in Petzing offense,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Damone Clark,LB,unrestricted_free_agent,2026-03-18,active,Linebacker depth and special-teams competition,https://www.detroitlions.com/team/transactions/2026,2026-08-17
D.J. Wonnum,EDGE,unrestricted_free_agent,2026-03-18,active,Edge rotation addition opposite or behind Aidan Hutchinson,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Payton Turner,EDGE,unrestricted_free_agent,2026-03-20,active,Edge rotation and sub-package rush competition,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Ben Bartch,OL,unrestricted_free_agent,2026-03-25,active,Left-guard competition and interior depth,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Chuck Clark,S,unrestricted_free_agent,2026-03-31,active,Veteran safety insurance while Kerby Joseph and Brian Branch manage injuries,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Joe Bachie,LB,free_agent_signing,2026-04-29,active,Linebacker and special-teams depth,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Cedrick Wilson,WR,free_agent_signing,2026-05-20,active,Receiver depth and roster competition,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Devin White,LB,free_agent_signing,2026-08-01,active,August linebacker addition and depth competition,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Joshua Dobbs,QB,free_agent_signing,2026-08-10,active,Veteran backup added after Teddy Bridgewater retirement transaction,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Trayveon Williams,RB,free_agent_signing,2026-08-16,active,Late-camp running back depth after Kye Robichaux injury waiver,https://www.detroitlions.com/team/transactions/2026,2026-08-17
