observation_id,team_id,player_ids,source_id,source_url,origin_url,published_at,retrieved_at,evidence_lane,evidence_kind,claim_summary,relationship,related_observation_ids,dedup_key,confidence,time_sensitivity,fantasy_impact,reader_id,notes
obs-2026-mia-20260829t143349z-001,MIA,,local-writer-barry-jackson,https://www.aol.com/articles/dolphins-trade-atwell-running-back-192133000.html,https://www.miamiherald.com/sports/nfl/miami-dolphins/article317034369.html,2026-08-27T19:21:00Z,2026-08-29T14:38:35Z,transaction,reported_fact,Miami traded wide receiver Tutu Atwell to the Rams for second-year running back Jarquez Hunter.,new,,mia-lar-2026-atwell-hunter-trade,high,high,medium,reader-afc,"Miami Herald report syndicated by AOL; the report said the deal was confirmed by a source. Player IDs were left blank because canonical player records were not resolved."
obs-2026-ne-20260829t143349z-001,NE,,local-source-new-england-patriots,https://www.patriots.com/news/game-notes-patriots-complete-2026-preseason,https://www.patriots.com/news/game-notes-patriots-complete-2026-preseason,2026-08-28T00:09:00-04:00,2026-08-29T14:38:35Z,usage,official_fact,Wide receiver Kyle Williams caught a touchdown in all three Patriots preseason games.,new,,ne-2026-preseason-kyle-williams-three-touchdowns,high,medium,low,reader-afc,"Official game notes; player ID left blank because no canonical player record was resolved."
obs-2026-nyj-20260829t143349z-001,NYJ,,local-source-new-york-jets,https://www.newyorkjets.com/news/2026-jets-training-camp-awards-geno-smith-david-bailey,https://www.newyorkjets.com/news/2026-jets-training-camp-awards-geno-smith-david-bailey,2026-08-27T12:00:00-04:00,2026-08-29T14:38:35Z,performance,measured_data,Geno Smith completed 15 of 18 passes in team drills during the Jets' final camp practice.,new,,nyj-2026-final-camp-geno-smith-15-of-18,high,medium,medium,reader-afc,"Team-employed reporter's camp charting; player ID left blank because no canonical player record was resolved."
obs-2026-cle-20260829t143349z-001,CLE,,local-source-cleveland-browns,https://www.clevelandbrowns.com/news/browns-claim-cb-mekhi-blackmon,https://www.clevelandbrowns.com/news/browns-claim-cb-mekhi-blackmon,2026-08-27T16:54:00-04:00,2026-08-29T14:38:35Z,transaction,official_fact,Cleveland waived wide receiver Cedric Tillman.,new,,cle-2026-waive-cedric-tillman,high,high,medium,reader-afc,"Official roster move; player ID left blank because no canonical player record was resolved."
obs-2026-pit-20260829t143349z-001,PIT,,local-source-pittsburgh-steelers,https://www.steelers.com/news/steelers-make-first-wave-of-moves-to-get-to-53-man-roster,https://www.steelers.com/news/steelers-make-first-wave-of-moves-to-get-to-53-man-roster,2026-08-28T17:30:00-04:00,2026-08-29T14:38:35Z,transaction,official_fact,Pittsburgh included running back Alex Tecza in its first wave of roster reductions.,new,,pit-2026-first-cuts-alex-tecza,high,high,low,reader-afc,"Official roster move; player ID left blank because no canonical player record was resolved."
obs-2026-jax-20260829t143349z-001,JAX,,local-source-jacksonville-jaguars,https://www.jaguars.com/news/game-report-2026-preseason-week-3-jaguars-19-buccaneers-0,https://www.jaguars.com/news/game-report-2026-preseason-week-3-jaguars-19-buccaneers-0,2026-08-28T22:28:00-04:00,2026-08-29T14:38:35Z,performance,official_fact,Cam Little converted a 61-yard field goal in Jacksonville's preseason finale.,new,,jax-tb-pre3-2026-cam-little-61-yard-field-goal,high,medium,low,reader-afc,"Official team game report; player ID left blank because no canonical player record was resolved."
obs-2026-ten-20260829t143349z-001,TEN,,local-source-tennessee-titans,https://www.tennesseetitans.com/news/training-camp-numbers-titans-statistical-leaders-qbs-receptions-ints-in-the-15-practices-open-to-the-media-in-2026,https://www.tennesseetitans.com/news/training-camp-numbers-titans-statistical-leaders-qbs-receptions-ints-in-the-15-practices-open-to-the-media-in-2026,2026-08-28T10:32:00-05:00,2026-08-29T14:38:35Z,usage,measured_data,Wan'Dale Robinson led the Titans with 53 receptions across 15 practices open to the media.,new,,ten-2026-open-camp-receptions-wandale-robinson-53,high,medium,medium,reader-afc,"Unofficial charting by team-employed reporter Jim Wyatt covering 7-on-7 and team periods; player ID left blank because no canonical record was resolved."
obs-2026-ten-20260829t143349z-002,TEN,,local-source-tennessee-titans,https://www.tennesseetitans.com/news/training-camp-numbers-titans-statistical-leaders-qbs-receptions-ints-in-the-15-practices-open-to-the-media-in-2026,https://www.tennesseetitans.com/news/training-camp-numbers-titans-statistical-leaders-qbs-receptions-ints-in-the-15-practices-open-to-the-media-in-2026,2026-08-28T10:32:00-05:00,2026-08-29T14:38:35Z,usage,measured_data,Tyjae Spears recorded 40 receptions across 15 Titans practices open to the media.,new,,ten-2026-open-camp-receptions-tyjae-spears-40,high,medium,medium,reader-afc,"Unofficial charting by team-employed reporter Jim Wyatt covering 7-on-7 and team periods; player ID left blank because no canonical record was resolved."
obs-2026-ten-20260829t143349z-003,TEN,,local-source-tennessee-titans,https://www.tennesseetitans.com/news/training-camp-numbers-titans-statistical-leaders-qbs-receptions-ints-in-the-15-practices-open-to-the-media-in-2026,https://www.tennesseetitans.com/news/training-camp-numbers-titans-statistical-leaders-qbs-receptions-ints-in-the-15-practices-open-to-the-media-in-2026,2026-08-28T10:32:00-05:00,2026-08-29T14:38:35Z,usage,measured_data,Calvin Ridley recorded 14 receptions across 15 Titans practices open to the media.,new,,ten-2026-open-camp-receptions-calvin-ridley-14,high,medium,medium,reader-afc,"Unofficial charting by team-employed reporter Jim Wyatt covering 7-on-7 and team periods; the total provides context alongside the other receivers but does not establish routes or target share. Player ID left blank because no canonical record was resolved."
obs-2026-lac-20260829t143349z-001,LAC,,local-source-los-angeles-chargers,https://www.chargers.com/news/justin-herbert-53-man-roster-deadline,https://www.chargers.com/news/justin-herbert-53-man-roster-deadline,2026-08-28T10:30:00-04:00,2026-08-29T14:38:35Z,performance,official_fact,Justin Herbert connected with Quentin Johnston for a 65-yard touchdown in the Chargers' preseason finale.,new,,lac-lar-pre3-2026-herbert-johnston-65-yard-touchdown,high,medium,medium,reader-afc,"Official team postgame report; the displayed publication timestamp converts to 14:30Z and falls four minutes inside the frozen endpoint. Player IDs were left blank because canonical records were not resolved."
