player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Wan'Dale Robinson,WR,unrestricted free agent signing,2026-03-12,on roster,slot/inside target and Cam Ward chemistry watch,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Mitchell Trubisky,QB,unrestricted free agent signing,2026-03-12,on roster,experienced QB2 in Brian Daboll offense,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Daniel Bellinger,TE,unrestricted free agent signing,2026-03-12,on roster,tight end rotation with Gunnar Helm and Kylen Granson,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Kylen Granson,TE,unrestricted free agent signing,2026-03-16,on roster,move tight end/pass-game competition,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Cordell Volson,G,unrestricted free agent signing,2026-03-12,on roster,interior offensive line starter/competition,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Austin Schlottmann,C,unrestricted free agent signing,2026-03-12,on roster,center depth/competition,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Andre James,C,free agent signing,2026-06-16,on roster,late center competition after Trey Hill release,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
K.J. Osborn,WR,free agent signing,2026-04-01,on roster,WR depth and 53-man roster competition,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Michael Carter,RB,free agent signing,2026-04-01,on roster,depth back competing for fourth RB/special teams role,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Jermaine Johnson II,EDGE,trade acquisition,2026-03-12,on roster,projected edge rusher in Saleh/Bradley front,https://www.tennesseetitans.com/news/it-s-official-titans-acquire-edge-rusher-jermaine-johnson-in-exchange-for-nt-t-vondre-sweat-in-trade-with-jets,2026-08-17
John Franklin-Myers,DL,unrestricted free agent signing,2026-03-12,on roster,defensive front starter/inside-out pressure piece,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Solomon Thomas,DT,trade acquisition,2026-03-12,on roster,veteran interior rotation and Saleh/Bradley familiarity,https://www.tennesseetitans.com/news/2026-free-agency/,2026-08-17
Jordan Elliott,DT,unrestricted free agent signing,2026-03-12,on roster,interior rotation,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Khalen Saunders,DT,free agent signing,2026-08-02,on roster,camp defensive tackle depth,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Alontae Taylor,CB,unrestricted free agent signing,2026-03-12,on roster,outside/nickel cornerback starter candidate,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Cor'Dale Flott,CB,unrestricted free agent signing,2026-03-12,on roster,cornerback starter/rotation candidate,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Joshua Williams,CB,unrestricted free agent signing,2026-03-12,on roster,cornerback depth/competition,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Tony Adams,S,unrestricted free agent signing,2026-03-16,on roster,safety depth and subpackage competition,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Nazeeh Johnson,DB,free agent signing,2026-07-27,on roster,late camp defensive back competition,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
Tommy Townsend,P,unrestricted free agent signing,2026-03-12,on roster,punter/special teams field-position piece,https://www.tennesseetitans.com/news/roster-moves,2026-08-17
