candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
lar-team,Los Angeles Rams communications,Los Angeles Rams,organization,initial,"official record; team-controlled",https://www.therams.com/news/,https://www.therams.com/news/,include,essential,Authoritative club records.,local-source-los-angeles-rams,2026-08-21
lar-nfl,NFL gamebooks,NFL,organization,initial,official record,https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,valuable,Official participation.,local-source-nfl-gamebooks,2026-08-21
lar-barshop,Sarah Barshop,ESPN,person,initial,"daily independent beat; national",https://www.espn.com/nfl/team/_/name/lar/los-angeles-rams,https://www.espn.com/nfl/story/_/id/48377205/los-angeles-rams-takeaways-2026-nfl-league-meetings,include,essential,Current ESPN beat.,local-writer-sarah-barshop,2026-08-21
lar-klein,Gary Klein,Los Angeles Times,person,initial,"daily independent beat; major local",https://www.latimes.com/people/gary-klein,https://www.latimes.com/sports/rams,include,essential,Current primary LA beat.,local-writer-gary-klein,2026-08-21
lar-grosbard,Adam Grosbard,SCNG,person,initial,"daily independent beat; major local",https://muckrack.com/adam-grosbard,https://muckrack.com/adam-grosbard,include,essential,Current SCNG beat.,local-writer-adam-grosbard,2026-08-21
lar-rodrigue,Jourdan Rodrigue,The Athletic,person,initial,"national; scheme; organization",https://www.therams.com/news/rams-announce-2026-tv-and-broadcast-teams,https://www.nytimes.com/athletic/author/jourdan-rodrigue/,include,valuable,Broader role but differentiated Rams expertise.,local-writer-jourdan-rodrigue,2026-08-21
lar-jackson,Stu Jackson,Los Angeles Rams,person,initial,"official record; team-controlled",https://www.therams.com/news/,https://www.therams.com/news/,include,essential,Current official staff writer.,local-writer-stu-jackson,2026-08-21
lar-edwards,Zach Edwards,Los Angeles Rams,person,omission_pass,"team-controlled; camp observations; defensive personnel",https://www.therams.com/news/rams-head-coach-sean-mcvay-running-back-blake-corum-defensive-end-braden-fiske-press-conference-training-camp-2026,https://www.therams.com/news/10-observations-from-the-10th-and-final-day-of-2026-rams-training-camp-blake-corum-continues-to-look-agile-and-explosive-emmanuel-forbes-jr-has-strong-practice,include,valuable,Challenge sweep found recurring 2026 staff writer who splits firsthand practice-observation assignments.,local-writer-zach-edwards,2026-08-21
lar-long,J.B. Long,Los Angeles Rams,person,omission_pass,"local radio; team-controlled",https://www.therams.com/team/front-office-roster/j-b-long,https://www.therams.com/podcasts/,include,valuable,Direct interviews and broadcast context.,local-writer-jb-long,2026-08-21
lar-farr,D'Marco Farr,Los Angeles Rams,person,omission_pass,"film and scheme; local radio",https://www.therams.com/podcasts/,https://www.therams.com/video/between-the-horns,include,valuable,Former-player scheme interpretation.,local-writer-dmarco-farr,2026-08-21
lar-haynes,Darren Haynes,CBS Los Angeles,person,omission_pass,"local TV; sideline; interviews",https://www.therams.com/news/rams-announce-2026-tv-and-broadcast-teams,https://www.therams.com/news/rams-announce-2026-tv-and-broadcast-teams,include,valuable,Current CBS LA anchor with years of Rams coverage and a 2026 preseason sideline role.,local-writer-darren-haynes,2026-08-21
lar-ellenbogen,Jake Ellenbogen,Independent,person,omission_pass,"film and scheme; roster",https://www.youtube.com/@JKBOGEN,https://www.youtube.com/@JKBOGEN,include,valuable,High-cadence Rams-specific analysis.,local-writer-jake-ellenbogen,2026-08-21
lar-pfr,Pro Football Reference,Sports Reference,organization,initial,"data; usage",https://www.pro-football-reference.com/teams/ram/2026.htm,https://www.pro-football-reference.com/teams/ram/2026.htm,include,valuable,Structured reference.,local-source-pro-football-reference,2026-08-21
lar-otc,Over the Cap,Over the Cap,organization,initial,transactions,https://overthecap.com/team/los-angeles-rams,https://overthecap.com/team/los-angeles-rams,include,valuable,Cap mechanics.,local-source-over-the-cap,2026-08-21
lar-swanson,Mirjam Swanson,SCNG,person,omission_pass,"commentary; major local",https://www.ocregister.com/author/mirjam-swanson/,https://www.ocregister.com/author/mirjam-swanson/,exclude,supplemental,Column analysis overlaps dedicated beats for fantasy monitoring.,,2026-08-21
lar-lockedon,Locked On Rams,Locked On,organization,omission_pass,"daily podcast; synthesis",https://lockedonpodcasts.com/podcasts/locked-on-rams/,https://lockedonpodcasts.com/podcasts/locked-on-rams/,exclude,supplemental,High cadence but primarily synthesis of stronger original sources.,,2026-08-21
lar-ramswire,Rams Wire,USA Today,organization,initial,aggregation,https://theramswire.usatoday.com/,https://theramswire.usatoday.com/,exclude,supplemental,Aggregation-heavy and redundant.,,2026-08-21
