player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Zach Wilson,QB,unrestricted free agent signing,2026-03-26,active roster,Backup quarterback behind Tyler Shough,https://www.neworleanssaints.com/news/zach-wilson-quarterback-nfl-free-agency-2026-saints-roster-moves,2026-08-17
Travis Etienne,RB,unrestricted free agent signing,2026-03-11,active roster,Three-down backfield addition and possible Kamara successor,https://www.neworleanssaints.com/news/travis-etienne-joins-new-orleans-saints-2026,2026-08-17
Ty Chandler,RB,free agent signing,2026-03-17,active roster,Running back depth and roster competition,https://www.neworleanssaints.com/news/press-releases,2026-08-17
Noah Fant,TE,free agent signing,2026-03-11,active roster,Receiving tight-end addition after TE departures,https://www.nfl.com/news/2026-nfl-free-agency-tracker-latest-signings-trades-contract-info-for-all-32-teams,2026-08-17
David Edwards,OG,free agent signing,2026-03-11,active roster,Starting-caliber guard addition for Tyler Shough's interior protection,https://www.nfl.com/news/2026-nfl-free-agency-tracker-latest-signings-trades-contract-info-for-all-32-teams,2026-08-17
Dillon Radunz,OL,re-signing,2026-03-12,active roster,Offensive-line depth and swing competition,https://www.neworleanssaints.com/news/press-releases,2026-08-17
Anfernee Jennings,EDGE,free agent signing,2026-04-28,active roster,Edge depth in rotation with Chase Young/Cameron Jordan/Carl Granderson,https://www.neworleanssaints.com/news/press-releases,2026-08-17
Cameron Jordan,EDGE,re-signing,2026-06-16,active roster,Final-season veteran edge and defensive leader,https://www.neworleanssaints.com/news/cam-jordan-defensive-end-saints-roster-moves-june-16-2026,2026-08-17
Tyree Wilson,EDGE,trade acquisition,2026-04-25,active roster,Developmental/rotational edge acquired from Las Vegas,https://www.neworleanssaints.com/news/saints-2026-nfl-draft-rounds-4-7-recap,2026-08-17
John Ridgeway,DL,re-signing,2026-03-11,active roster,Interior run-defense depth,https://www.neworleanssaints.com/news/press-releases,2026-08-17
Kaden Elliss,LB,free agent signing,2026-03-11,active roster,Projected starting linebacker replacing Demario Davis' role volume,https://www.nfl.com/news/2026-nfl-free-agency-tracker-latest-signings-trades-contract-info-for-all-32-teams,2026-08-17
Martin Emerson,CB,free agent signing,2026-04-28,active roster,Cornerback depth/competition after Alontae Taylor departure,https://www.neworleanssaints.com/news/press-releases,2026-08-17
Ryan Wright,P,free agent signing,2026-03-11,active roster,New punter after Kai Kroeger trade,https://www.nfl.com/news/2026-nfl-free-agency-tracker-latest-signings-trades-contract-info-for-all-32-teams,2026-08-17
