source_id,endpoint_type,url,access,automation_suitability,notes,last_verified
local-source-atlanta-falcons,official_news,https://www.atlantafalcons.com/news/,free,metadata_and_summary,"Official news, transcripts, roster moves, camp reports, and the club's unofficial depth chart.",2026-08-17
local-source-atlanta-falcons,official_roster,https://www.atlantafalcons.com/team/players-roster/,free,metadata_and_summary,"Current active roster; reconcile with NFL.com and camp reporting.",2026-08-17
local-source-atlanta-falcons,official_depth_chart,https://www.atlantafalcons.com/team/depth-chart/,free,metadata_and_summary,"Club's unofficial depth chart; updated around preseason games.",2026-08-17
local-writer-will-mcfadden,article_author,https://www.atlantafalcons.com/team/news-roster/,free,metadata_and_summary,"Author archive for staff writer / depth-chart publisher.",2026-08-17
local-writer-kelsey-conway,article_author,https://www.atlantafalcons.com/author/kelsey-conway,free,metadata_and_summary,"Author archive; Falcons Insider.",2026-08-17
local-writer-tori-mcelhaney,article_author,https://www.atlantafalcons.com/author/tori-mcelhaney,free,metadata_and_summary,"Author archive.",2026-08-17
local-writer-tori-mcelhaney,social,https://x.com/tori_mcelhaney,free,manual_only,"Real-time camp notes; attribute individual claims.",2026-08-17
local-writer-josh-kendall,social,https://x.com/JoshTheAthletic,free,manual_only,"Real-time beat updates; full articles are paywalled at The Athletic.",2026-08-17
local-writer-josh-kendall,article_author,https://www.nytimes.com/athletic/author/josh-kendall/,paywall,manual_only,"The Athletic author archive; do not reproduce paywalled text.",2026-08-17
local-writer-daniel-flick,article_author,https://www.ajc.com/staff/daniel.flick/,paywall,manual_only,"AJC Falcons beat author archive (since May 2026).",2026-08-17
local-writer-daniel-flick,social,https://x.com/ByDanielFlick,free,manual_only,"Real-time AJC beat updates.",2026-08-17
local-writer-marc-raimondi,article_author,https://www.espn.com/nfl/team/_/name/atl/atlanta-falcons,free,metadata_and_summary,"ESPN Falcons team hub; Raimondi is the NFL Nation beat writer.",2026-08-17
local-writer-michael-rothstein,social,https://x.com/mikerothstein,free,manual_only,"Enterprise/investigative; off-field Falcons items.",2026-08-17
local-writer-d-orlando-ledbetter,independent_site,https://bowtiesports.com/,free,manual_only,"Independent Falcons coverage after AJC retirement (March 2026); lower cadence.",2026-08-17
local-source-nfl,official_news,https://www.nfl.com/news/,free,metadata_and_summary,"League transactions, suspensions, and official announcements.",2026-08-17
local-source-the-falcoholic,team_blog,https://www.thefalcoholic.com/,free,manual_only,"Daily camp notes and unofficial depth-chart breakdowns; may block automated fetches.",2026-08-17
local-source-blogging-dirty,team_blog,https://bloggingdirty.com/,free,manual_only,"Aggregation-heavy; verify against primary reporting.",2026-08-17
local-source-pro-football-reference,data,https://www.pro-football-reference.com/teams/atl/2026.htm,free,structured_data,"Roster, game logs, snap counts (unofficial), historical stats.",2026-08-17
local-source-pff,data,https://www.pff.com/nfl/teams/atlanta-falcons,paywall,manual_only,"Grades, alignment/route/pressure data; proprietary methodology.",2026-08-17
local-source-over-the-cap,contract_data,https://overthecap.com/team/atlanta-falcons,free,structured_data,"Cap sheet, dead money, contract mechanics.",2026-08-17
local-source-spotrac,contract_data,https://www.spotrac.com/nfl/atlanta-falcons/,free,structured_data,"Contracts, cap hits, transaction log; cross-check vs Over the Cap.",2026-08-17
