ledger_id,review_date,team_id,synthesis_record_id,observation_ids,routing_level,signal_type,entity_or_unit,evidence_effect,target_ids,target_path,disposition,next_review_trigger,status,resolved_date,resolution_synthesis_id,supersedes_ledger_id,notes
til-2026-sea-20260906-001,2026-09-06,SEA,ti-2026-sea-20260906-001,obs-2026-sea-20260906t193157z-001,review,availability,Jadarian_Price,contextual,wm-2026-w01-ne-sea-001,weekly/2026/week-01/games/NE-at-SEA.md,promoted,Final Week 1 active status and opening-drive routes goal-line and protection snaps,resolved,2026-09-06,ti-2026-sea-20260906-001,,Expected debut added; seasonal Price lead-back hypothesis remains unproven.
til-2026-sea-20260909-001,2026-09-09,SEA,ti-2026-sea-20260909-001,obs-2026-sea-20260909t210706z-001;obs-2026-sea-20260909t210706z-003,review,injury,Okada and Horton designations,contextual,wm-2026-w01-ne-sea-001,weekly/2026/week-01/games/NE-at-SEA.md,promoted,Game-day inactive list; then where New England targets Thomas or Finley and whether Horton's absence thins the receiver room.,resolved,2026-09-09,ti-2026-sea-20260909-001,,Official Okada OUT and Horton QUESTIONABLE promoted into the weekly injury context and decision table. Matchup context only; no ranking change.
til-2026-sea-20260909-002,2026-09-09,SEA,ti-2026-sea-20260909-001,obs-2026-sea-20260909t210706z-002;obs-2026-sea-20260909t210706z-006;obs-2026-sea-20260909t210706z-007;obs-2026-sea-20260909t210706z-008;obs-2026-sea-20260909t210706z-011;obs-2026-sea-20260909t210706z-012,review,depth_chart,Safety replacement beside Love,contextual,sea-def-s-001,teams/NFC/West/Seattle-Seahawks/2026/defense/hypotheses.csv,deferred,"Official Week 1 participation, then chart Thomas and Finley safety snaps beside Love and the actual nickel replacement. Emmanwori and Okada are inactive; Clark and Bell are not assumed eligible. Record assignments and unknown plays; eligibility alone cannot resolve sea-def-s-001.",superseded,2026-09-10,ti-2026-sea-20260910-001,,"Okada is out by injury and the replacement is a Thomas-or-Finley question the hypothesis never named; evidence is orthogonal to its Clark/Emmanwori disconfirming path. One team-site expectation plus one independent Crabtree reps report. SUPERSEDED 2026-09-10: the Week 1 trigger fired partially. Measured participation arrived; the route/alignment evidence the trigger also named does not exist from any registered source. Split into a resolved measurement row and an open row carrying the untestable half, rather than left ambiguous."
til-2026-sea-20260909-003,2026-09-09,SEA,ti-2026-sea-20260909-001,obs-2026-sea-20260909t210706z-002;obs-2026-sea-20260909t210706z-008;obs-2026-sea-20260909t210706z-011,review,depth_chart,Secondary replacement finding,contextual,rf-2026-sea-secondary-replacement-roles-001,teams/NFC/West/Seattle-Seahawks/2026/defense/secondary-replacement-roles.md,deferred,Official Week 1 participation and identifiable safety/nickel coverage assignments; distinguish Thomas versus Finley roles and injury-forced deployment. Any enduring update needs evidence beyond one game.,superseded,2026-09-10,ti-2026-sea-20260910-001,,"The finding's Okada-and-Love first-team statement is stale for Week 1 and its options list omits Thomas and Finley; its volatility thesis is reinforced. No rewrite before usage. SUPERSEDED 2026-09-10: the Week 1 trigger fired partially. Measured participation arrived; the route/alignment evidence the trigger also named does not exist from any registered source. Split into a resolved measurement row and an open row carrying the untestable half, rather than left ambiguous."
til-2026-sea-20260909-004,2026-09-09,SEA,ti-2026-sea-20260909-001,obs-2026-sea-20260909t210706z-004;obs-2026-sea-20260909t210706z-009;obs-2026-sea-20260909t210706z-010,review,availability,Week 1 backfield availability,contextual,wm-2026-w01-ne-sea-001,weekly/2026/week-01/games/NE-at-SEA.md,promoted,Opening-drive personnel routes two-minute and inside-five work among Price Holani and Wilson from the gamebook and charting.,resolved,2026-09-09,ti-2026-sea-20260909-001,,"Full healthy backfield available: Wilson full with no designation, Price debut re-stated, official framing that Price will not carry the load alone. Wilson-unavailable contingency removed from the Price decision row; workload range stays wide. Supersedes the availability half of sig-2026-sea-20260906-001."
til-2026-sea-20260909-005,2026-09-09,SEA,ti-2026-sea-20260909-001,obs-2026-sea-20260909t210706z-009;obs-2026-sea-20260909t210706z-010,review,role,Price lead-back hypothesis,contextual,sea-off-rb-001,teams/NFC/West/Seattle-Seahawks/2026/offense/hypotheses.csv,deferred,"Official Week 1 RB totals then Price/Wilson/Holani routes versus protection, two-minute and inside-5 shares with matched denominators and unknown assignments.",superseded,2026-09-10,ti-2026-sea-20260910-001,,"Availability is complete but no split is established measured or announced. Also holds rf-2026-sea-post-walker-backfield-001 unchanged pending the same usage evidence. SUPERSEDED 2026-09-10: the Week 1 trigger fired partially. Measured participation arrived; the route/alignment evidence the trigger also named does not exist from any registered source. Split into a resolved measurement row and an open row carrying the untestable half, rather than left ambiguous."
til-2026-sea-20260910-001,2026-09-10,SEA,ti-2026-sea-20260910-001,obs-2026-sea-20260910t222845z-001;obs-2026-sea-20260910t222845z-002;obs-2026-sea-20260910t222845z-003;obs-2026-sea-20260910t222845z-004;obs-2026-sea-20260910t222845z-104,escalate,injury,Sam Darnold,challenges,wm-2026-w01-ne-sea-001,weekly/2026/week-01/games/NE-at-SEA.md,promoted,First official Week 2 injury report and practice participation; any roster move; a NAMED Week 2 starter.,resolved,2026-09-10,ti-2026-sea-20260910-001,,"Official book: injured on a D.Jones sack ending Seattle's opening possession (3rd-and-6, Q1 12:27), 'return is Questionable' at Q1 6:02, 'Out of the game' at Q2 0:45, 5 of 50 snaps. Club names a hip injury; Macdonald said imaging ruled out a fracture, then on 9/10 that the hip is intact and the problem is muscular, with Darnold in pain. ESCALATED on official record plus immediate lineup consequence. NO PROGNOSIS EXISTS: no timetable, no designation, no roster move. 'Muscular, hip intact' is a ruling-OUT, not a prognosis, and must not be recorded as a minor injury."
til-2026-sea-20260910-002,2026-09-10,SEA,ti-2026-sea-20260910-001,obs-2026-sea-20260910t222845z-005;obs-2026-sea-20260910t222845z-107,review,role,Week 2 starting quarterback,contextual,wm-2026-w01-ne-sea-001,weekly/2026/week-01/games/NE-at-SEA.md,deferred,"A named Week 2 starter from the club, or an official injury designation for Darnold.",open,,,,"EXPLICIT NON-DECISION. Asked whether Darnold could play at Arizona, Macdonald said he did not know, and that his own thinking is Lock plays while noting he had not been told that. NOT RECORDED AS A NAMED STARTER. Lock took 45 of 50 snaps and accounted for 22 of Seattle's 24 targets, so a Week 2 Lock start would be continuity of the Week 1 sample rather than a change to it."
til-2026-sea-20260910-003,2026-09-10,SEA,ti-2026-sea-20260910-001,obs-2026-sea-20260910t222845z-006,review,role,Hypothesis premises naming Darnold,challenges,sea-off-te-001;sea-off-ol-001,teams/NFC/West/Seattle-Seahawks/2026/offense/hypotheses.csv,promoted,None for the premise repair itself; the underlying questions carry their own triggers.,resolved,2026-09-10,ti-2026-sea-20260910-001,,"STRUCTURAL REPAIR, ARCHITECT. Two live hypotheses had premises that the quarterback change invalidated outright: sea-off-te-001 required Barner to run routes 'with Darnold in first-team drives', and sea-off-ol-001 was framed as keeping 'Darnold's efficiency floor' intact. Darnold played 5 of 50 snaps. Both rewritten to be quarterback-agnostic. A hypothesis whose confirming-evidence path names an unavailable player cannot be scored and would have silently gone stale."
til-2026-sea-20260910-004,2026-09-10,SEA,ti-2026-sea-20260910-001,obs-2026-sea-20260910t222845z-007;obs-2026-sea-20260910t222845z-009;obs-2026-sea-20260910t222845z-101,review,usage,Week 1 backfield measurement,challenges,sea-off-rb-001,teams/NFC/West/Seattle-Seahawks/2026/offense/hypotheses.csv,promoted,None. This row records a completed measurement and is closed.,resolved,2026-09-10,ti-2026-sea-20260910-001,til-2026-sea-20260909-005,"MEASUREMENT CLOSED, AND IT CHALLENGES THE HYPOTHESIS. Price 24 of 50 snaps (48%), 10 of 22 carries, 52 yards, 2 targets. Holani 23 snaps (46%), 8 carries, 29 yards. Wilson 3 snaps, 2 carries. A ONE-SNAP gap is a near-even committee, not the lead-back workload sea-off-rb-001 posits; confidence lowered medium to low. ESPN's 'committee for about four games' framing is the reporters' own projection, logged as analysis and NOT as club guidance."
til-2026-sea-20260910-005,2026-09-10,SEA,ti-2026-sea-20260910-001,obs-2026-sea-20260910t222845z-010,review,usage,Seattle inside-five and goal-line role,contextual,sea-off-rb-001,teams/NFC/West/Seattle-Seahawks/2026/offense/hypotheses.csv,deferred,"Any Seattle game containing goal-to-go snaps. TRIGGER REWRITTEN: the prior trigger also named routes-versus-protection, which no registered source supplies; that clause is removed as unsatisfiable.",open,,,til-2026-sea-20260909-005,"NO ELIGIBLE SAMPLE, RECORDED DELIBERATELY. Seattle ran ZERO goal-to-go snaps and no back carried inside the New England 10; red-zone efficiency was 0-2. The inside-five question is therefore unanswered, not answered negatively. An unobserved scoring situation cannot resolve a scoring role. NOTE ON A SOURCE DISCREPANCY: beat observation obs-...-102 describes the nullified Lock-to-Kupp touchdown as 'third-and-goal'; the official book records it as 3rd-and-4 from the NE 7, which is NOT goal-to-go, and the book's Seattle goal-to-go line is 0-0. The official record governs."
til-2026-sea-20260910-006,2026-09-10,SEA,ti-2026-sea-20260910-001,obs-2026-sea-20260910t222845z-011;obs-2026-sea-20260910t222845z-105,review,depth_chart,"Safety beside Love, Week 1 measurement",contextual,sea-def-s-001,teams/NFC/West/Seattle-Seahawks/2026/defense/hypotheses.csv,promoted,None. This row records a completed measurement; the durable question continues in til-2026-sea-20260910-007.,resolved,2026-09-10,ti-2026-sea-20260910-001,til-2026-sea-20260909-002,"MEASURED: Rodney Thomas II played 70 of 71 defensive snaps beside Love's 71 of 71. AJ Finley was ACTIVE and played ZERO defensive snaps despite the team site expecting him to compete for the job — a genuinely informative negative. Coby Bryant appears NOWHERE in the gamebook: not in lineups, substitutions, did-not-play, inactives or the participation table. Recorded as observed, not interpreted."
til-2026-sea-20260910-007,2026-09-10,SEA,ti-2026-sea-20260910-001,obs-2026-sea-20260910t222845z-108;obs-2026-sea-20260910t222845z-105,review,depth_chart,Durable safety job and replacement-role finding,contextual,rf-2026-sea-secondary-replacement-roles-001,teams/NFC/West/Seattle-Seahawks/2026/defense/secondary-replacement-roles.md,deferred,"Okada's and Emmanwori's return to availability, then whether Thomas II retains defensive snaps.",open,,,til-2026-sea-20260909-003,"A ONE-GAME INJURY-FORCED PAIRING CANNOT SETTLE THE DURABLE JOB. Thomas II is a practice-squad elevation and Okada, Emmanwori, Horton and Kallerup were all inactive. Macdonald said afterward that Emmanwori and Horton had practised limited, looked great and could maybe have played, and were held out as a precaution — so the entire Week 1 secondary alignment was precautionary rather than a depth-chart statement. The finding's volatility thesis is reinforced; its Okada-and-Love first-team statement remains stale."
til-2026-sea-20260910-008,2026-09-10,SEA,ti-2026-sea-20260910-001,obs-2026-sea-20260910t222845z-012,review,depth_chart,Third cornerback,supports,sea-def-cb-001,teams/NFC/West/Seattle-Seahawks/2026/defense/hypotheses.csv,promoted,"Week 2 alignment, and whether any rotation emerges.",resolved,2026-09-10,ti-2026-sea-20260910-001,,"SEPARATES ONE CANDIDATE CLEARLY. Nehemiah Pritchett played 53 of 71 defensive snaps (75%) behind Witherspoon (70) and Jobe (70) and returned an interception 30 yards. Julian Neal and Avery Smith played ZERO defensive snaps, special teams only. That is a single clear third corner, not the rotating CB3 uncertainty the hypothesis's disconfirming path describes."
til-2026-sea-20260910-009,2026-09-10,SEA,ti-2026-sea-20260910-001,obs-2026-sea-20260910t222845z-012,review,depth_chart,Nickel defender identity,contextual,sea-def-cb-001,teams/NFC/West/Seattle-Seahawks/2026/defense/hypotheses.csv,deferred,"A registered source naming Seattle's nickel defender, or an alignment-labelled participation source being added to the registry.",open,,,,"UNANSWERED, AND NOT ANSWERABLE FROM CURRENT SOURCES. The gamebook playtime table carries NO alignment labels — the S/CB letters are the book's roster designation column, not alignment evidence — so Pritchett's 53 snaps establish a third-corner WORKLOAD and nothing about who played nickel. No official or registered beat source named a nickel defender. REGISTRY GAP: this trigger cannot fire until an alignment source is registered."
