source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-atlanta-falcons,organization,Atlanta Falcons communications,Atlanta Falcons,Official team communications,official,essential,active,free,"injuries; transactions; transcripts; press conferences; unofficial depth chart; practice notebooks","Source of record for team announcements; team-produced editorial and analysis are not organizationally independent.",,,,2026-08-17
local-writer-will-mcfadden,person,Will McFadden,Atlanta Falcons,Staff writer / depth-chart publisher,official,essential,active,free,"unofficial depth chart; injury and PUP designations; transactions","Team-employed; publishes the club's own unofficial depth chart. Treat as official-voice, not independent reporting.",,,,2026-08-17
local-writer-kelsey-conway,person,Kelsey Conway,Atlanta Falcons,Falcons Insider / senior reporter,official,essential,active,free,"roster moves; transactions; press-conference recaps; video","Team-employed; watch for promotional framing and cross-check consequential claims against independent reporting.",,,,2026-08-17
local-writer-tori-mcelhaney,person,Tori McElhaney,Atlanta Falcons,Senior reporter,official,essential,active,free,"feature depth; locker-room access; roster and scheme context","Strong reporting pedigree (former The Athletic Falcons beat) but now team-employed; still an official voice, not independent.",The Athletic Falcons beat writer,,,2026-08-17
local-writer-josh-kendall,person,Josh Kendall,The Athletic,Falcons beat writer,reporting,essential,active,paywall,"beat reporting; roster analysis; quarterback room; radio hits","Subscription paywall; separate sourced reporting from column-style analysis. Do not reproduce paywalled text.",,,,2026-08-17
local-writer-daniel-flick,person,Daniel Flick,Atlanta Journal-Constitution,Falcons beat writer,reporting,essential,active,paywall,"daily beat; camp intel; offensive line and right-tackle coverage","Took over the AJC Falcons beat in May 2026 (replaced D. Orlando Ledbetter). Paywall; favor concrete observations over camp evaluations.",SI Falcons coverage,,,2026-08-17
local-writer-marc-raimondi,person,Marc Raimondi,ESPN,Falcons beat reporter (NFL Nation),reporting,essential,active,free,"camp intel; position battles; roster cuts; quarterback room","Primary ESPN Falcons voice since 2024 (replaced Michael Rothstein on the beat). Separate reporting from national-desk speculation.",,,,2026-08-17
local-writer-michael-rothstein,person,Michael Rothstein,ESPN,Enterprise / investigative reporter,reporting,supplemental,active,free,"investigations; off-field and legal stories; occasional Falcons collaborations","No longer on the Falcons beat; surfaces on off-field items (e.g., the Pearce suspension). Not a daily camp feed.",ESPN Falcons beat reporter (2021-2024),2024,local-writer-marc-raimondi,2026-08-17
local-writer-d-orlando-ledbetter,person,D. Orlando Ledbetter,BowtieSports,Independent Falcons reporter,reporting,valuable,active,free,"long institutional memory; historical and organizational context","Covered the Falcons for AJC for ~22 years; retired from AJC March 2026 and now publishes independently at a lower cadence.",Atlanta Journal-Constitution Falcons beat writer,2026-03,local-writer-daniel-flick,2026-08-17
local-source-nfl,organization,NFL communications,NFL,League news and transactions,official,valuable,active,free,"league transactions; suspensions; official announcements; gamebooks","League outlet; authoritative on suspensions and official transactions. Retrieve the specific release for consequential items.",,,,2026-08-17
local-source-the-falcoholic,organization,The Falcoholic,SB Nation,Team blog / community site,team_analysis,valuable,active,free,"daily camp notes; unofficial depth-chart breakdowns; position battles","Fan-site with consistent daily camp coverage; mixes reporting and opinion. Attribute the individual author and cite original sources.",,,,2026-08-17
local-source-blogging-dirty,organization,Blogging Dirty,FanSided,Team blog,aggregation,supplemental,active,free,"depth-chart takeaways; roster churn","Aggregation-heavy; verify claims against primary reporting before use.",,,,2026-08-17
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistics and roster database,data,valuable,active,free,"historical stats; rosters; snap counts; game logs","Canonical stat reference; snap counts identified as unofficial. Not a real-time camp source.",,,,2026-08-17
local-source-pff,organization,Pro Football Focus,PFF,Grades and advanced metrics,film_analysis,valuable,active,paywall,"player grades; alignment, route and pressure data; depth-chart projections","Proprietary methodology; grades are evaluations, not facts. Paywall.",,,,2026-08-17
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Salary-cap and contract data,contract_data,valuable,active,free,"contract structure; cap charges; dead money","Third-party interpretation of contract data (e.g., Tua and Cousins mechanics); cross-check unusual figures.",,,,2026-08-17
local-source-spotrac,organization,Spotrac,Spotrac,Contract and cap database,contract_data,supplemental,active,free,"contracts; cap hits; transaction log","Useful cross-check; not an official transaction or contract filing.",,,,2026-08-17
