player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Emanuel Wilson,RB,Free-agent signing,2026-03-13,"On initial 53-man roster 2026-08-30; missed camp time and all preseason games (hamstring); full participant Sunday/Monday Week 1 reports with no game designation as of 2026-09-08","Listed second at RB on the official depth chart behind Jadarian Price and ahead of George Holani as of 2026-09-09; official Week 1 framing is that Price will not carry the load alone",https://www.seahawks.com/news/ty-okada-out-nick-emmanwori-questionable-for-seahawks-season-opener-vs-patriots,2026-09-09
Rodney Thomas II,S,Free-agent signing,2026-03-16,"Vested-veteran contract terminated 2026-08-30 at cutdown; signed to practice squad 2026-08-31; elevated for Week 1 on 2026-09-09","Expected (team-site analysis) to start beside Julian Love in Week 1 with Ty Okada out, or AJ Finley does",https://www.seahawks.com/news/seahawks-make-roster-moves-ahead-of-season-opener-vs-patriots,2026-09-09
Noah Igbinoghene,CB,Free-agent signing,2026-03-17,"Vested-veteran contract terminated 2026-08-30 at cutdown; not on the 2026-08-31 practice squad","No longer in the CB3 competition; that role now sits with Nehemiah Pritchett, Julian Neal, and trade acquisition Avery Smith",https://www.seahawks.com/news/seahawks-make-roster-moves-including-trade-to-establish-initial-53-man-roster,2026-09-09
D'Anthony Bell,S,Free-agent signing,2026-03-24,"Vested-veteran contract terminated 2026-08-30 at cutdown; signed to practice squad 2026-09-05 per official transaction log","Practice-squad safety depth behind Love, Okada (out Week 1), Emmanwori, Finley, and Thomas II",https://www.seahawks.com/team/transactions/,2026-09-09
Dante Fowler Jr.,LB/EDGE,Free-agent signing,2026-05-11,"On initial 53-man roster 2026-08-30; listed at SLB behind Uchenna Nwosu on the official depth chart","Veteran pass-rush addition replacing part of Boye Mafe's edge-rotation work",https://www.seahawks.com/news/a-position-by-position-look-at-the-seahawks-initial-2026-53-man-roster,2026-09-09
Irvin Charles,WR,Trade acquisition,2026-05-27,"Placed on reserve/injured - designated for return 2026-08-30","Out at least four games; depth receiver and special-teams competitor when eligible",https://www.seahawks.com/news/seahawks-make-roster-moves-including-trade-to-establish-initial-53-man-roster,2026-09-09
Bobby Hart,OT,Free-agent signing,2026-06-08,"Vested-veteran contract terminated 2026-08-30 at cutdown; signed to practice squad 2026-09-03 per official transaction log","Practice-squad tackle depth behind Abraham Lucas and Josh Jones",https://www.seahawks.com/team/transactions/,2026-09-09
Nick Vannett,TE,Free-agent signing,2026-07-24,"Vested-veteran contract terminated 2026-08-30 at cutdown; not on the 2026-08-31 practice squad","Tight-end room is AJ Barner, Eric Saubert, Elijah Arroyo, and Nick Kallerup on the 53",https://www.seahawks.com/news/seahawks-make-roster-moves-including-trade-to-establish-initial-53-man-roster,2026-09-09
Trevon Diggs,CB,Free-agent signing,2026-08-19,"Vested-veteran contract terminated 2026-08-30 at cutdown; signed to practice squad 2026-08-31 as a veteran practice-squad signing","Practice-squad corner depth; Macdonald was reported pleased with his preseason appearance (one interception)",https://www.seahawks.com/news/seahawks-sign-17-to-practice-squad-including-veterans-trevon-diggs-aj-finley-velus-jones-jr-rodney-thomas-ii,2026-09-09
Kellen Diesch,OT,Waiver claim,2026-08-27,"Claimed off waivers 2026-08-27; waived 2026-08-30 at cutdown; not on the 2026-08-31 practice squad","No current role",https://www.seahawks.com/team/transactions/,2026-09-09
Terrion Arnold,CB,Free-agent signing,2026-08-29,"Signed 2026-08-29; placed on the Commissioner's Exempt List 2026-08-30 with availability timetable not yet set (ongoing legal proceedings per team-site report)","Former Lions first-round pick; Macdonald cited pattern-match fit in the secondary; not on the 53 or the depth chart as of 2026-09-09",https://www.seahawks.com/news/seahawks-sign-cb-terrion-arnold,2026-09-09
Avery Smith,CB,Trade acquisition,2026-08-30,"Acquired from the L.A. Chargers 2026-08-30; on initial 53-man roster; listed third at CB behind Josh Jobe and Julian Neal on the official depth chart","Undrafted rookie (Toledo) described by GM John Schneider as able to play nickel, outside corner, and special teams; trade compensation not disclosed in the official article",https://www.seahawks.com/news/the-initial-53-man-roster-seahawks-trade-other-takeaways-from-john-schneider-s-press-conference,2026-09-09
