team,abbr,season,position,scoring_format,window,games_included,metric_family,metric_name,rank_direction,early_rank,avg_opponent_rank,source_id,last_verified,interpretation,status,notes
New York Giants,NYG,2026,QB,unspecified,first_5_played_games,"W1 DAL; W2 LAR; W3 TEN; W4 ARI; W5 WAS",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,1,8.8,athlon-2026-fantasy-sos,2026-08-17,easiest,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Philadelphia Eagles,PHI,2026,QB,unspecified,first_5_played_games,"W1 WAS; W2 TEN; W3 CHI; W4 LAR; W5 JAX",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,2,9.6,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Cleveland Browns,CLE,2026,QB,unspecified,first_5_played_games,"W1 JAX; W2 TB; W3 CAR; W4 PIT; W5 NYJ",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,3,10.6,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Dallas Cowboys,DAL,2026,QB,unspecified,first_5_played_games,"W1 NYG; W2 WAS; W3 BAL; W4 HOU; W5 TB",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,4,10.8,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Cincinnati Bengals,CIN,2026,QB,unspecified,first_5_played_games,"W1 TB; W2 HOU; W3 PIT; W4 JAX; W5 MIA",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,5,11.8,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Green Bay Packers,GB,2026,QB,unspecified,first_5_played_games,"W1 MIN; W2 NYJ; W3 ATL; W4 TB; W5 CHI",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,6,12.2,athlon-2026-fantasy-sos,2026-08-17,easier,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Houston Texans,HOU,2026,QB,unspecified,first_5_played_games,"W1 BUF; W2 CIN; W3 IND; W4 DAL; W5 TEN",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,7,12.2,athlon-2026-fantasy-sos,2026-08-17,easier,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Baltimore Ravens,BAL,2026,QB,unspecified,first_5_played_games,"W1 IND; W2 NO; W3 DAL; W4 TEN; W5 ATL",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,8,13.0,athlon-2026-fantasy-sos,2026-08-17,easier,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Los Angeles Chargers,LAC,2026,QB,unspecified,first_5_played_games,"W1 ARI; W2 LV; W3 BUF; W4 SEA; W5 DEN",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,1,22.4,athlon-2026-fantasy-sos,2026-08-17,toughest,active,"Early cold-start risk."
Buffalo Bills,BUF,2026,QB,unspecified,first_5_played_games,"W1 HOU; W2 DET; W3 LAC; W4 NE; W5 LAR",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,2,22.0,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Las Vegas Raiders,LV,2026,QB,unspecified,first_5_played_games,"W1 MIA; W2 LAC; W3 NO; W4 KC; W5 NE",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,3,21.6,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Jacksonville Jaguars,JAX,2026,QB,unspecified,first_5_played_games,"W1 CLE; W2 KC; W3 NE; W4 CIN; W5 PHI",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,4,21.6,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Chicago Bears,CHI,2026,QB,unspecified,first_5_played_games,"W1 CAR; W2 MIN; W3 PHI; W4 NYJ; W5 GB",fantasy_points_allowed,avg_opponent_position_rank,1=hardest,5,21.6,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Early cold-start risk."
Detroit Lions,DET,2026,RB,unspecified,first_5_played_games,"W1 NO; W2 BUF; W3 NYJ; W4 CAR; W5 ARI",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,1,8.4,athlon-2026-fantasy-sos,2026-08-17,easiest,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
New York Giants,NYG,2026,RB,unspecified,first_5_played_games,"W1 DAL; W2 LAR; W3 TEN; W4 ARI; W5 WAS",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,2,10.0,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Houston Texans,HOU,2026,RB,unspecified,first_5_played_games,"W1 BUF; W2 CIN; W3 IND; W4 DAL; W5 TEN",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,3,10.2,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Tennessee Titans,TEN,2026,RB,unspecified,first_5_played_games,"W1 NYJ; W2 PHI; W3 NYG; W4 BAL; W5 HOU",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,4,11.0,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Dallas Cowboys,DAL,2026,RB,unspecified,first_5_played_games,"W1 NYG; W2 WAS; W3 BAL; W4 HOU; W5 TB",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,5,12.0,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
Chicago Bears,CHI,2026,RB,unspecified,first_5_played_games,"W1 CAR; W2 MIN; W3 PHI; W4 NYJ; W5 GB",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,6,12.8,athlon-2026-fantasy-sos,2026-08-17,easier,active,"Early hot-start target despite tougher QB/WR schedule."
Tampa Bay Buccaneers,TB,2026,RB,unspecified,first_5_played_games,"W1 CIN; W2 CLE; W3 MIN; W4 GB; W5 DAL",fantasy_points_allowed,avg_opponent_position_rank,1=easiest,7,12.8,athlon-2026-fantasy-sos,2026-08-17,easier,active,"Early hot-start target; lower opponent rank is easier in Athlon methodology."
