round,overall_pick,player,position,college,position_group,immediate_monitoring_question,source_url,last_verified
1,1,Fernando Mendoza,QB,Indiana,quarterback,How quickly does he close the gap on Kirk Cousins after opening camp behind the veteran?,https://www.raiders.com/news/introducing-the-raiders-2026-draft-class-nfl-fernando-mendoza-treydan-stukes-keyron-crawford,2026-08-17
2,38,Treydan Stukes,S,Arizona,secondary,Does his range immediately change Rob Leonard's pressure and coverage menu?,https://www.raiders.com/news/introducing-the-raiders-2026-draft-class-nfl-fernando-mendoza-treydan-stukes-keyron-crawford,2026-08-17
3,67,Keyron Crawford,DE,Auburn,defensive_line,Can he earn third-edge snaps behind Maxx Crosby Kwity Paye and Malcolm Koonce?,https://www.raiders.com/news/introducing-the-raiders-2026-draft-class-nfl-fernando-mendoza-treydan-stukes-keyron-crawford,2026-08-17
3,91,Trey Zuhn III,G,Texas A&M,offensive_line,Does he factor at guard or tackle in the best-five offensive-line competition?,https://www.raiders.com/news/introducing-the-raiders-2026-draft-class-nfl-fernando-mendoza-treydan-stukes-keyron-crawford,2026-08-17
4,101,Jermod McCoy,CB,Tennessee,secondary,Can he push into the outside-corner rotation quickly enough to matter for matchup quality?,https://www.raiders.com/news/introducing-the-raiders-2026-draft-class-nfl-fernando-mendoza-treydan-stukes-keyron-crawford,2026-08-17
4,122,Mike Washington Jr.,RB,Arkansas,running_back,Does he take enough short-yardage or passing-game work to cap Ashton Jeanty's ceiling?,https://www.raiders.com/news/introducing-the-raiders-2026-draft-class-nfl-fernando-mendoza-treydan-stukes-keyron-crawford,2026-08-17
5,150,Dalton Johnson,S,Arizona,secondary,Does he earn dime/special-teams work or remain developmental depth?,https://www.raiders.com/news/introducing-the-raiders-2026-draft-class-nfl-fernando-mendoza-treydan-stukes-keyron-crawford,2026-08-17
5,175,Hezekiah Masses,CB,California,secondary,Does his size/speed profile translate into immediate special-teams or backup-corner snaps?,https://www.raiders.com/news/introducing-the-raiders-2026-draft-class-nfl-fernando-mendoza-treydan-stukes-keyron-crawford,2026-08-17
6,195,Malik Benson,WR,Oregon,wide_receiver,Can his speed connection with Fernando Mendoza create a package role?,https://www.raiders.com/news/introducing-the-raiders-2026-draft-class-nfl-fernando-mendoza-treydan-stukes-keyron-crawford,2026-08-17
7,229,Brandon Cleveland,DT,NC State,defensive_line,Can he make the interior rotation after late-camp defensive-line churn?,https://www.raiders.com/news/introducing-the-raiders-2026-draft-class-nfl-fernando-mendoza-treydan-stukes-keyron-crawford,2026-08-17
