coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-mike-mccarthy,Mike McCarthy,all,Head Coach,false,,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-brian-angelichio,Brian Angelichio,offense,Offensive Coordinator,false,,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-patrick-graham,Patrick Graham,defense,Defensive Coordinator,false,,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-danny-crossman,Danny Crossman,special_teams,Special Teams Coordinator,false,,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-tom-arth,Tom Arth,offense,Quarterbacks,true,Quarterbacks,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-ramon-chinyoung,Ramon Chinyoung,offense,Running Backs,false,,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-adam-henry,Adam Henry,offense,Wide Receivers,false,,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-robert-kugler,Robert Kugler,offense,Tight Ends,false,,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-james-campen,James Campen,offense,Offensive Line,false,,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-domata-peko,Domata Peko,defense,Defensive Line,false,,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-scott-mccurley,Scott McCurley,defense,Inside Linebackers,true,Inside Linebackers,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-cj-ah-you,C.J. Ah You,defense,Outside Linebackers,false,,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-joe-whitt-jr,Joe Whitt Jr.,defense,Pass Game Coordinator/Secondary,false,,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
local-coach-jason-simmons,Jason Simmons,defense,Defensive Backs,false,,https://steelersdepot.com/2026/02/pittsburgh-steelers-coaching-staff-tracker-updating/,2026-08-13
