player,position,2025_role,transaction,transaction_date,destination,performance_significance,source_url,last_verified
Michael Pittman Jr.,WR,starting receiver,traded,2026-03-13,Pittsburgh Steelers,Removed 80 catches 784 yards and seven touchdowns from the 2025 passing game and opened outside receiver volume,https://www.colts.com/news/colts-acquire-2026-sixth-round-pick-in-trade-with-pittsburgh-steelers-for-wide-receiver-michael-pittman-jr-2026-seventh-round-pick,2026-08-17
Zaire Franklin,LB,starting linebacker and defensive captain,traded,2026-03-11,Green Bay Packers,Removed the 2025 defensive snap leader and created a green-dot linebacker competition,https://www.colts.com/news/colby-wooden-defensive-tackle-green-bay-packers-trade-zaire-franklin,2026-08-17
Nick Cross,S,starting safety,signed_elsewhere,2026-03-13,Washington Commanders,Removed a 1000-snap safety and increased safety role uncertainty,https://www.colts.com/news/2026-nfl-free-agency-tracker-daniel-jones-alec-pierce,2026-08-17
Kwity Paye,DE,starting edge defender,signed_elsewhere,2026-03-13,Las Vegas Raiders,Removed a high-snap edge contributor from Lou Anarumo's rotation,https://www.colts.com/news/2026-nfl-free-agency-tracker-daniel-jones-alec-pierce,2026-08-17
Samson Ebukam,DE,rotational edge defender,signed_elsewhere,2026-03-12,Atlanta Falcons,Removed veteran edge production from the pass-rush rotation,https://www.colts.com/news/2026-nfl-free-agency-tracker-daniel-jones-alec-pierce,2026-08-17
Braden Smith,T,starting right tackle,signed_elsewhere,2026-03-13,Houston Texans,Elevated the importance of Jalen Travis and right-tackle continuity,https://www.colts.com/news/2026-nfl-free-agency-tracker-daniel-jones-alec-pierce,2026-08-17
Rodney Thomas II,S,safety depth,signed_elsewhere,2026-03-13,Seattle Seahawks,Removed experienced safety depth behind Cam Bynum and new additions,https://www.colts.com/news/2026-nfl-free-agency-tracker-daniel-jones-alec-pierce,2026-08-17
Danny Pinter,C/G,interior offensive-line depth,signed_elsewhere,2026-03-17,Baltimore Ravens,Reduced experienced interior line depth,https://www.colts.com/news/2026-nfl-free-agency-tracker-daniel-jones-alec-pierce,2026-08-17
Neville Gallimore,DT,defensive tackle rotation,signed_elsewhere,2026-03-09,Chicago Bears,Part of a large defensive-line turnover before veteran additions,https://www.colts.com/news/2026-nfl-free-agency-tracker-daniel-jones-alec-pierce,2026-08-17
Segun Olubi,LB,special teams and linebacker depth,signed_elsewhere,2026-03-16,Las Vegas Raiders,Reduced special-teams linebacker depth,https://www.colts.com/news/2026-nfl-free-agency-tracker-daniel-jones-alec-pierce,2026-08-17
