candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
no-candidate-team,New Orleans Saints communications,New Orleans Saints,organization,initial,"official record; team-controlled analysis",https://www.neworleanssaints.com/news/,https://www.neworleanssaints.com/trainingcamp/2026/,include,essential,Authoritative club records and direct-access work.,local-source-new-orleans-saints,2026-08-21
no-candidate-nfl,NFL gamebooks,NFL,organization,initial,official record,https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,valuable,Official game and participation records.,local-source-nfl-gamebooks,2026-08-21
no-candidate-terrell,Katherine Terrell,ESPN,person,initial,"daily independent beat; national reporting",https://www.espn.com/blog/new-orleans-saints,https://www.espn.com/blog/new-orleans-saints,include,essential,Current ESPN NFL Nation reporter.,local-writer-katherine-terrell,2026-08-21
no-candidate-underhill,Nick Underhill,NewOrleans.Football,person,initial,"daily independent beat; film and scheme; position usage",https://neworleans.football/author/NickUnderhill,https://neworleans.football/author/NickUnderhill,include,essential,Differentiated sourced reporting and film work.,local-writer-nick-underhill,2026-08-21
no-candidate-triplett,Mike Triplett,NewOrleans.Football,person,initial,"daily independent beat; organization",https://neworleans.football/author/MikeTriplett,https://neworleans.football/author/MikeTriplett,include,essential,Veteran current beat reporting and organizational context.,local-writer-mike-triplett,2026-08-21
no-candidate-hendrix,John Hendrix,NewOrleans.Football,person,initial,"daily independent beat; position usage",https://neworleans.football/,https://neworleans.football/,include,valuable,Current camp and roster work adds NOF depth.,local-writer-john-hendrix,2026-08-21
no-candidate-paras,Matthew Paras,NOLA.com,person,initial,"daily independent beat; major local",https://www.nola.com/sports/saints/,https://www.nola.com/sports/saints/,include,essential,Current major-local beat reporting.,local-writer-matthew-paras,2026-08-21
no-candidate-johnson,Luke Johnson,NOLA.com,person,omission_pass,"daily independent beat; major local; position usage",https://muckrack.com/luke-johnson,https://www.nola.com/sports/saints/,include,essential,Current Times-Picayune staff writer with recurring Saints beat work.,local-writer-luke-johnson,2026-08-21
no-candidate-walker,Rod Walker,NOLA.com,person,initial,"major local; organization",https://www.nola.com/sports/rod_walker/,https://www.nola.com/sports/rod_walker/,include,valuable,Differentiated enterprise and player context.,local-writer-rod-walker,2026-08-21
no-candidate-jackson,Ross Jackson,LouisianaSports.net / Locked On Saints,person,initial,"position usage; film and scheme; daily audio",https://lockedonpodcasts.com/podcasts/locked-on-saints/,https://lockedonpodcasts.com/podcasts/locked-on-saints/,include,essential,High-cadence Saints-specific role and scheme analysis.,local-writer-ross-jackson,2026-08-21
no-candidate-nowak,Jeff Nowak,WWL Radio,person,omission_pass,"local radio; daily independent beat",https://www.audacy.com/wwl/local-sports/saints,https://www.audacy.com/wwl/local-sports/saints,include,essential,Differentiated breaking-news and radio lane.,local-writer-jeff-nowak,2026-08-21
no-candidate-deshazier,John DeShazier,New Orleans Saints,person,initial,"team-controlled analysis; official access",https://www.neworleanssaints.com/news/,https://www.neworleanssaints.com/news/,include,valuable,Direct interviews and team-site analysis.,local-writer-john-deshazier,2026-08-21
no-candidate-pfr,Pro Football Reference,Sports Reference,organization,initial,"data; position usage",https://www.pro-football-reference.com/teams/nor/2026.htm,https://www.pro-football-reference.com/teams/nor/2026.htm,include,valuable,Structured usage and historical reference.,local-source-pro-football-reference,2026-08-21
no-candidate-otc,Over the Cap,Over the Cap,organization,initial,transactions and organization,https://overthecap.com/team/new-orleans-saints,https://overthecap.com/team/new-orleans-saints,include,valuable,Differentiated contract and cap mechanics.,local-source-over-the-cap,2026-08-21
no-candidate-duncan,Jeff Duncan,NOLA.com,person,initial,"major local; organization",https://www.nola.com/sports/jeff_duncan/,https://muckrack.com/jeffduncan_/articles,include,valuable,Produces original 2026 camp reporting and breaks organizational news.,local-writer-jeff-duncan,2026-08-21
no-candidate-bigq,The Sports Coma / Big Q,The P.R.O. Media Network,organization,omission_pass,"podcast; team analysis",https://www.youtube.com/@TheSportsComa,https://www.youtube.com/@TheSportsComa,exclude,supplemental,High cadence but original credentialed reporting was not established.,,2026-08-21
no-candidate-csc,Canal Street Chronicles,SB Nation,organization,omission_pass,team analysis,https://www.canalstreetchronicles.com/,https://www.canalstreetchronicles.com/,exclude,supplemental,Useful discovery and community analysis but redundant with stronger original sources.,,2026-08-21
no-candidate-graffagnini,Todd Graffagnini,New Orleans Saints,person,omission_pass,"team-controlled analysis; podcast",https://www.neworleanssaints.com/trainingcamp/2026/,https://www.neworleanssaints.com/trainingcamp/2026/,exclude,supplemental,Recurring official podcast observations overlap the included team source and John DeShazier.,,2026-08-21
no-candidate-kattengell,Gus Kattengell,New Orleans Saints podcast,person,omission_pass,"team-controlled analysis; podcast",https://www.neworleanssaints.com/trainingcamp/2026/,https://www.neworleanssaints.com/trainingcamp/2026/,exclude,supplemental,Recurring camp podcast role is captured through the official team feed and adds no independent lane.,,2026-08-21
no-candidate-butler,Kalia Butler,New Orleans Saints,person,omission_pass,"team-controlled analysis; podcast",https://www.neworleanssaints.com/trainingcamp/2026/,https://www.neworleanssaints.com/trainingcamp/2026/,exclude,supplemental,Team-reporter appearances overlap the included official communications rotation.,,2026-08-21
no-candidate-skrmetta,James Skrmetta,Independent,person,omission_pass,"film and scheme; position usage",https://podcasts.apple.com/us/podcast/the-james-skrmetta-podcast/id1789143730,https://www.youtube.com/@JamesSkrmetta,include,valuable,Differentiated Saints-specific film work and recurring NOF collaborations.,local-writer-james-skrmetta,2026-08-21
no-candidate-mcallister,Deuce McAllister,WWL Radio,person,omission_pass,"local radio; film and scheme",https://www.audacy.com/wwl/local-sports/saints,https://www.audacy.com/wwl/local-sports/saints/saints-news,include,valuable,Former-player analysis adds differentiated run-game and personnel interpretation.,local-writer-deuce-mcallister,2026-08-21
no-candidate-ewing,Zach Ewing,NOLA.com,person,omission_pass,"podcast; major local",https://podcasts.apple.com/us/podcast/saints-insider/id1702032425,https://podcasts.apple.com/us/podcast/saints-insider/id1702032425,exclude,supplemental,Recurring desk and podcast contribution overlaps included NOLA.com reporters.,,2026-08-21
