coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-kevin-oconnell,Kevin O'Connell,all,Head Coach,true,Head Coach,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-wes-phillips,Wes Phillips,offense,Offensive Coordinator,true,Offensive Coordinator,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-brian-flores,Brian Flores,defense,Defensive Coordinator,true,Defensive Coordinator,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-matt-daniels,Matt Daniels,special_teams,Special Teams Coordinator,true,Special Teams Coordinator,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-frank-smith,Frank Smith,all,Assistant Head Coach,false,,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-gerald-alexander,Gerald Alexander,defense,Defensive Passing Game Coordinator/Defensive Backs,true,Defensive Backs,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-thad-bogardus,Thad Bogardus,defense,Outside Linebackers,true,Outside Linebackers,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-keith-carter,Keith Carter,offense,Offensive Line,true,Offensive Line,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-ryan-cordell,Ryan Cordell,offense,Tight Ends/Game Management Coordinator,true,Tight Ends/Passing Game Specialist,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-keenan-mccardell,Keenan McCardell,offense,Wide Receivers,true,Wide Receivers,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-josh-mccown,Josh McCown,offense,Offensive Passing Game Coordinator/Quarterbacks,true,Quarterbacks,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-curtis-modkins,Curtis Modkins,offense,Running Game Coordinator/Running Backs,true,Running Backs/Run Game Coordinator,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-ryan-nielsen,Ryan Nielsen,defense,Defensive Running Game Coordinator,false,,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-mike-siravo,Mike Siravo,defense,Inside Linebacker/Senior Defensive Assistant,true,Inside Linebackers,https://www.vikings.com/team/coaches-roster/,2026-08-17
local-coach-chris-ohara,Chris O'Hara,offense,Assistant Offensive Coordinator,true,Assistant Offensive Coordinator,https://www.vikings.com/team/coaches-roster/,2026-08-17
